Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,159.82,154.9,160.14,154.7704,8059876,,
45294,160.46,160.59,161.75,159.84,5301350,,
45295,161.46,160.31,162.29,159.43,8332192,,
45296,162.14,161.33,163.03,160.6086,4853039,,
45299,161.43,162.18,162.77,159.7786,6001632,,
45300,162.31,161.43,163.47,160.835,4454130,,
45301,164.89,162.27,165.08,161.88,6609876,,
45302,163.78,164.25,165.12,163.086,4591523,,
45303,162.4,162.75,163.3,162.18,4971442,,
45307,161.48,161.98,162.3,161.02,4747730,,
45308,162.04,161.75,162.9497,161.52,4423158,2.219999999999999,
45309,163.3,161.16,163.655,161.0,5074330,2.8400000000000034,
45310,164.77,163.91,164.87,162.6,5863150,3.3100000000000023,
45313,165.39,164.44,165.45,163.76,4864044,3.25,
45314,167.5,164.45,167.53,164.06,5784885,6.069999999999993,
45315,164.22,167.77,167.95,164.06,5422244,1.9099999999999966,
45316,165.13,164.0,165.21,163.2,4465939,0.2400000000000091,
45317,164.4,165.27,165.86,163.5,4654408,0.6200000000000045,
45320,163.91,165.85,166.76,163.68,4704269,1.509999999999991,
45321,164.92,164.22,164.98,163.26,3819615,3.4399999999999977,
45322,164.4,165.75,165.8599,163.95,4994053,2.3600000000000136,
45323,167.59,163.7,167.68,162.67,5584434,4.289999999999992,
45324,168.67,169.42,172.85,165.23,7870521,3.8999999999999773,
45327,171.26,169.84,173.13,168.45,6486886,5.8700000000000045,
45328,173.29,171.65,173.96,169.77,7038000,5.789999999999992,
45329,175.01,174.01,175.56,173.32,6409084,10.789999999999992,
45330,174.79,174.35,175.91,174.3,5709326,9.659999999999997,
45331,174.08,175.07,175.4,173.05,3502661,9.680000000000007,
45334,173.07,173.54,174.76,172.23,3477198,9.159999999999997,
45335,173.29,174.46,175.2,171.965,5480551,8.370000000000005,
45336,174.42,173.06,174.86,172.68,4348610,10.019999999999982,14.599999999999994
45337,176.59,174.02,176.735,173.81,5276243,9.0,16.129999999999995
45338,177.49,176.89,178.92,176.07,6689902,8.820000000000022,16.03
45342,175.75,175.83,178.68,175.52,5484327,4.490000000000009,13.610000000000014
45343,175.14,176.29,176.625,173.5,3819124,1.8499999999999943,13.70999999999998
45344,176.75,174.78,177.34,173.14,4852394,1.740000000000009,14.439999999999998
45345,178.09,177.26,178.905,177.011,3941923,3.3000000000000114,13.200000000000017
45348,178.81,178.84,179.79,178.0,4327400,4.72999999999999,15.030000000000001
45349,178.99,178.77,179.53,176.98,3888566,5.920000000000016,16.590000000000003
45350,178.0,179.85,179.89,176.89,4326102,4.710000000000008,16.52000000000001
45351,176.05,177.865,178.02,175.39,7485722,1.6300000000000239,14.01000000000002
45352,178.91,176.05,179.19,175.75,4028935,2.319999999999993,15.609999999999985
45355,177.05,178.35,179.98,176.28,4723582,-0.4399999999999977,12.280000000000001
45356,179.16,177.79,179.59,177.79,5309903,3.4099999999999966,13.77000000000001
45357,181.06,178.4,182.16,178.1,6047148,5.920000000000016,13.560000000000002
45358,180.57,182.19,182.42,179.54,6125187,3.819999999999993,16.349999999999994
45359,178.85,179.74,182.14,178.68,6195824,0.7599999999999909,13.719999999999999
45362,179.63,178.41,181.26,178.24,5134817,0.8199999999999932,15.22999999999999
45363,180.92,179.72,182.89,179.69,5391070,1.9299999999999784,17.00999999999999
45364,179.86,182.5,182.51,179.42,5987932,1.8600000000000136,14.940000000000026
45365,181.2,180.155,182.04,178.66,6999445,5.149999999999977,16.799999999999983
45366,177.88,179.84,180.58,177.54,20957948,-1.0300000000000011,10.289999999999992
45369,178.49,179.01,179.88,177.565,8569244,1.4399999999999977,9.820000000000022
45370,179.66,178.19,179.93,178.19,7625613,0.5,8.400000000000006
45371,176.27,179.22,179.23,175.73,7326558,-4.789999999999992,2.980000000000018
45372,177.5,176.81,177.74,175.875,5743564,-3.069999999999993,2.490000000000009
45373,178.45,177.23,178.99,176.78,4084352,-0.4000000000000057,3.6599999999999966
45376,178.53,179.0,179.2,178.125,4366502,-1.0999999999999943,4.449999999999989
45377,179.19,179.23,179.77,178.38,4392427,-1.7299999999999898,6.1200000000000045
45378,180.35,179.8,180.58,178.81,5073508,0.4899999999999807,7.060000000000002
45379,182.1,181.0,182.3,180.3,5418687,0.9000000000000057,7.680000000000007
45383,180.76,181.88,181.9,179.24,3502141,2.8799999999999955,4.1699999999999875
45384,180.69,179.39,181.03,178.51,4523931,2.1999999999999886,3.1999999999999886
45385,177.33,180.72,181.6,176.6,5892990,-2.329999999999984,1.5800000000000125
45386,167.9,177.65,177.7,167.45,10538991,-8.370000000000005,-7.239999999999981
45387,170.0,168.0,171.04,167.29,7030108,-7.5,-6.75
45390,169.8,169.21,171.97,168.4,4744996,-8.649999999999977,-8.289999999999992
45391,170.14,169.73,170.545,167.395,5933987,-8.390000000000015,-8.670000000000016
45392,169.03,168.59,169.96,167.36,3231664,-10.159999999999997,-9.960000000000008
45393,167.52,169.2,169.37,167.227,3307034,-12.829999999999984,-10.47999999999999
45394,162.28,164.45,164.45,160.0,7029475,-19.819999999999993,-13.77000000000001
45397,161.67,164.52,164.7,161.5,5433730,-19.090000000000003,-17.24000000000001
45398,162.54,162.18,163.74,162.0772,4881516,-18.150000000000006,-14.51000000000002
45399,164.25,164.15,164.74,163.23,4792382,-13.080000000000013,-14.909999999999997
45400,164.66,164.96,167.44,164.43,4480224,-3.240000000000009,-16.400000000000006
45401,166.41,165.02,166.6,163.25,5532492,-3.5900000000000034,-14.159999999999997
45404,167.89,167.68,169.59,166.92,5580685,-1.910000000000025,-10.960000000000008
45405,169.54,168.59,170.365,168.22,4084105,-0.5999999999999943,-10.090000000000003
45406,167.8,168.52,169.11,166.74,4074765,-1.2299999999999898,-13.119999999999976
45407,167.29,167.66,169.29,165.57,5503656,-0.2300000000000182,-12.570000000000022
45408,159.62,167.09,167.46,157.65,10721740,-2.6599999999999966,-21.579999999999984
45411,161.52,159.59,161.55,158.56,6226196,-0.14999999999997726,-16.359999999999985
45412,162.64,161.27,163.05,159.69,5484841,0.09999999999999432,-15.850000000000023
45413,161.72,162.09,163.6923,161.14,5178876,-2.530000000000001,-17.939999999999998
45414,160.81,162.17,162.44,158.12,5904251,-3.8499999999999943,-15.460000000000008
45415,163.79,161.16,164.25,160.74,5850102,-2.6200000000000045,-13.710000000000008
45418,162.73,164.41,164.6346,161.0,5834562,-5.159999999999997,-15.719999999999999
45419,162.55,163.36,163.99,161.89,5301668,-6.989999999999981,-15.97999999999999
45420,160.45,162.14,162.9,159.87,5906701,-7.350000000000023,-18.74000000000001
45421,160.4,160.805,161.32,160.02,3570072,-6.889999999999986,-19.94999999999999
45422,160.75,160.71,161.4399,160.35,3509603,1.1299999999999955,-21.349999999999994
45425,161.28,161.28,162.57,160.8,3505882,-0.2400000000000091,-19.47999999999999
45426,161.59,161.65,162.25,159.715,4025032,-1.049999999999983,-19.099999999999994
45427,163.79,162.31,164.42,161.87,5261263,2.069999999999993,-13.54000000000002
45428,164.35,163.45,164.93,162.18,4642038,3.539999999999992,-3.5500000000000114
45429,166.42,165.39,166.49,164.49,5152176,2.6299999999999955,-3.5800000000000125
45432,164.56,166.01,166.42,164.41,3058702,1.8300000000000125,-5.240000000000009
45433,162.93,165.37,165.705,162.5,3645239,0.37999999999999545,-7.2099999999999795
45434,159.61,161.57,161.94,159.18,6904915,-0.839999999999975,-9.419999999999987
45435,158.26,159.03,160.04,157.76,5672891,-2.140000000000015,-9.26000000000002
45436,157.06,158.36,158.78,156.36,3691730,-3.6899999999999977,-5.219999999999999
45440,155.34,156.35,156.35,153.949,5533467,-5.939999999999998,-6.329999999999984
45441,154.79,154.89,156.38,153.68,4254540,-6.800000000000011,-7.75
45442,156.31,154.65,156.43,153.58,4311479,-7.47999999999999,-7.939999999999998
45443,161.24,156.65,161.64,156.2,15664434,-3.109999999999985,-3.4199999999999875
45446,160.19,160.0,163.19,158.83,4467810,-6.22999999999999,-6.219999999999999
45447,162.14,160.19,162.81,159.77,4215545,-2.420000000000016,-5.75
45448,165.44,162.9,165.98,162.16,5100491,2.509999999999991,-4.099999999999994
45449,168.57,165.49,168.88,164.35,5186713,8.95999999999998,0.7699999999999818
45450,169.42,169.0,170.34,167.79,3781858,11.159999999999997,2.1299999999999955
45453,170.46,169.0,170.75,167.69,4247645,13.400000000000006,10.840000000000003
45454,167.7,170.25,170.64,167.42,3790165,12.359999999999985,6.179999999999978
45455,166.09,167.875,168.535,165.03,4725634,11.300000000000011,3.450000000000017
45456,166.56,166.0,166.9,165.0,3690807,10.25,4.840000000000003
45457,168.59,166.47,169.24,166.0,4377638,7.349999999999994,7.780000000000001
45460,169.68,168.4,170.4,167.36,4075952,9.490000000000009,5.890000000000015
45461,171.36,170.44,173.01,169.87,4250883,9.220000000000027,8.630000000000024
45463,172.13,171.18,172.81,170.02,5847461,6.689999999999998,9.579999999999984
45464,170.39,172.7,172.93,169.59,12308051,1.8199999999999932,9.939999999999998
45467,172.74,171.13,173.41,170.7,6249937,3.3200000000000216,12.340000000000003
45468,170.75,172.1,173.41,170.62,5712698,0.28999999999999204,10.0
45469,171.15,170.29,172.35,170.15,5576094,3.450000000000017,9.870000000000005
45470,168.99,171.29,171.555,167.75,5381953,2.9000000000000057,7.400000000000006
45471,171.52,169.99,171.82,169.05,24463599,4.960000000000008,7.730000000000018
45474,170.37,171.27,173.88,169.535,5194744,1.7800000000000011,6.02000000000001
45475,165.96,168.63,168.63,165.45,5965457,-3.719999999999999,-0.45999999999997954
45476,163.84,166.09,167.1,163.52,3527612,-7.52000000000001,-0.7199999999999989
45478,167.25,164.72,167.31,163.63,5978524,-4.8799999999999955,4.319999999999993
45481,166.52,166.54,167.717,165.62,3500155,-3.869999999999976,6.909999999999997
45482,168.05,167.02,168.53,164.86,4224705,-4.689999999999998,9.79000000000002
45483,168.14,167.45,168.45,166.1101,3887959,-2.6100000000000136,11.079999999999984
45484,169.91,167.52,170.35,167.35,3689530,-1.240000000000009,14.569999999999993
45485,170.28,170.63,171.625,169.9,4133520,1.289999999999992,15.490000000000009
45488,168.03,168.91,170.365,167.42,2395181,-3.490000000000009,11.719999999999999
45489,169.2,168.6,169.85,167.26,3829646,-1.170000000000016,7.9599999999999795
45490,175.27,169.51,175.74,169.51,6983160,9.310000000000002,15.080000000000013
45491,171.14,174.445,176.68,170.72,5957924,7.299999999999983,9.0
45492,172.32,173.67,173.845,171.22,4293624,5.069999999999993,6.8799999999999955
45495,173.61,173.32,174.7299,172.0,4066954,7.090000000000003,5.0400000000000205
45496,173.15,173.32,174.59,172.77,2933782,5.099999999999994,3.730000000000018
45497,176.21,173.2,176.6,172.95,6117697,8.070000000000022,5.75
45498,182.17,177.0,186.11,171.802,9442179,12.259999999999991,14.469999999999999
45499,185.16,183.45,186.85,182.11,6948832,14.879999999999995,19.069999999999993
45502,181.94,184.04,186.13,180.53,5458460,13.909999999999997,15.379999999999995
45503,186.78,183.59,187.71,182.6,6032165,17.580000000000013,18.189999999999998
45504,185.32,186.386,187.5,183.45,6473948,10.049999999999983,15.639999999999986
45505,189.71,187.77,190.9699,186.77,6595545,18.57000000000002,18.349999999999994
45506,189.29,190.98,193.91,186.46,6303909,16.97,17.159999999999997
45509,184.36,187.45,189.29,183.04,6459296,10.75,13.970000000000027
45510,185.71,185.43,187.82,183.08,4273301,12.560000000000002,12.969999999999999
45511,187.51,187.9,189.59,185.9775,6351130,11.299999999999983,16.75999999999999
45512,190.4,186.92,190.71,186.92,5744889,8.230000000000018,19.25
45513,189.93,190.78,191.01,188.1,3206539,4.77000000000001,20.939999999999998
45516,190.18,190.08,190.57,187.7,4808434,8.240000000000009,18.659999999999997
45517,191.23,190.56,191.94,189.377,3477320,4.449999999999989,20.859999999999985
45518,193.0,191.0,193.35,190.47,4153610,7.680000000000007,27.039999999999992
45519,193.4,194.49,194.99,191.29,4719856,3.6899999999999977,29.560000000000002
45520,193.9,193.88,194.25,192.27,3675149,4.610000000000014,26.650000000000006
45523,196.87,193.4,197.18,193.35,4309277,12.509999999999991,30.349999999999994
45524,196.15,197.12,197.48,194.13,3631797,10.439999999999998,28.099999999999994
45525,196.53,196.44,197.335,195.67,4250492,9.02000000000001,28.390000000000015
45526,196.37,197.005,197.54,195.35,3676719,5.969999999999999,26.460000000000008
45527,197.55,197.25,197.98,196.2271,4720300,7.6200000000000045,27.27000000000001
45530,197.44,197.56,197.9699,196.07,4182425,7.259999999999991,29.409999999999997
45531,195.92,197.99,198.3,195.18,2504553,4.689999999999998,26.72
45532,195.4,195.52,196.23,194.03,3910215,2.4000000000000057,20.129999999999995
45533,195.18,196.0,196.44,193.85,4538372,1.7800000000000011,24.04000000000002
45534,196.31,195.25,196.5,194.17,3820802,2.4099999999999966,23.99000000000001
45538,197.69,196.14,199.95,196.095,4872587,0.8199999999999932,24.079999999999984
45539,197.01,198.68,199.88,196.44,4214441,0.8599999999999852,23.859999999999985
45540,192.86,196.96,197.13,192.16,5902786,-3.6699999999999875,16.650000000000006
45541,193.4,193.47,194.74,192.83,4312632,-2.969999999999999,11.230000000000018
45544,196.42,194.97,196.61,193.94,3606983,-1.1300000000000239,11.259999999999991
45545,199.35,196.12,199.47,192.91,6333281,1.9099999999999966,17.409999999999997
45546,194.59,197.68,197.68,193.418,4909292,-1.329999999999984,7.810000000000002
45547,194.02,194.78,195.07,191.27,4165394,-1.3799999999999955,8.700000000000017
45548,194.21,193.86,194.59,191.81,2718268,-0.9699999999999989,4.5
45551,195.73,195.82,196.16,194.46,3235706,-0.5800000000000125,6.439999999999998
45552,193.45,194.8,196.075,191.82,3534110,-4.240000000000009,9.089999999999975
45553,192.94,193.13,195.58,191.7776,3236829,-4.069999999999993,7.22999999999999
45554,193.62,193.425,194.16,191.96,3929288,0.7599999999999909,6.110000000000014
45555,193.47,193.0,193.821,192.13,11661191,0.06999999999999318,3.069999999999993
45558,193.83,193.7,194.3,192.2,3177996,-2.589999999999975,3.9000000000000057
45559,193.51,192.95,195.21,191.5872,4286499,-5.840000000000003,3.329999999999984
45560,191.26,194.0,194.57,190.96,5589494,-3.3300000000000125,0.030000000000001137
45561,191.9,190.1,192.87,189.615,6215788,-2.1200000000000045,-1.0999999999999943
45562,194.79,192.6,196.13,190.27,4892025,0.5799999999999841,1.3899999999999864
