,Participant Private ID,Page,Question,Response
51,12315511.0,Page 31,Predict the midpoint of the next candlestick,106
53,12315511.0,Page 31,How confident are you in your prediction (1-5),4
54,12315511.0,Page 6,Predict the midpoint of the next candlestick,104
56,12315511.0,Page 6,How confident are you in your prediction (1-5),4
57,12315511.0,Page 16,Predict the midpoint of the next candlestick,102
59,12315511.0,Page 16,How confident are you in your prediction (1-5),4
60,12315511.0,Page 26,Predict the midpoint of the next candlestick,101
62,12315511.0,Page 26,How confident are you in your prediction (1-5),4
63,12315511.0,Page 25,Predict the midpoint of the next candlestick,107
65,12315511.0,Page 25,How confident are you in your prediction (1-5),4
66,12315511.0,Page 50,Predict the midpoint of the next candlestick,108
68,12315511.0,Page 50,How confident are you in your prediction (1-5),4
69,12315511.0,Page 43,Predict the midpoint of the next candlestick,124
71,12315511.0,Page 43,How confident are you in your prediction (1-5),4
72,12315511.0,Page 27,Predict the midpoint of the next candlestick,103
74,12315511.0,Page 27,How confident are you in your prediction (1-5),4
75,12315511.0,Page 2,Predict the midpoint of the next candlestick,103
77,12315511.0,Page 2,How confident are you in your prediction (1-5),4
78,12315511.0,Page 47,Predict the midpoint of the next candlestick,118
80,12315511.0,Page 47,How confident are you in your prediction (1-5),3
81,12315511.0,Page 35,Predict the midpoint of the next candlestick,104
83,12315511.0,Page 35,How confident are you in your prediction (1-5),3
84,12315511.0,Page 40,Predict the midpoint of the next candlestick,106
86,12315511.0,Page 40,How confident are you in your prediction (1-5),4
87,12315511.0,Page 13,Predict the midpoint of the next candlestick,103
89,12315511.0,Page 13,How confident are you in your prediction (1-5),4
90,12315511.0,Page 37,Predict the midpoint of the next candlestick,98
92,12315511.0,Page 37,How confident are you in your prediction (1-5),4
93,12315511.0,Page 4,Predict the midpoint of the next candlestick,106
95,12315511.0,Page 4,How confident are you in your prediction (1-5),4
96,12315511.0,Page 32,Predict the midpoint of the next candlestick,108
98,12315511.0,Page 32,How confident are you in your prediction (1-5),4
99,12315511.0,Page 10,Predict the midpoint of the next candlestick,104
101,12315511.0,Page 10,How confident are you in your prediction (1-5),4
102,12315511.0,Page 29,Predict the midpoint of the next candlestick,87
104,12315511.0,Page 29,How confident are you in your prediction (1-5),4
105,12315511.0,Page 36,Predict the midpoint of the next candlestick,109
107,12315511.0,Page 36,How confident are you in your prediction (1-5),4
108,12315511.0,Page 24,Predict the midpoint of the next candlestick,106
110,12315511.0,Page 24,How confident are you in your prediction (1-5),4
111,12315511.0,Page 12,Predict the midpoint of the next candlestick,98
113,12315511.0,Page 12,How confident are you in your prediction (1-5),3
114,12315511.0,Page 42,Predict the midpoint of the next candlestick,104
116,12315511.0,Page 42,How confident are you in your prediction (1-5),4
117,12315511.0,Page 51,Predict the midpoint of the next candlestick,107
119,12315511.0,Page 51,How confident are you in your prediction (1-5),3
120,12315511.0,Page 48,Predict the midpoint of the next candlestick,112
122,12315511.0,Page 48,How confident are you in your prediction (1-5),4
123,12315511.0,Page 22,Predict the midpoint of the next candlestick,114
125,12315511.0,Page 22,How confident are you in your prediction (1-5),3
