Company,Ticker,Index,Date,Open,Close,Date.1,Midpoint,Base_Open,Last_Close,Last_Open,Last_Midpoint,Open_Inx,Close_Inx,Midpoint_Inx,Midpoint_Delta
AbbVie Inc.,ABBVIE INC. (XNYS:ABBV),S&P 500,1.10.2024,197.65,196.96,1.10.2024,197.305,193.88,100.46936249226326,99.33979781308025,99.90458015267176,101.94450175366205,101.58861151227565,101.76655663296884,1.8619764802970877
Alphabet ,ALPHABET INC. (XNAS:GOOGL),S&P 500,1.10.2024,167.69,166.99,1.10.2024,167.3375,161.47,101.53588901963214,100.8298755186722,101.18288226915217,103.85210875085156,103.41859168885861,103.63535021985508,2.4524679507029106
Amazon.com ,"AMAZON.COM, INC. (XNAS:AMZN)",S&P 500,1.10.2024,184.9,185.13,1.10.2024,185.015,177.04,106.17374604609128,107.70447356529598,106.93910980569363,104.43967464979667,104.56958879349301,104.50463172164484,-2.4344780840487914
Apple Inc.,APPLE INC. (XNAS:AAPL),S&P 500,1.10.2024,229.52,226.21,1.10.2024,227.865,223.92,101.7282958199357,102.0275098249375,101.8779028224366,102.50089317613433,101.02268667381209,101.76178992497321,-0.11611289746338116
Berkshire Hathaway,BERKSHIRE HATHAWAY INC. (XNYS:BRK.B),S&P 500,1.10.2024,459.11,457.41,1.10.2024,458.26,441.55,103.60548069301325,103.28162156041219,103.44355112671272,103.9768995583739,103.59189219793907,103.78439587815649,0.34084475144376825
Bristol-Myers Squibb Co.,BRISTOL-MYERS SQUIBB CO (XNYS:BMY),S&P 500,1.10.2024,51.95,52.9,1.10.2024,52.425,49.11,103.66524129505193,104.94807574832011,104.30665852168602,105.78293626552637,107.71736917124821,106.75015271838728,2.443494196701266
CARGOTEC OYJ,Cargotec Corp (XHEL:CGCBV),HEX,1.10.2024,52.37,51.44,1.10.2024,51.905,46.0,114.67391304347827,116.67391304347828,115.67391304347828,113.84782608695652,111.82608695652175,112.83695652173913,-2.836956521739154
Chevron Corp.,CHEVRON CORPORATION (XNYS:CVX),S&P 500,1.10.2024,146.35,149.7,1.10.2024,148.025,146.05,99.61656966792194,97.89798014378636,98.75727490585415,100.20540910647038,102.49914412872303,101.35227661759671,2.5950017117425688
Coca-Cola Co.,THE COCA-COLA COMPANY (XNYS:KO),S&P 500,1.10.2024,72.1,71.71,1.10.2024,71.905,68.84,104.28529924462522,103.92213829169089,104.10371876815805,104.73561882626379,104.1690877396862,104.452353282975,0.3486345148169505
ELISA OYJ,Elisa Oyj (XHEL:ELISA),HEX,1.10.2024,47.8,48.26,1.10.2024,48.03,43.7,109.65675057208237,112.17391304347825,110.91533180778032,109.38215102974826,110.43478260869564,109.90846681922196,-1.0068649885583625
Exxon Mobil Corp.,EXXON MOBIL CORPORATION (XNYS:XOM),S&P 500,1.10.2024,116.04,119.93,1.10.2024,117.985,117.99,98.16086108992288,96.41495041952709,97.28790575472499,98.34731756928554,101.64420713619799,99.99576235274176,2.7078565980167753
FORTUM OYJ,Fortum Oyj (XHEL:FORTUM),HEX,1.10.2024,14.18,14.04,1.10.2024,14.1075,14.345,103.34611362844196,103.06727082607179,103.20669222725687,98.84977344022306,97.8738236319275,98.36179853607527,-4.844893691181596
