Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Manipulation: 
1,1734939269712,23/12/2024 07:34:29,1734946469712,2,23/12/2024 11:34:29,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,,,,,info,,BEGIN,,,,,,
2,1734939279894,23/12/2024 07:34:39,1734946479894,2,23/12/2024 11:34:39,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 22,ukjhyn,2,,info,,100,,,Prediction,3,object-63234,
3,1734939300992,23/12/2024 07:35:00,1734946500992,2,23/12/2024 11:35:00,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 133,hyg2vw,3,,info,,100,,,Prediction,3,object-1429432,
4,1734939337955,23/12/2024 07:35:37,1734946537955,2,23/12/2024 11:35:37,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 28,wkgv62,4,,info,,100,,,Prediction,3,object-69597,
5,1734939364340,23/12/2024 07:36:04,1734946564340,2,23/12/2024 11:36:04,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 36,vmv8v4,5,,info,,100,,,Prediction,3,object-760,
6,1734939382649,23/12/2024 07:36:22,1734946582649,2,23/12/2024 11:36:22,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 49,ved1gl,6,,info,,100,,,Prediction,3,object-84444,
7,1734939414276,23/12/2024 07:36:54,1734946614276,2,23/12/2024 11:36:54,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 75,nwtqtk,7,,info,,100,,,Prediction,3,object-104944047,
8,1734939428600,23/12/2024 07:37:08,1734946628600,2,23/12/2024 11:37:08,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 72,dnimfw,8,,info,,100,,,Prediction,3,object-100702005,
9,1734939447797,23/12/2024 07:37:27,1734946647797,2,23/12/2024 11:37:27,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 141,txzh3a,9,,info,,100,,,Prediction,3,object-1478481,
10,1734939466746,23/12/2024 07:37:46,1734946666746,2,23/12/2024 11:37:46,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 108,cj5lil,10,,info,,100,,,Prediction,3,object-1261264,
