Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Manipulation: 
1,1.73494E+12,23.12.2024 8:20,1.73495E+12,2,23.12.2024 12:20,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,,,,,info,,BEGIN,,,,,,
2,1.73494E+12,23.12.2024 8:20,1.73495E+12,2,23.12.2024 12:20,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 31,bib9zf,2,,info,,100,,,Prediction,3,object-423,
3,1.73494E+12,23.12.2024 8:20,1.73495E+12,2,23.12.2024 12:20,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 6,e4zke5,3,,info,,100,,,Prediction,3,object-21213,
4,1.73494E+12,23.12.2024 8:20,1.73495E+12,2,23.12.2024 12:20,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 16,d72aij,4,,info,,100,,,Prediction,3,object-438,
5,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 26,idpzfp,5,,info,,100,,,Prediction,3,object-303,
6,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 25,ltwt31,6,,info,,100,,,Prediction,3,object-318,
7,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 50,23juxt,7,,info,,100,,,Prediction,3,object-378,
8,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 43,z2zrwc,8,,info,,100,,,Prediction,3,object-28788,
9,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 27,f7ziw2,9,,info,,100,,,Prediction,3,object-29798,
10,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 2,rl3k4k,10,,info,,100,,,Prediction,3,object-8,
11,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 47,64245b,11,,info,,100,,,Prediction,3,object-413,
12,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 35,ahjw3u,12,,info,,100,,,Prediction,3,object-373,
13,1.73494E+12,23.12.2024 8:21,1.73495E+12,2,23.12.2024 12:21,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 40,xub8qx,13,,info,,100,,,Prediction,3,object-313,
