Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,362.46,356.32,362.57,355.94,4740903,,
45294,366.75,362.08,367.85,361.071,4322822,,
45295,363.68,367.41,369.37,363.41,4144302,,
45296,365.59,364.83,366.3008,364.19,2965666,,
45299,368.18,366.01,368.3,364.2,3454065,,
45300,366.9,368.0,368.0,364.77,2999607,,
45301,367.92,366.26,368.83,365.75,2448737,,
45302,363.34,367.81,367.89,362.13,3579713,,
45303,363.62,366.51,366.85,362.5672,2623907,,
45307,361.1,362.94,363.6,359.89,3047780,,
45308,359.29,359.01,362.53,357.98,2551707,-3.169999999999959,
45309,362.38,359.25,362.64,358.3,3008442,-4.3700000000000045,
45310,366.99,362.25,368.31,361.02,4092548,3.3100000000000023,
45313,368.06,368.05,369.27,366.53,3558313,2.4700000000000273,
45314,372.14,368.02,372.42,367.705,2900467,3.9599999999999795,
45315,376.59,372.53,377.79,372.03,4594038,9.689999999999998,
45316,380.85,379.24,380.99,377.89,4059189,12.930000000000007,
45317,385.4,381.05,385.73,380.0,3624361,22.060000000000002,
45320,383.18,385.49,385.7,379.17,3799251,19.560000000000002,
45321,387.15,383.24,387.64,380.08,3094226,26.049999999999955,
45322,383.74,386.53,387.92,383.55,3857684,24.44999999999999,
45323,386.44,384.0,386.55,381.475,2949959,24.060000000000002,
45324,390.75,386.68,392.07,386.44,3808499,23.75999999999999,
45327,390.76,389.95,393.37,389.285,3653265,22.69999999999999,
45328,393.74,390.29,393.93,390.0,2574602,21.600000000000023,
45329,397.66,394.6,399.15,394.36,3429024,21.07000000000005,
45330,397.49,397.22,398.65,394.85,3359311,16.639999999999986,
45331,398.36,397.31,398.36,395.82,2510146,12.960000000000036,
45334,397.71,398.65,399.48,396.19,2820408,14.529999999999973,
45335,394.8,397.18,399.705,392.1,3459672,7.650000000000034,
45336,398.68,395.15,398.86,393.5477,2670953,14.939999999999998,36.22000000000003
45337,403.45,399.14,404.2699,398.3,3076698,17.00999999999999,36.69999999999999
45338,405.99,404.44,406.74,402.59,3533386,15.240000000000009,42.31
45342,407.15,406.47,411.11,406.06,3534163,16.389999999999986,41.56
45343,409.25,408.26,409.48,406.7,2720475,15.509999999999991,41.06999999999999
45344,415.16,411.3,416.26,411.0,3697494,17.5,48.26000000000005
