Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,52.76,51.45,53.45,51.4,17757453,,
45294,52.3,52.7,52.9,51.47,15662627,,
45295,52.04,51.91,52.185,51.464,16930548,,
45296,52.23,51.91,52.565,51.65,12272235,,
45299,51.79,51.89,51.9,51.2863,18745875,,
45300,51.28,52.05,52.1,51.23,13385140,,
45301,50.66,51.2,51.2485,50.415,18095314,,
45302,50.22,50.65,50.74,50.01,16567906,,
45303,50.31,50.39,50.705,50.07,11461710,,
45307,50.0,50.3,50.59,49.815,13824733,,
45308,49.98,49.55,50.07,48.95,16425429,-2.780000000000001,
45309,50.09,49.62,50.17,48.63,18463797,-2.2099999999999937,
45310,50.11,50.11,50.21,49.425,23285777,-1.9299999999999997,
45313,49.57,50.26,50.32,49.5,13818614,-2.6599999999999966,
45314,50.12,49.68,50.42,49.4888,12555683,-1.6700000000000017,
45315,50.24,50.2,50.62,50.07,11838307,-1.0399999999999991,
45316,49.61,50.26,50.34,49.435,17639641,-1.0499999999999972,
45317,49.7,49.96,50.2,49.65,10855482,-0.519999999999996,
45320,49.87,49.62,49.88,49.45,11746625,-0.44000000000000483,
45321,49.39,50.05,50.18,49.25,11605552,-0.6099999999999994,
45322,48.87,49.71,50.02,48.84,18997583,-1.1099999999999994,
45323,48.67,48.85,48.85,48.125,20416268,-1.4200000000000017,
45324,48.71,49.27,50.01,48.08,27991627,-1.3999999999999986,
45327,47.98,48.52,48.56,47.68,15535583,-1.5900000000000034,
45328,49.26,47.95,49.98,47.58,22697982,-0.8599999999999994,
45329,48.64,49.19,49.36,48.02,17973120,-1.6000000000000014,
45330,48.71,48.44,48.77,48.11,13577868,-0.8999999999999986,
45331,49.81,48.7,49.83,48.49,15413408,0.10999999999999943,
45334,49.75,49.82,50.05,49.21,14973578,-0.11999999999999744,
45335,48.71,49.66,49.9,48.31,15828107,-0.6799999999999997,
45336,48.89,48.82,49.035,48.45,10866859,0.020000000000003126,-3.8699999999999974
45337,49.44,49.01,50.28,48.83,13425812,0.769999999999996,-2.8599999999999994
45338,49.86,49.31,49.87,48.93,13176540,1.1499999999999986,-2.1799999999999997
45342,49.86,49.89,50.45,49.665,13778750,1.8800000000000026,-2.3699999999999974
45343,50.91,49.93,50.93,49.535,12286920,1.6499999999999986,-0.8800000000000026
45344,51.33,50.58,51.405,50.33,12862869,2.6899999999999977,0.04999999999999716
45345,51.66,51.4,51.92,50.73,11052457,2.9499999999999957,1.0
45348,50.52,51.56,51.68,50.47,9690431,0.7100000000000009,0.30000000000000426
45349,50.51,50.57,50.72,50.15,8145286,0.759999999999998,0.19999999999999574
45350,50.92,50.51,50.97,50.37,7968568,2.210000000000001,0.9200000000000017
45351,50.75,50.96,51.17,50.275,14655689,1.8599999999999994,0.7700000000000031
45352,50.89,50.94,51.08,50.44,10892290,1.4500000000000028,0.7999999999999972
45355,50.92,51.28,52.195,50.72,19033412,1.0600000000000023,0.8100000000000023
45356,51.82,51.01,52.11,50.99,15110725,1.9600000000000009,2.25
45357,53.38,52.34,53.81,52.25,21692324,2.470000000000006,3.260000000000005
45358,53.28,53.57,53.75,52.98,17233062,1.9500000000000028,3.039999999999999
45359,53.79,53.48,54.26,53.33,17479616,2.1300000000000026,4.18
45362,54.36,53.9,54.56,53.74,15646376,3.8399999999999963,4.659999999999997
45363,54.4,54.33,54.6,53.82,14269120,3.8900000000000006,4.530000000000001
45364,52.65,54.33,55.035,52.595,26855196,1.7299999999999969,3.259999999999998
45365,52.49,52.57,52.68,51.805,14430168,1.740000000000002,3.6200000000000045
45366,52.34,52.32,53.195,51.95,123585283,1.4500000000000028,3.6700000000000017
45369,51.59,52.58,52.7,51.53,19738671,0.6700000000000017,2.8800000000000026
45370,51.8,51.76,51.93,51.39,14593246,-0.020000000000003126,3.8200000000000003
45371,51.88,51.63,52.155,51.27,10436323,-1.5,2.6200000000000045
45372,51.59,51.91,52.65,51.56,12625067,-1.6899999999999977,2.950000000000003
45373,51.93,51.65,52.4478,51.5208,11727720,-1.8599999999999994,3.219999999999999
45376,52.25,52.08,52.74,51.91,12348068,-2.1099999999999994,2.4399999999999977
45377,52.55,52.39,52.65,52.035,9951952,-1.8500000000000014,2.799999999999997
45378,53.25,53.0,53.69,52.85,13077608,0.6000000000000014,4.539999999999999
45379,54.23,53.39,54.475,53.39,14348196,1.7399999999999949,5.339999999999996
45383,52.99,54.17,54.23,52.96,9520366,0.6499999999999986,3.5500000000000043
45384,52.74,53.1,53.35,52.53,10234303,1.1499999999999986,2.8800000000000026
45385,52.18,52.75,52.87,52.1,10434586,0.38000000000000256,2.3200000000000003
45386,51.4,51.94,52.085,51.2,10993708,-0.480000000000004,0.490000000000002
45387,51.32,51.19,51.45,50.77,9095546,-0.2700000000000031,-0.00999999999999801
45390,51.1,51.28,51.3,50.855,12258519,-0.8299999999999983,-0.5599999999999952
45391,51.6,51.13,51.68,51.07,9487714,-0.6499999999999986,1.0799999999999983
45392,50.29,51.04,51.285,50.275,11492824,-2.259999999999998,-0.21999999999999886
45393,49.12,50.46,50.575,49.11,11781039,-4.130000000000003,-1.8000000000000043
45394,48.28,49.04,49.09,48.26,12459210,-5.949999999999996,-2.469999999999999
45397,48.51,48.36,49.1,48.12,11943603,-4.480000000000004,-2.3800000000000026
45398,48.26,48.45,48.6,48.24,11931277,-4.480000000000004,-2.6600000000000037
