Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,149.48,149.985,151.475,149.24,8879710,,
45294,152.33,149.39,153.19,148.68,10255276,,
45295,150.66,153.66,154.35,150.59,8220280,,
45296,150.4,151.98,152.03,149.83,7455430,,
45299,149.5,148.42,149.695,146.58,10038193,,
45300,145.7,149.95,149.95,145.59,11784672,,
45301,144.5,146.02,146.02,144.11,8490407,,
45302,145.28,145.56,146.17,144.62,8612493,,
45303,147.27,147.83,148.5,146.17,9386923,,
45307,143.69,146.515,146.58,143.58,9380352,,
45308,143.12,142.42,144.02,142.04,8167002,-6.359999999999985,
45309,141.82,143.0,143.19,139.62,11187839,-10.51000000000002,
45310,142.24,141.73,142.25,141.01,11192463,-8.419999999999987,
45313,142.49,141.91,142.66,140.92,9184626,-7.909999999999997,
45314,142.09,141.985,143.33,141.9,6767179,-7.409999999999997,
45315,144.92,142.7,144.98,142.221,8100014,-0.7800000000000011,
45316,148.57,146.22,148.69,145.225,9773620,4.069999999999993,
45317,149.14,148.03,149.26,146.98,9151896,3.859999999999985,
45320,149.08,149.09,149.22,147.11,10494818,1.8100000000000023,
45321,150.12,148.18,150.3056,147.71,9902881,6.430000000000007,
45322,147.43,150.37,150.38,147.34,10427972,4.310000000000002,
45323,147.89,148.19,149.02,146.52,8138669,6.069999999999993,
45324,152.24,150.86,153.38,149.55,12839063,10.0,
45327,152.33,151.62,153.51,150.7904,8277776,9.840000000000003,
45328,152.35,152.5,153.54,151.81,6198841,10.259999999999991,
45329,152.13,153.02,153.78,151.17,6252041,7.210000000000008,
45330,154.06,151.95,154.3,151.65,9236968,5.490000000000009,
45331,151.04,154.42,155.32,150.98,9194458,1.9000000000000057,
45334,152.08,151.62,152.6137,151.39,6713003,3.0,
45335,150.6,152.62,153.07,149.605,6987058,0.47999999999998977,
45336,151.01,151.28,152.2,150.08,5995064,3.579999999999984,1.5300000000000011
45337,154.46,149.91,155.09,149.67,8950304,6.570000000000022,2.1299999999999955
45338,154.63,155.37,155.77,154.09,7570220,2.3899999999999864,3.969999999999999
45342,154.0,155.47,155.61,153.83,6977945,1.6699999999999875,3.5999999999999943
45343,155.44,154.57,155.565,154.1,6630084,3.0900000000000034,5.939999999999998
45344,155.43,154.82,156.625,153.83,8874924,3.3000000000000114,9.730000000000018
45345,154.66,154.87,154.92,153.25,6561628,0.5999999999999943,10.159999999999997
45348,154.45,154.54,155.55,153.83,6900801,3.4099999999999966,9.169999999999987
45349,152.16,153.2,153.88,149.9,15093755,0.07999999999998408,4.889999999999986
45350,152.34,152.358,153.86,151.78,6715861,1.740000000000009,8.650000000000006
45351,152.01,152.91,153.24,151.48,9334432,1.0,8.889999999999986
45352,152.81,153.05,154.3499,152.25,7459056,-1.6500000000000057,10.990000000000009
45355,148.88,152.5,152.59,147.67,12503154,-5.75,6.639999999999986
45356,149.59,148.83,150.62,148.3,6985516,-4.409999999999997,7.099999999999994
45357,148.33,150.83,152.41,148.14,14692135,-7.109999999999985,6.240000000000009
45358,149.37,148.5,150.7495,148.45,8739348,-6.060000000000002,4.450000000000017
45359,149.88,149.37,149.99,148.39,7528378,-4.780000000000001,1.3100000000000023
45362,152.0,150.5,152.08,149.59,7577064,-2.4499999999999886,2.8600000000000136
45363,151.89,151.83,152.57,150.79,6432930,-0.27000000000001023,2.809999999999974
45364,153.89,153.24,154.88,153.15,8065649,1.549999999999983,3.769999999999982
45365,155.7,153.77,155.73,152.76,9047206,3.6899999999999977,8.269999999999982
45366,155.55,155.19,157.04,154.42,20387157,2.740000000000009,7.660000000000025
45369,155.41,156.03,156.67,154.944,7242711,6.530000000000001,3.1699999999999875
45370,156.62,155.3,156.84,155.01,7736723,7.030000000000001,4.289999999999992
45371,154.55,155.76,156.43,154.23,8449145,6.219999999999999,2.200000000000017
45372,154.86,154.95,155.69,154.41,7899084,5.490000000000009,2.730000000000018
45373,154.66,155.08,155.28,154.16,5974745,4.780000000000001,0.5999999999999943
45376,156.47,155.48,157.31,155.27,6058745,4.469999999999999,5.430000000000007
45377,155.27,156.52,156.86,154.65,6677938,3.380000000000024,3.1899999999999977
45378,156.35,154.87,156.44,154.85,7416870,2.460000000000008,5.75
45379,157.74,157.15,158.19,156.37,8331627,2.0400000000000205,6.730000000000018
45383,159.08,158.27,159.5899,156.94,6285717,3.530000000000001,4.6200000000000045
45384,159.78,160.05,161.22,159.02,8815351,4.3700000000000045,5.150000000000006
45385,160.44,160.1,160.95,159.72,7819734,3.819999999999993,6.439999999999998
45386,160.69,160.8,161.95,159.82,9269716,6.139999999999986,5.25
45387,161.6,161.33,162.17,159.86,7432807,6.739999999999981,6.1699999999999875
45390,161.27,161.65,162.501,160.33,7253196,6.610000000000014,6.610000000000014
45391,162.0,161.85,162.5316,160.46,6577437,5.530000000000001,7.550000000000011
45392,162.67,162.21,162.77,161.01,7525837,7.399999999999977,10.509999999999991
45393,161.89,163.62,163.62,159.8,7682512,5.539999999999992,9.549999999999983
45394,158.96,162.29,163.87,158.045,11071045,1.2199999999999989,6.950000000000017
45397,157.59,159.94,160.4899,157.36,7236857,-1.490000000000009,4.780000000000001
45398,156.28,157.3,157.81,155.42,5541895,-3.5,7.400000000000006
45399,156.4,155.99,157.7099,155.64,6733879,-4.039999999999992,6.810000000000002
45400,157.57,157.14,158.04,156.39,4979193,-3.1200000000000045,9.23999999999998
45401,160.0,158.75,160.75,158.1495,7734654,-1.5999999999999943,10.629999999999995
45404,161.92,159.95,162.7,158.4403,6779221,0.6499999999999773,12.039999999999992
45405,162.85,161.31,162.85,160.6,5597617,0.8499999999999943,10.849999999999994
45406,163.57,161.88,163.84,161.446,7610335,0.9000000000000057,11.680000000000007
45407,165.28,163.7,165.6,162.67,9702581,3.390000000000015,11.390000000000015
45408,165.89,165.23,166.98,163.3,9736350,6.929999999999978,10.189999999999998
45411,166.33,165.91,167.11,164.69,6366752,8.740000000000009,10.780000000000001
45412,161.27,165.97,166.12,160.95,8457341,4.990000000000009,5.860000000000014
45413,159.63,160.78,161.45,158.9,7714962,3.2299999999999898,3.009999999999991
45414,160.73,160.41,161.775,159.89,8597124,3.1599999999999966,6.179999999999978
45415,160.25,160.66,160.66,157.04,11664505,0.25,5.389999999999986
45418,162.3,160.73,164.02,160.73,8430277,0.3800000000000239,7.640000000000015
45419,162.67,162.31,163.15,162.02,6869948,-0.18000000000000682,6.199999999999989
45420,162.54,161.95,163.08,161.5367,6706361,-1.0300000000000011,7.269999999999982
45421,165.45,163.02,165.51,162.73,6683313,0.1699999999999875,9.099999999999994
45422,165.82,166.04,166.42,165.0153,5490944,-0.06999999999999318,8.079999999999984
