Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,42.13,41.87,42.44,41.84,205401,,
45294,41.96,42.23,42.54,41.84,241540,,
45295,42.5,42.0,42.5,42.0,178545,,
45296,42.88,42.28,42.92,42.05,464115,,
45299,42.58,42.54,42.6,41.88,201607,,
45300,42.57,42.58,42.92,42.3,184959,,
45301,42.49,42.31,42.56,42.09,145072,,
45302,42.71,42.69,42.74,42.34,169366,,
45303,43.15,42.71,43.19,42.63,230938,,
45306,43.31,43.15,43.38,43.0,335575,,
45307,43.87,43.53,43.94,43.36,250647,1.7399999999999949,
45308,43.59,43.5,43.72,43.22,263288,1.6300000000000026,
45309,43.65,43.59,43.75,43.29,218433,1.1499999999999986,
45310,43.67,43.7,43.89,43.54,139572,0.7899999999999991,
45313,43.74,43.67,44.03,43.59,197677,1.1600000000000037,
45314,43.55,43.83,44.06,43.55,208421,0.9799999999999969,
45315,43.52,43.64,43.87,43.52,254199,1.0300000000000011,
45316,43.66,43.52,43.71,43.05,310146,0.9499999999999957,
45317,44.81,42.86,44.82,42.26,657490,1.6600000000000037,
45320,42.79,43.33,43.9,42.25,764425,-0.5200000000000031,
45321,42.36,42.72,43.15,42.27,470623,-1.509999999999998,
45322,42.25,42.15,42.54,41.98,725590,-1.3400000000000034,
45323,42.97,42.42,42.97,42.34,257960,-0.6799999999999997,
45324,42.19,42.97,43.3,42.19,198336,-1.480000000000004,
45327,41.22,42.19,42.41,41.22,601192,-2.520000000000003,
45328,41.72,41.1,41.74,40.72,340074,-1.8299999999999983,
45329,41.55,41.56,41.89,41.3,497900,-1.970000000000006,
45330,41.41,41.49,41.8,41.39,304200,-2.25,
45331,40.8,41.32,41.36,40.41,330721,-4.010000000000005,
45334,41.35,40.81,41.6,40.76,201035,-1.4399999999999977,
45335,41.37,41.48,42.13,41.31,216855,-0.990000000000002,-0.7600000000000051
45336,41.19,41.46,41.7,41.11,236872,-1.0600000000000023,-0.7700000000000031
45337,41.53,41.21,41.62,41.21,232132,-1.4399999999999977,-0.9699999999999989
45338,42.34,41.54,42.34,41.44,363207,0.15000000000000568,-0.5399999999999991
45341,42.26,42.33,42.65,42.19,174519,1.0399999999999991,-0.3200000000000003
45342,42.79,42.29,42.82,42.15,187785,1.0700000000000003,0.21999999999999886
45343,42.65,42.68,42.85,42.57,191838,1.1000000000000014,0.1599999999999966
45344,42.6,42.8,43.14,42.6,355054,1.1900000000000048,-0.10999999999999943
45345,42.81,42.66,42.86,42.22,328848,2.010000000000005,-0.3399999999999963
45348,42.36,42.8,43.2,42.34,222602,1.009999999999998,-0.9500000000000028
45349,42.14,42.36,42.47,41.81,202274,0.7700000000000031,-1.7299999999999969
45350,41.81,42.27,42.43,41.7,248819,0.6200000000000045,-1.7800000000000011
45351,41.66,41.82,42.01,41.22,1402769,0.12999999999999545,-1.990000000000002
45352,42.04,41.7,42.25,41.5,225543,-0.30000000000000426,-1.6300000000000026
45355,42.41,42.04,42.55,41.87,327047,0.14999999999999858,-1.3300000000000054
45356,42.5,42.33,42.63,42.18,188164,-0.28999999999999915,-1.0499999999999972
45357,42.46,42.5,42.77,42.27,262340,-0.18999999999999773,-1.0600000000000023
45358,42.63,42.46,43.12,42.13,259653,0.030000000000001137,-1.029999999999994
45359,43.04,42.63,43.06,42.44,230889,0.22999999999999687,-1.7700000000000031
45362,42.8,43.04,43.24,42.74,245406,0.4399999999999977,0.00999999999999801
45363,42.53,42.8,42.98,42.52,191705,0.39000000000000057,0.1700000000000017
45364,42.47,42.51,42.71,42.31,283511,0.6599999999999966,0.21999999999999886
45365,41.99,42.55,42.81,41.92,310732,0.3300000000000054,-0.9799999999999969
45366,42.1,42.01,42.51,41.99,543679,0.060000000000002274,-0.0899999999999963
45369,42.22,42.1,42.27,41.84,230487,-0.18999999999999773,1.0
45370,42.25,42.22,42.36,42.01,187567,-0.25,0.5300000000000011
45371,42.55,42.35,42.63,42.19,187276,0.0899999999999963,1.0
45372,42.36,42.55,42.76,42.32,252217,-0.2700000000000031,0.9500000000000028
45373,42.63,42.41,42.73,42.22,242675,-0.4099999999999966,1.8300000000000054
45376,42.78,42.62,42.82,42.22,218216,-0.01999999999999602,1.4299999999999997
45377,42.79,42.78,42.96,42.33,308153,0.259999999999998,1.4200000000000017
45378,41.49,41.5,42.5,41.13,655587,-0.9799999999999969,0.30000000000000426
45379,41.35,41.54,41.76,41.18,469291,-0.6400000000000006,-0.17999999999999972
45384,41.48,41.36,42.14,41.26,479938,-0.6200000000000045,-0.8600000000000065
45385,41.6,41.4,41.74,41.32,287268,-0.6199999999999974,-0.6599999999999966
45386,42.4,42.2,42.54,42.0,372618,0.14999999999999858,-0.39000000000000057
45387,43.06,42.26,43.16,42.24,462872,0.5100000000000051,0.4100000000000037
45390,41.92,43.0,43.02,41.82,499813,-0.4399999999999977,-0.6799999999999997
45391,42.0,42.0,42.18,41.64,224414,-0.6300000000000026,-0.8100000000000023
45392,42.88,42.72,43.66,42.7,498618,0.10000000000000142,0.5200000000000031
45393,42.32,42.9,43.08,42.14,472033,-0.46999999999999886,0.17999999999999972
45394,42.16,42.32,42.66,42.12,342042,0.6699999999999946,0.3499999999999943
45397,41.12,41.0,41.26,40.74,331032,-0.23000000000000398,-0.5399999999999991
45398,40.44,41.0,41.26,40.18,339254,-1.0399999999999991,-1.6000000000000014
45399,40.4,40.44,40.86,40.36,335493,-1.2000000000000028,-2.009999999999998
45400,40.94,40.5,41.02,40.2,544236,-1.4600000000000009,-1.5600000000000023
