Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,13.205,13.15,13.39,13.15,1428162,,
45294,13.26,13.24,13.295,13.025,1853033,,
45295,13.67,13.31,13.76,13.31,1917320,,
45296,14.015,13.67,14.04,13.605,2405576,,
45299,14.04,13.7,14.045,13.7,1963735,,
45300,13.86,14.07,14.125,13.735,1694915,,
45301,13.795,13.805,13.895,13.545,1834168,,
45302,13.49,13.875,13.895,13.485,1707040,,
45303,13.335,13.345,13.39,13.135,2228211,,
45306,13.29,13.44,13.63,13.21,1933656,,
45307,12.94,13.29,13.33,12.885,2909991,-0.26500000000000057,
45308,12.335,12.885,12.885,12.275,4222934,-0.9249999999999989,
45309,12.17,12.295,12.3,12.07,2946667,-1.5,
45310,12.285,12.21,12.39,12.185,1555995,-1.7300000000000004,
45313,12.32,12.3,12.37,12.085,1700620,-1.7199999999999989,
45314,12.31,12.44,12.52,12.205,1529083,-1.549999999999999,
45315,12.605,12.39,12.61,12.35,1427694,-1.1899999999999995,
45316,12.615,12.575,12.7,12.51,1122733,-0.875,
45317,12.435,12.645,12.69,12.115,2092452,-0.9000000000000004,
45320,12.4,12.45,12.495,12.235,1659002,-0.8899999999999988,
45321,12.535,12.4,12.58,12.37,1396018,-0.40499999999999936,
45322,12.69,12.535,12.75,12.43,1302120,0.35499999999999865,
45323,12.37,12.485,12.595,12.34,2120526,0.1999999999999993,
45324,12.31,12.465,12.475,12.24,1242353,0.025000000000000355,
45327,12.34,12.245,12.445,12.145,1718595,0.019999999999999574,
45328,12.405,12.35,12.435,12.195,2393745,0.09499999999999886,
45329,11.78,11.81,12.135,11.605,7770757,-0.8250000000000011,
45330,11.57,11.78,11.835,11.57,4411487,-1.045,
45331,11.2,11.29,11.605,11.2,5047914,-1.2350000000000012,
45334,11.145,11.265,11.5,11.11,3371892,-1.2550000000000008,
45335,10.995,11.15,11.215,10.965,2721965,-1.540000000000001,-2.210000000000001
45336,10.9,10.995,11.085,10.9,2283701,-1.7899999999999991,-2.3599999999999994
45337,10.99,10.9,11.13,10.825,2853821,-1.379999999999999,-2.6799999999999997
45338,11.14,11.05,11.145,10.98,2065398,-1.17,-2.875
45341,10.985,11.14,11.25,10.96,1836001,-1.3550000000000004,-3.0549999999999997
45342,11.085,11.01,11.13,10.935,1639833,-1.3199999999999985,-2.7749999999999986
45343,11.11,11.1,11.165,11.055,1327805,-0.6699999999999999,-2.6850000000000005
45344,11.0,11.2,11.26,11.0,2384329,-0.5700000000000003,-2.49
45345,11.07,11.04,11.1,10.925,1504173,-0.129999999999999,-2.2650000000000006
45348,11.16,11.07,11.18,10.995,1974393,0.015000000000000568,-2.129999999999999
45349,11.33,11.16,11.33,11.12,1832410,0.33500000000000085,-1.6099999999999994
45350,11.575,11.35,11.575,11.35,2938545,0.6749999999999989,-0.7600000000000016
45351,11.55,11.58,11.635,11.475,2781267,0.5600000000000005,-0.6199999999999992
45352,11.385,11.55,11.665,11.305,2436428,0.24499999999999922,-0.9000000000000004
45355,11.24,11.34,11.34,11.095,2141596,0.2550000000000008,-1.08
45356,11.645,11.245,11.725,11.215,2809304,0.5599999999999987,-0.6650000000000009
45357,11.855,11.67,11.995,11.63,4020993,0.745000000000001,-0.75
45358,12.04,11.82,12.145,11.755,3154823,1.0399999999999991,-0.5750000000000011
45359,11.95,12.09,12.09,11.855,2599535,0.879999999999999,-0.4850000000000012
