Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,161.5,162.83,163.29,160.46,3825044,,
45294,160.1,161.0,161.73,160.08,4086065,,
45295,160.86,160.22,161.81,160.17,3212004,,
45296,159.16,159.91,160.55,158.67,4199504,,
45299,161.14,158.69,161.216,157.885,3321698,,
45300,160.08,160.0,160.4837,159.51,2617186,,
45301,161.23,160.28,161.34,159.74,2967852,,
45302,162.16,161.02,162.23,160.29,3778395,,
45303,165.8,162.97,165.98,162.355,4958261,,
45307,166.96,165.8,167.25,165.34,4869635,,
45308,166.08,166.79,167.82,165.495,4288604,4.5800000000000125,
45309,166.84,166.49,166.99,165.04,3776990,6.740000000000009,
45310,171.48,170.59,171.5791,169.18,6929079,10.619999999999976,
45313,172.83,172.82,174.45,172.4,4925964,13.670000000000016,
45314,173.94,172.9,174.02,172.48,3983461,12.800000000000011,
45315,173.93,174.76,174.86,172.9,9097827,13.849999999999994,
45316,190.43,184.96,196.9,184.83,29596239,29.200000000000017,
45317,187.42,191.31,192.3896,186.16,9895941,25.25999999999999,
45320,187.14,187.46,189.46,186.05,6107908,21.339999999999975,
45321,187.87,187.71,188.65,186.77,4575058,20.909999999999997,
45322,183.66,187.05,187.65,183.14,8876055,17.579999999999984,
45323,186.9,183.63,187.51,182.71,4669444,20.060000000000002,
45324,185.79,187.1,187.39,185.615,4055411,14.310000000000002,
45327,183.42,185.51,185.78,183.255,4379602,10.589999999999975,
45328,183.41,183.55,184.68,183.04,3338196,9.469999999999999,
45329,183.74,183.34,184.02,182.625,4841188,9.810000000000002,
45330,184.36,182.63,184.55,181.49,5161185,-6.069999999999993,
45331,186.34,184.44,187.18,183.85,5064641,-1.079999999999984,
45334,186.16,185.9,186.48,184.03,4724021,-0.9799999999999898,
45335,183.7,184.28,184.77,182.36,4290453,-4.170000000000016,
45336,183.57,185.0,185.0,182.26,3173391,-0.09000000000000341,22.069999999999993
45337,186.87,183.62,186.98,183.62,4714301,-0.030000000000001137,26.77000000000001
45338,187.64,186.63,188.95,185.9452,4842840,1.8499999999999943,26.779999999999973
45342,183.44,187.64,188.77,183.06,4247181,0.020000000000010232,24.28
45343,179.7,182.56,183.03,178.75,4728473,-3.710000000000008,18.560000000000002
45344,184.21,182.45,184.55,181.93,5078398,0.46999999999999886,24.129999999999995
45345,185.72,184.9,186.455,184.57,3433800,1.3599999999999852,24.49000000000001
45348,184.13,185.6,186.125,184.06,4620815,-2.210000000000008,21.97
45349,184.87,184.16,185.13,182.62,3641378,-1.289999999999992,19.069999999999993
45350,185.3,184.63,185.37,183.55,3216345,1.6000000000000227,18.340000000000003
45351,185.03,186.15,186.8495,184.69,6458487,1.460000000000008,18.94999999999999
45352,188.2,185.49,188.38,185.18,4018354,1.329999999999984,21.359999999999985
45355,193.06,187.76,193.898,187.6,7938266,5.420000000000016,21.580000000000013
45356,191.95,192.0,193.94,190.57,5653641,8.509999999999991,19.119999999999976
45357,196.16,193.5,198.13,192.96,6945818,16.460000000000008,22.22
45358,196.54,197.58,198.73,196.14,4604458,12.329999999999984,22.609999999999985
45359,195.95,196.06,197.77,194.38,3943113,10.22999999999999,5.519999999999982
45362,191.73,195.09,195.3775,190.88,4725057,7.599999999999994,4.310000000000002
45363,197.78,192.46,199.18,192.15,5880075,12.909999999999997,10.640000000000015
45364,196.7,197.55,198.1,195.32,3993258,11.399999999999977,8.829999999999984
45365,193.43,196.95,197.748,192.12,4109636,8.400000000000006,9.77000000000001
45366,191.07,191.99,193.0573,190.7,8828184,2.8700000000000045,4.1699999999999875
45369,191.69,191.7,193.23,190.32,5410562,-1.3700000000000045,5.900000000000006
45370,193.34,191.49,193.58,190.28,5317341,1.3900000000000148,9.920000000000016
45371,193.96,192.87,193.98,191.31,3238643,-2.1999999999999886,10.550000000000011
45372,191.9,193.0,193.37,190.01,6013561,-4.639999999999986,8.159999999999997
45373,190.84,192.0,192.985,190.51,3988398,-5.109999999999985,6.47999999999999
45376,188.79,190.26,190.82,188.75,3718289,-2.9399999999999977,2.4499999999999886
45377,188.5,189.02,190.0,188.5,4229535,-9.280000000000001,2.3400000000000034
45378,190.8,189.6,190.96,188.6,3693305,-5.899999999999977,7.100000000000023
45379,190.96,190.94,191.9299,190.34,3742169,-2.469999999999999,7.390000000000015
45383,189.83,190.0,190.46,188.52,2364320,-1.2399999999999807,2.960000000000008
45384,188.88,189.14,189.8,187.6,2693455,-2.8100000000000023,1.240000000000009
45385,190.9,188.6,191.35,188.485,2826193,-2.4399999999999977,7.460000000000008
45386,187.94,192.0,193.28,187.34,2983853,-6.02000000000001,8.240000000000009
45387,189.14,188.59,190.32,188.02,2014264,-2.7600000000000193,4.929999999999978
45390,189.82,189.24,190.24,188.9118,2678284,-1.0200000000000102,4.099999999999994
45391,189.31,190.54,191.25,186.66,2794381,0.5200000000000102,5.180000000000007
45392,186.04,187.42,187.915,185.52,3081915,-2.460000000000008,1.1699999999999875
45393,185.9,186.04,186.795,184.58,2861736,-4.900000000000006,0.5999999999999943
45394,182.27,184.0,185.1699,181.685,3547378,-8.689999999999998,-2.759999999999991
45397,181.25,185.57,187.48,180.88,3528140,-8.580000000000013,-6.949999999999989
45398,183.75,185.59,185.71,182.86,4473654,-5.1299999999999955,-9.310000000000002
45399,183.1,184.16,184.67,181.78,3003033,-7.800000000000011,-8.849999999999994
45400,181.47,182.35,183.46,180.17,2886733,-6.469999999999999,-14.689999999999998
45401,181.58,182.43,182.8,180.57,3037990,-7.559999999999974,-14.95999999999998
45404,181.9,182.45,183.315,180.45,3076451,-7.9199999999999875,-14.049999999999983
45405,182.19,182.73,184.68,179.0,5950229,-7.1200000000000045,-9.539999999999992
45406,184.1,183.17,184.29,181.4,7616643,-1.9399999999999977,-13.680000000000007
45407,168.91,168.2,172.45,165.66,16702150,-16.99000000000001,-27.789999999999992
45408,167.13,167.5,167.87,165.73,8983796,-15.140000000000015,-26.30000000000001
45411,167.43,167.4,168.22,166.225,5263342,-13.819999999999993,-23.639999999999986
45412,166.2,166.49,166.76,165.2605,6011634,-17.55000000000001,-25.49000000000001
45413,164.43,165.69,166.27,164.3,4030960,-18.669999999999987,-28.909999999999997
45414,164.69,164.35,164.88,162.62,3829853,-16.78,-29.27000000000001
45415,165.71,165.0,166.61,164.92,3400405,-15.870000000000005,-26.189999999999998
45418,168.61,166.5,168.67,166.38,4222266,-13.289999999999992,-22.22999999999999
45419,168.38,169.0,169.29,167.94,3155260,-13.810000000000002,-20.409999999999997
45420,169.9,168.01,170.26,167.9,3522011,-14.199999999999989,-18.599999999999994
45421,166.27,167.5,167.55,165.88,4266616,-2.6399999999999864,-24.53
45422,167.15,167.13,168.07,166.32,2255370,0.020000000000010232,-23.810000000000002
45425,167.56,167.5,168.06,166.76,2414859,0.12999999999999545,-22.27000000000001
45426,167.36,167.86,168.13,166.48,2600967,1.160000000000025,-21.519999999999982
45427,168.26,167.94,168.35,167.34,4468823,3.829999999999984,-22.640000000000015
45428,168.97,168.26,169.63,167.79,3492267,4.280000000000001,-18.97
45429,169.03,168.97,169.11,167.33,2956387,3.319999999999993,-20.109999999999985
45432,169.92,169.0,170.16,168.38,2726261,1.3099999999999739,-19.900000000000006
45433,173.47,169.94,174.97,169.94,6459800,5.090000000000003,-15.840000000000003
45434,173.69,173.39,174.99,172.76,3294900,3.789999999999992,-12.349999999999994
45435,170.67,175.39,175.46,170.435,3341335,4.399999999999977,-15.230000000000018
45436,170.89,171.48,172.01,170.21,2587829,3.7399999999999807,-11.380000000000024
45440,169.66,170.44,171.085,168.65,2629645,2.0999999999999943,-11.590000000000003
45441,167.05,168.0,168.63,166.21,4206576,-0.3100000000000023,-16.69999999999999
45442,165.63,165.56,166.73,164.23,3852963,-2.6299999999999955,-17.47
45443,166.85,165.7,166.97,163.84,4905002,-2.1200000000000045,-14.620000000000005
45446,165.28,166.54,166.78,163.53,2776058,-3.75,-16.30000000000001
45447,165.81,164.6,166.4,163.88,2594203,-4.109999999999985,-16.090000000000003
45448,167.38,166.41,167.79,165.78,3049377,-6.090000000000003,-14.810000000000002
45449,168.2,167.38,168.44,166.8,2207263,-5.490000000000009,-15.900000000000006
45450,170.01,168.18,171.305,168.06,3475495,-0.6599999999999966,1.0999999999999943
45453,170.38,169.55,170.76,168.88,3444684,-0.5099999999999909,3.25
45454,169.32,169.98,170.0,166.81,2951251,-0.3400000000000034,1.8899999999999864
45455,169.0,171.35,172.47,168.101,3522698,1.9499999999999886,2.8000000000000114
45456,169.12,169.01,169.59,168.335,3525717,3.490000000000009,4.689999999999998
45457,169.21,168.29,169.47,167.23,2777717,2.3600000000000136,4.52000000000001
45460,169.5,168.76,169.72,167.5,3239815,4.219999999999999,3.789999999999992
45461,170.55,170.0,170.75,168.38,3386442,4.740000000000009,1.9399999999999977
45463,173.92,174.08,174.28,171.22,4723078,6.539999999999992,5.539999999999992
45464,172.46,173.97,174.96,171.4,10182025,4.260000000000019,2.5600000000000023
45467,175.01,175.0,178.4599,174.15,4864735,5.0,8.73999999999998
45468,172.6,175.14,175.7526,171.42,4119267,2.219999999999999,5.449999999999989
45469,171.87,171.28,172.68,170.41,2779016,2.5500000000000114,4.310000000000002
45470,170.85,171.12,172.5,170.48,2894001,1.8499999999999943,3.4899999999999807
45471,172.95,170.85,173.46,170.53,4193459,3.829999999999984,4.689999999999998
45474,175.1,173.45,176.46,173.38,3320961,5.889999999999986,6.1299999999999955
45475,177.3,174.84,177.485,174.32,2883275,7.800000000000011,8.27000000000001
45476,175.73,177.88,177.98,175.17,1649049,5.179999999999978,5.810000000000002
45478,176.02,175.74,176.09,173.95,2085970,2.1000000000000227,2.5500000000000114
45481,177.64,176.41,178.59,176.01,2503038,5.179999999999978,3.9499999999999886
45482,176.48,177.6,177.7,175.58,2513305,1.4699999999999989,5.810000000000002
45483,177.84,176.6,178.22,174.45,3462182,5.240000000000009,6.950000000000017
45484,178.31,177.65,179.44,176.62,2807145,6.439999999999998,8.650000000000006
45485,182.83,178.56,184.16,178.5,4785565,11.980000000000018,15.780000000000001
45488,182.88,183.38,184.9,182.6,2925794,9.930000000000007,17.25
45489,185.81,184.67,186.6,184.52,3374526,10.710000000000008,18.960000000000008
45490,187.45,185.44,187.94,185.07,4225302,10.149999999999977,22.169999999999987
45491,185.22,186.64,189.47,185.1,3487808,9.490000000000009,19.409999999999997
45492,183.25,186.33,187.0,181.95,3816039,7.22999999999999,15.870000000000005
45495,184.15,183.4,184.97,182.86,2488525,6.510000000000019,15.950000000000017
45496,184.1,184.36,185.38,183.01,2180225,7.6200000000000045,14.090000000000003
45497,184.02,184.14,185.0714,183.145,6962071,6.180000000000007,13.640000000000015
45498,191.98,186.8,196.26,185.3,9532802,13.669999999999987,22.659999999999997
45499,191.75,190.51,193.57,189.622,4294875,8.919999999999987,22.75
45502,191.5,193.18,193.29,189.18,3336806,8.620000000000005,22.379999999999995
45503,191.04,191.48,192.77,189.09,3064978,5.22999999999999,21.829999999999984
45504,192.14,191.0,194.5499,189.99,5558405,4.689999999999998,22.639999999999986
45505,189.66,192.81,193.635,188.29,4085354,4.439999999999998,19.109999999999985
45506,189.12,188.78,189.26,185.7,4548824,5.8700000000000045,15.200000000000017
45509,183.31,184.55,185.255,181.81,4975002,-0.8400000000000034,10.849999999999994
45510,186.8,184.7,188.9,183.64,3632517,2.700000000000017,11.79000000000002
45511,186.8,188.08,189.87,186.7,3801942,2.780000000000001,14.200000000000017
45512,192.61,187.5,192.88,187.0,3712698,0.6300000000000239,20.74000000000001
45513,191.45,191.18,192.63,189.04,2773706,-0.30000000000001137,20.599999999999994
45516,189.48,191.25,191.5761,189.0001,2290421,-2.0200000000000102,16.53
45517,190.99,190.29,191.31,189.21,2178862,-0.04999999999998295,15.890000000000015
45518,192.32,191.15,193.09,190.73,1895114,0.18000000000000682,15.019999999999982
45519,193.95,193.51,194.25,193.28,2471985,4.289999999999992,18.22
45520,193.78,193.58,194.35,192.86,2494472,4.659999999999997,17.75999999999999
45523,194.73,193.84,195.525,193.715,2361378,11.419999999999987,17.090000000000003
45524,196.03,194.59,196.21,193.75,1790371,9.22999999999999,19.55000000000001
45525,197.21,195.97,197.33,194.115,2579343,10.409999999999997,19.370000000000005
45526,195.96,197.25,197.92,195.57,1969496,3.3499999999999943,17.650000000000006
45527,196.1,196.79,197.38,194.39,2321961,4.650000000000006,13.269999999999982
45530,197.98,196.0,198.345,195.9,2567217,8.5,15.099999999999994
45531,198.73,197.44,199.4,196.97,2617229,7.739999999999981,12.919999999999987
45532,198.46,199.0,200.0,197.49,2645244,6.140000000000015,11.01000000000002
45533,198.9,199.3,201.12,198.27,2989594,4.950000000000017,13.680000000000007
45534,202.13,199.11,202.17,198.73,4750999,8.349999999999994,18.879999999999995
45538,201.28,201.91,204.72,200.21,3874697,6.550000000000011,17.129999999999995
45539,204.11,200.76,204.36,200.5,3142476,8.080000000000013,20.01000000000002
45540,202.59,204.08,205.95,200.96,3229345,5.3799999999999955,18.569999999999993
45541,200.74,202.38,204.1,199.335,3304491,4.780000000000001,8.76000000000002
45544,203.53,201.94,205.05,201.43,3705004,7.430000000000007,11.780000000000001
45545,205.32,204.2,205.83,202.87,3070644,7.340000000000003,13.819999999999993
45546,209.89,207.76,210.12,203.04,5554309,11.159999999999997,18.849999999999994
45547,211.61,210.0,212.65,208.265,4616446,13.150000000000006,19.470000000000027
45548,214.79,212.48,216.09,212.13,4572344,15.889999999999986,25.129999999999995
45551,217.16,215.88,217.9,215.52,4176257,15.030000000000001,28.039999999999992
45552,214.13,217.25,218.84,213.0,5635210,12.849999999999994,30.819999999999993
45553,214.94,214.13,216.86,213.59,3482764,10.829999999999984,28.139999999999986
45554,213.89,218.01,218.48,210.37,5279559,11.299999999999983,27.089999999999975
45555,217.7,214.33,217.85,213.74,9958980,16.95999999999998,25.089999999999975
45558,220.5,218.0,220.62,217.27,4074755,16.97,29.05000000000001
45559,220.97,219.78,221.19,218.16,3184114,15.650000000000006,31.49000000000001
45560,221.23,221.17,221.85,220.16,2537751,11.340000000000003,30.23999999999998
45561,223.43,222.11,224.0,221.355,2673210,11.819999999999993,31.110000000000014
45562,220.84,223.0,224.15,220.77,3830335,6.050000000000011,26.890000000000015
