Date,Close,Open,High,Low,Volume
45293,138.17,138.55,139.45,136.48,23711220
45294,138.92,137.25,139.63,137.08,24212147
45295,136.39,138.42,139.16,136.35,27137735
45296,135.73,136.745,137.1558,135.15,22513854
45299,138.84,136.29,139.01,136.26,21403982
45300,140.95,138.5,141.485,138.15,24759598
45301,142.28,141.0,143.0,140.91,21320203
45302,142.08,143.49,145.22,140.635,24008722
45303,142.65,142.67,143.195,141.82,18785514
45307,142.49,142.0,144.35,141.45,22670467
45308,141.47,141.345,141.84,138.9,20968649
45309,143.48,142.05,144.21,141.99,25746417
45310,146.38,144.74,146.45,144.38,34271867
45313,145.99,147.1,148.39,145.84,32200369
45314,147.04,145.89,147.182,145.5,21636129
45315,148.7,148.54,149.855,148.1,25233450
45316,151.87,150.065,153.05,149.54,29149069
45317,152.185,151.1,152.535,151.01,26115494
45320,153.51,152.06,153.78,151.43,27784259
45321,151.46,152.8,153.62,151.185,36331833
45322,140.1,143.62,144.0,139.87,71910044
45323,141.16,142.12,143.06,140.79,40466549
45324,142.38,139.26,142.62,136.5,62499574
45327,143.68,142.82,145.47,142.78,38505405
45328,144.1,144.65,145.36,143.19,29128201
45329,145.54,144.76,145.615,143.925,25208862
45330,145.91,145.83,146.33,145.105,22563764
45331,149.0,146.68,149.44,146.18,26829504
45334,147.53,148.42,149.335,147.37,21564085
45335,145.14,144.92,146.67,143.69,27837730
45336,145.94,146.08,146.52,144.094,22704166
45337,142.77,143.14,143.52,140.46,37590695
45338,140.52,142.99,143.19,140.14,31468926
45342,141.12,139.655,142.08,139.49,24935710
45343,142.55,141.45,142.69,140.675,23315687
45344,144.09,144.93,145.0,142.8,27191892
45345,143.96,143.67,144.68,143.43,19493752
45348,137.57,142.14,142.44,137.39,53641795
45349,138.88,138.02,139.25,137.09,33099190
45350,136.38,137.9,138.01,135.41,37328558
45351,138.46,137.28,138.86,136.4,42132953
45352,137.14,138.43,138.87,136.92,31151116
45355,133.35,135.66,135.66,131.91,55999415
45356,132.67,131.88,133.24,130.665,40194757
45357,131.4,133.12,133.58,130.85,35318610
45358,134.38,132.795,134.94,131.61,37738209
45359,135.41,134.21,138.085,134.0,39370392
45362,137.67,136.13,139.095,136.13,32437772
45363,138.5,137.03,139.375,137.03,27563354
45364,139.79,139.0,141.09,138.99,23347208
45365,143.1,141.19,143.585,140.455,42753387
45366,141.18,142.5,143.18,140.03,49475417
45369,147.68,148.61,152.15,147.17,69273699
45370,147.03,148.16,148.7913,146.08,24070435
45371,148.74,148.0,148.86,146.735,21311501
45372,147.6,149.47,150.37,146.9001,24755597
45373,150.77,149.12,151.58,148.98,29211769
45376,150.07,149.94,150.375,147.82,19229285
45377,150.67,150.22,152.256,149.98,22149137
45378,150.87,151.18,151.635,148.9,22879178
45379,150.93,150.85,151.43,150.17,24485390
45383,155.49,150.69,155.74,150.61,31730848
45384,154.56,153.5,154.7,152.15,24585985
45385,154.92,153.6,155.08,152.73,24704991
45386,150.53,153.5,154.77,150.45,34724738
45387,152.5,150.03,153.42,149.6,23459246
45390,154.85,152.78,155.27,152.61,20701974
