Date,Close,Open,High,Low,Volume
45293,149.93,151.54,152.38,148.39,47339424
45294,148.47,149.2,151.05,148.33,49425495
45295,144.57,145.59,147.38,144.05,56039807
45296,145.24,144.69,146.59,144.53,45153147
45299,149.1,146.74,149.4,146.15,46757053
45300,151.37,148.33,151.71,148.21,43812567
45301,153.73,152.06,154.42,151.881,44421830
45302,155.18,155.04,157.17,153.12,49072691
45303,154.62,155.39,156.2,154.01,40484155
45307,153.16,153.53,154.99,152.15,41384636
45308,151.71,151.49,152.15,149.91,34953363
45309,153.5,152.77,153.775,151.82,37850245
45310,155.34,153.83,155.76,152.74,51651628
45313,154.78,156.89,157.05,153.9,43687468
45314,156.02,154.85,156.21,153.93,37986039
45315,156.87,157.8,158.51,156.48,48547315
45316,157.75,156.95,158.505,154.5501,43638592
45317,159.12,158.42,160.72,157.91,51047353
45320,161.26,159.34,161.29,158.9,45270385
45321,159.0,160.7,161.73,158.49,45207430
45322,155.2,157.0,159.01,154.81,50284371
45323,159.28,155.87,159.76,155.62,76542419
45324,171.81,169.19,172.5,167.33,117218313
45327,170.31,170.2,170.55,167.7,55081297
45328,169.15,169.39,170.71,167.65,42505518
45329,170.53,169.48,170.88,168.94,47174060
45330,169.84,169.65,171.43,168.88,42316454
45331,174.45,170.9,175.0,170.5803,56985986
45334,172.34,174.8,175.39,171.54,51050440
45335,168.64,167.73,170.95,165.75,56345122
45336,170.98,169.21,171.21,168.28,42815544
45337,169.8,170.58,171.17,167.59,49855196
45338,169.51,168.74,170.42,167.17,48107744
45342,167.08,167.83,168.71,165.74,41980326
45343,168.59,168.94,170.23,167.14,44575623
45344,174.58,173.1,174.8,171.77,55392354
45345,174.99,174.28,175.75,173.7,59715243
45348,174.73,175.7,176.37,174.26,44368614
45349,173.54,174.075,174.62,172.86,31141732
45350,173.16,172.44,174.05,172.27,28180482
45351,176.76,173.01,177.22,172.85,53805359
45352,178.22,176.75,178.725,176.07,31981152
45355,177.58,177.53,180.14,177.49,37381520
45356,174.12,176.93,176.93,173.303,37228343
45357,173.51,175.54,176.46,173.26,32090926
45358,176.82,174.83,177.99,173.72,34063283
45359,175.35,176.44,178.785,174.33,37893242
45362,171.96,174.31,174.47,171.47,28484777
45363,175.39,173.5,176.76,171.98,36610604
45364,176.555,175.9,177.62,175.55,30772600
45365,178.75,177.69,179.53,176.465,43705840
45366,174.42,176.64,177.93,173.9,72147390
45369,174.48,175.8,176.69,174.28,31250688
45370,175.9,174.215,176.09,173.52,26880893
45371,178.15,176.14,178.53,174.64,29947150
45372,178.15,179.988,181.415,178.15,32824320
45373,178.87,177.752,179.255,176.75,27995378
45376,179.71,178.01,180.99,177.24,29815464
45377,178.3,180.15,180.45,177.95,29658982
45378,179.83,179.88,180.0,177.3099,33272551
45379,180.38,180.17,181.7,179.26,38051588
45383,180.97,180.79,183.0,179.95,29174521
45384,180.69,179.07,180.79,178.3762,32611546
45385,182.41,179.9,182.87,179.8,31046638
45386,180.0,184.0,185.1,180.0,41624261
45387,185.07,182.38,186.27,181.97,42373992
45390,185.19,186.9,187.29,184.81,39221282
45391,185.67,187.24,187.34,184.2,36546946
45392,185.95,182.765,186.2699,182.67,35879151
45393,189.05,186.74,189.77,185.51,40020742
45394,186.13,187.72,188.38,185.08,38608849
45397,183.62,187.425,188.69,183.0,48052395
45398,183.32,183.27,184.83,182.26,32891265
45399,181.28,184.31,184.57,179.82,31359673
45400,179.22,181.47,182.39,178.65,30723793
45401,174.63,178.74,179.0,173.44,56000729
45404,177.23,176.94,178.87,174.56,37924890
45405,179.54,178.08,179.93,175.975,37046519
45406,176.59,179.94,180.323,176.18,34185109
45407,173.67,169.68,173.92,166.32,49249390
45408,179.62,177.795,180.82,176.13,43919765
45411,180.96,182.75,183.53,179.39,54063937
45412,175.0,181.09,182.99,174.8,94639786
45413,179.0,181.635,185.15,176.56,94645148
45414,184.72,180.85,185.1,179.91,54303510
45415,186.21,186.99,187.87,185.42,39172004
45418,188.7,186.28,188.745,184.8,34725295
45419,188.76,188.92,189.94,187.305,34048902
45420,188.0,187.44,188.43,186.385,26136350
45421,189.5,188.88,191.7,187.44,43368377
45422,187.48,189.16,189.892,186.93,34141771
45425,186.57,188.0,188.31,185.36,24898613
45426,187.07,183.82,187.72,183.45,38698155
45427,185.99,185.97,186.7193,182.73,75459927
45428,183.63,185.6,187.31,183.46,38834450
45429,184.7,183.76,185.3,183.35,33175655
45432,183.54,184.34,186.665,183.28,30511768
45433,183.15,182.3,183.26,180.75,50839129
45434,183.13,183.88,185.22,181.9715,28148784
45435,181.05,183.66,184.76,180.08,33670173
45436,180.75,181.65,182.435,180.3,27471640
45440,182.15,179.93,182.24,179.49,29926963
45441,182.02,181.7,184.08,181.55,32009294
45442,179.32,181.31,181.34,178.355,29249229
45443,176.44,178.3,179.21,173.87,58903939
45446,178.34,177.7,178.7,175.92,30786640
45447,179.34,177.64,179.82,176.44,27198388
45448,181.28,180.1,181.5,178.75,32116394
45449,185.0,181.745,185.0,181.49,31371151
45450,184.3,184.9,186.2888,183.36,28021473
45453,187.06,184.07,187.23,183.79,34494498
45454,187.23,187.06,187.77,184.5373,27265108
45455,186.89,188.015,188.35,185.43,33984216
45456,183.83,186.09,187.67,182.666,39721545
45457,183.66,183.08,183.72,182.23,25456410
45460,184.06,182.52,185.0,181.22,35601907
45461,182.81,183.735,184.29,181.43,36659157
45463,186.1,182.91,186.51,182.72,44726779
45464,189.08,187.8,189.275,185.86,72931754
45467,185.57,189.33,191.0,185.33,50610379
45468,186.34,186.81,188.84,185.42,45898475
45469,193.61,186.92,194.8,186.26,65103893
45470,197.85,195.005,199.84,194.2,74397491
45471,193.25,197.73,198.85,192.5,76930192
45474,197.2,193.49,198.2957,192.82,41192011
