Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,185.64,187.15,188.44,183.885,82488674,,
45294,184.25,184.22,185.88,183.43,58414460,,
45295,181.91,182.15,183.0872,180.88,71983570,,
45296,181.18,181.99,182.76,180.17,62379661,,
45299,185.56,182.085,185.6,181.5,59144470,,
45300,185.14,183.92,185.15,182.73,42841809,,
45301,186.19,184.35,186.4,183.92,46792908,,
45302,185.59,186.54,187.05,183.62,49128408,,
45303,185.92,186.06,186.74,185.19,40477782,,
45307,183.63,182.16,184.26,180.934,65603041,,
45308,182.68,181.27,182.93,180.3,47317433,-2.9599999999999795,
45309,188.63,186.09,189.14,185.83,78005754,4.3799999999999955,
45310,191.56,189.33,191.95,188.82,68902985,9.650000000000006,
45313,193.89,192.3,195.33,192.26,60133852,12.70999999999998,
45314,195.18,195.02,195.75,193.8299,42355590,9.620000000000005,
45315,194.5,195.42,196.38,194.34,53631316,9.360000000000014,
45316,194.17,195.22,196.2675,193.1125,54822126,7.97999999999999,
45317,192.42,194.27,194.76,191.94,44594011,6.829999999999984,
45320,191.73,192.01,192.2,189.58,47145622,5.810000000000002,
45321,188.04,190.94,191.8,187.47,55859370,4.409999999999997,
45322,184.4,187.04,187.095,184.35,55467803,1.7199999999999989,
45323,186.86,183.985,186.95,183.82,64885408,-1.7699999999999818,
45324,185.85,179.86,187.33,179.25,102551680,-5.710000000000008,
45327,187.68,188.15,189.25,185.84,69668820,-6.2099999999999795,
45328,189.3,186.86,189.31,186.7695,43490759,-5.8799999999999955,
45329,189.41,190.64,191.05,188.61,53438955,-5.090000000000003,
45330,188.32,189.385,189.535,187.35,40962046,-5.849999999999994,
45331,188.85,188.65,189.99,188.0,45155216,-3.569999999999993,
45334,187.15,188.415,188.67,186.79,41781934,-4.579999999999984,
45335,185.04,185.77,186.21,183.5128,56529529,-3.0,
45336,184.15,185.32,185.53,182.44,54630517,-0.25,-1.4899999999999807
45337,183.86,183.55,184.49,181.35,65434496,-3.0,-0.38999999999998636
45338,182.31,183.42,184.85,181.665,49752465,-3.539999999999992,0.4000000000000057
45342,181.56,181.79,182.43,180.0,53665553,-6.1200000000000045,0.37999999999999545
45343,182.32,181.94,182.8888,180.66,41529674,-6.980000000000018,-3.240000000000009
45344,184.37,183.48,184.955,182.46,52292208,-5.039999999999992,-0.7699999999999818
45345,182.52,185.01,185.04,182.23,45119677,-5.799999999999983,-3.6699999999999875
45348,181.16,182.24,182.76,180.65,40867421,-7.689999999999998,-4.430000000000007
45349,182.63,181.1,183.9225,179.56,54318851,-4.52000000000001,-3.289999999999992
45350,181.42,182.51,183.12,180.13,48953939,-3.6200000000000045,-2.210000000000008
45351,180.75,181.27,182.57,179.53,136682597,-3.4000000000000057,-1.9300000000000068
45352,179.66,179.55,180.53,177.38,73563082,-4.200000000000017,-8.969999999999999
45355,175.1,176.15,176.9,173.79,81510101,-7.210000000000008,-16.460000000000008
45356,170.12,170.76,172.04,169.62,95132355,-11.439999999999998,-23.769999999999982
45357,169.12,171.06,171.24,168.68,68587707,-13.199999999999989,-26.060000000000002
45358,169.0,169.15,170.73,168.49,71765061,-15.370000000000005,-25.5
45359,170.73,169.0,173.7,168.94,76267041,-11.79000000000002,-23.439999999999998
45362,172.75,172.94,174.38,172.05,60139473,-8.409999999999997,-19.669999999999987
45363,173.23,173.15,174.03,171.01,59825372,-9.400000000000006,-18.5
45364,171.13,172.77,173.185,170.76,52488692,-10.289999999999992,-16.909999999999997
45365,173.0,172.91,174.3078,172.05,72913507,-7.75,-11.400000000000006
45366,172.62,171.17,172.62,170.285,121752699,-7.039999999999992,-14.240000000000009
45369,173.72,175.57,177.71,173.52,75604184,-1.3799999999999955,-12.129999999999995
45370,176.08,174.34,176.605,173.03,55215244,5.960000000000008,-11.599999999999994
45371,178.67,175.72,178.67,175.09,53423102,9.549999999999983,-10.630000000000024
45372,171.37,177.05,177.49,170.84,106181270,2.3700000000000045,-18.039999999999992
45373,172.28,171.76,173.05,170.06,71160138,1.5500000000000114,-16.039999999999992
45376,170.85,170.565,171.94,169.45,54288328,-1.9000000000000057,-18.0
45377,169.71,170.0,171.42,169.58,57388449,-3.519999999999982,-17.439999999999998
45378,173.31,170.41,173.6,170.11,60273265,2.180000000000007,-11.72999999999999
45379,171.48,171.75,172.23,170.51,65672690,-1.5200000000000102,-12.670000000000016
45383,170.03,171.19,171.25,169.475,46240500,-2.5900000000000034,-13.830000000000013
