Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,59.82,58.8,59.88,58.67,16322593,,
45294,59.96,59.93,60.2,59.76,14830634,,
45295,59.76,60.05,60.26,59.66,12912926,,
45296,59.67,59.8,59.95,59.0921,10412798,,
45299,60.11,59.68,60.18,59.42,11554634,,
45300,60.0,59.99,60.135,59.62,10493653,,
45301,60.2,60.22,60.41,59.98,12257983,,
45302,59.81,60.25,60.26,59.69,13754232,,
45303,60.39,60.08,60.46,59.87,13218008,,
45307,59.99,60.39,60.43,59.85,11826910,,
45308,59.99,59.86,60.21,59.82,8982132,0.1700000000000017,
45309,60.16,59.69,60.23,59.525,10397682,0.19999999999999574,
45310,59.83,60.26,60.28,59.64,14392600,0.07000000000000028,
45313,59.57,59.755,60.065,59.44,14314265,-0.10000000000000142,
45314,59.85,59.53,60.0,59.46,14481643,-0.259999999999998,
45315,58.91,59.8,59.81,58.89,16370484,-1.0900000000000034,
45316,59.16,59.01,59.17,58.66,14899712,-1.0400000000000063,
45317,59.37,59.25,59.49,59.125,13025072,-0.44000000000000483,
45320,59.73,59.34,59.79,59.17,14547070,-0.6600000000000037,
45321,59.9,59.85,60.02,59.445,22061536,-0.09000000000000341,
45322,59.49,60.1,60.45,59.29,22836998,-0.5,
45323,60.98,59.57,61.005,59.36,15870884,0.8200000000000003,
45324,60.54,60.82,60.87,60.23,17544906,0.7100000000000009,
45327,60.04,60.38,60.38,59.88,12759569,0.46999999999999886,
45328,59.94,59.96,60.05,59.68,12777150,0.0899999999999963,
45329,59.99,60.07,60.21,59.94,10259892,1.0800000000000054,
45330,59.83,59.89,59.97,59.41,12874761,0.6700000000000017,
45331,59.56,59.47,59.58,59.03,15235251,0.19000000000000483,
45334,59.7,59.66,59.76,58.96,13516782,-0.02999999999999403,
45335,59.35,59.5,60.655,58.79,24195706,-0.5499999999999972,
45336,59.29,59.17,59.59,59.035,15872453,-0.20000000000000284,-0.5300000000000011
45337,59.4,59.42,59.59,59.13,13695848,-1.5799999999999983,-0.5600000000000023
45338,59.39,59.35,59.62,58.955,13947057,-1.1499999999999986,-0.36999999999999744
45342,60.7,59.595,60.84,59.51,18339324,0.6600000000000037,1.0300000000000011
45343,61.24,60.99,61.28,60.83,14378264,1.3000000000000043,1.1300000000000026
45344,61.15,60.99,61.25,60.5,12982799,1.1599999999999966,1.1499999999999986
45345,61.2,61.09,61.62,61.0,13612914,1.3700000000000045,1.0
45348,60.71,61.24,61.27,60.66,10336096,1.1499999999999986,0.8999999999999986
45349,60.34,60.54,60.78,60.12,9931088,0.6400000000000006,-0.04999999999999716
45350,60.4,60.37,60.49,60.06,8076536,1.0499999999999972,0.4099999999999966
45351,60.02,60.35,60.64,59.9,18152651,0.730000000000004,0.030000000000001137
45352,59.53,59.9,59.9,59.34,10927564,0.13000000000000256,-0.6299999999999955
45355,59.81,59.23,59.95,59.22,10150243,0.4200000000000017,-0.01999999999999602
45356,59.52,59.91,60.11,59.42,12309959,-1.1799999999999997,-0.04999999999999716
45357,59.55,59.52,59.995,59.38,12378815,-1.6900000000000048,-0.30000000000000426
45358,59.44,59.69,59.77,59.24,13686859,-1.7100000000000009,0.5300000000000011
45359,59.52,59.3,59.79,58.97,13239013,-1.6799999999999997,0.36000000000000654
45362,60.24,59.78,60.29,59.575,14114260,-0.46999999999999886,0.8700000000000045
45363,60.5,60.32,60.75,60.21,12684645,0.1599999999999966,0.7700000000000031
45364,61.12,60.88,61.21,60.8001,13909460,0.7199999999999989,1.2199999999999989
45365,60.5,60.58,60.8,60.4,13996609,0.4799999999999969,1.009999999999998
45366,59.88,60.02,60.45,59.64,36849930,0.3500000000000014,-1.0999999999999943
45369,60.13,59.89,60.4,59.801,15856686,0.3200000000000003,-0.4099999999999966
45370,60.23,60.24,60.35,60.06,15030627,0.7099999999999937,0.18999999999999773
45371,60.75,60.18,60.81,60.155,15258764,1.2000000000000028,0.8100000000000023
45372,60.47,60.56,60.99,60.32,13067077,1.0300000000000011,0.4799999999999969
45373,60.49,60.52,60.79,60.43,11502843,0.9699999999999989,0.6600000000000037
45376,60.4,60.48,60.71,60.12,13144651,0.1599999999999966,0.8399999999999963
45377,60.54,60.5,60.71,60.38,13277388,0.03999999999999915,0.8399999999999963
45378,61.03,60.79,61.43,60.7,12551216,-0.0899999999999963,1.6799999999999997
45379,61.18,61.14,61.26,60.995,13683528,0.6799999999999997,1.8900000000000006
45383,60.68,61.18,61.3,60.63,11668686,0.7999999999999972,1.2800000000000011
45384,60.15,60.45,60.73,60.11,13017260,0.01999999999999602,0.759999999999998
45385,59.83,60.05,60.39,59.78,13672922,-0.3999999999999986,-0.8700000000000045
45386,59.3,60.09,60.15,59.17,14320686,-1.4500000000000028,-1.9400000000000048
45387,59.51,59.25,59.68,58.9101,10157760,-0.9600000000000009,-1.6400000000000006
45390,59.27,59.4,59.47,59.07,10284535,-1.2199999999999989,-1.9299999999999997
45391,59.72,59.48,59.74,59.13,10792141,-0.6799999999999997,-0.990000000000002
45392,58.92,59.32,59.39,58.69,11861881,-1.6199999999999974,-1.4200000000000017
45393,59.05,59.15,59.37,58.785,11109007,-1.980000000000004,-1.3500000000000014
45394,58.28,58.95,59.01,58.13,12250949,-2.8999999999999986,-1.740000000000002
45397,58.14,58.61,58.805,58.04,12425049,-2.539999999999999,-1.3900000000000006
45398,58.06,58.25,58.38,57.93,11236839,-2.0899999999999963,-1.75
45399,58.51,58.28,58.555,58.1,13805068,-1.3200000000000003,-1.0100000000000051
45400,58.91,58.62,58.98,58.54,11125869,-0.39000000000000057,-0.6400000000000006
45401,60.17,59.1,60.355,58.995,21207852,0.6600000000000037,0.730000000000004
45404,60.55,60.14,60.63,59.715,15624546,1.279999999999994,1.029999999999994
45405,60.64,60.53,60.675,60.13,13689127,0.9200000000000017,0.3999999999999986
45406,61.55,60.32,61.65,59.84,19548315,2.6299999999999955,1.0499999999999972
45407,61.74,61.87,62.59,61.37,19048535,2.690000000000005,0.6200000000000045
45408,61.74,61.55,61.93,61.35,10994262,3.460000000000001,1.240000000000002
45411,62.04,61.92,62.05,61.53,13420749,3.8999999999999986,2.1599999999999966
45412,61.77,62.14,62.83,61.465,19349153,3.710000000000001,1.6400000000000006
45413,61.93,61.8,62.57,61.21,16730830,3.4200000000000017,1.7000000000000028
45414,61.99,62.18,62.3991,61.72,10991304,3.0800000000000054,1.240000000000002
45415,62.17,61.99,62.33,61.64,11628675,2.0,1.7000000000000028
45418,62.35,62.3,62.38,61.895,9310699,1.8000000000000043,1.8599999999999994
45419,62.62,62.76,62.82,62.25,9807029,1.9799999999999969,2.219999999999999
45420,62.85,62.85,62.97,62.48,10484408,1.3000000000000043,2.3100000000000023
45421,62.88,62.81,63.15,62.75,9113662,1.1400000000000006,1.8500000000000014
45422,63.26,62.92,63.36,62.79,8371691,1.519999999999996,2.0799999999999983
45425,63.58,63.24,63.62,63.18,10137619,1.5399999999999991,2.8999999999999986
45426,63.1,63.58,63.76,62.8,10852231,1.3299999999999983,2.950000000000003
45427,63.13,63.06,63.3915,63.0,9838897,1.2000000000000028,3.3000000000000043
45428,63.32,63.24,63.725,63.07,10228002,1.3299999999999983,4.020000000000003
45429,63.03,63.34,63.37,62.935,11539022,0.8599999999999994,3.520000000000003
45432,62.57,62.93,63.01,62.46,11000888,0.21999999999999886,3.299999999999997
45433,62.91,62.82,62.98,62.44,9796202,0.28999999999999915,3.1899999999999977
45434,63.0,62.71,63.02,62.66,7419406,0.14999999999999858,4.079999999999998
45435,62.09,62.49,62.88,62.05,9834292,-0.7899999999999991,3.0400000000000063
45436,62.0,62.22,62.42,61.97,8203136,-1.259999999999998,3.719999999999999
45440,61.82,61.79,62.13,61.4,12346998,-1.759999999999998,3.6799999999999997
45441,61.7,61.47,61.88,61.07,11861815,-1.3999999999999986,3.6400000000000006
45442,61.97,61.85,62.08,61.6,9436821,-1.1600000000000037,3.460000000000001
45443,62.93,61.99,63.025,61.69,19816630,-0.39000000000000057,4.020000000000003
45446,62.93,62.71,63.09,62.445,9369046,-0.10000000000000142,2.759999999999998
45447,63.94,63.2,63.97,62.94,11895622,1.3699999999999974,3.3900000000000006
45448,63.92,63.99,64.07,63.35,9632525,1.0100000000000051,3.280000000000001
45449,64.15,63.92,64.36,63.84,8658456,1.1500000000000057,2.6000000000000085
45450,63.91,64.09,64.225,63.81,9523089,1.8199999999999932,2.1699999999999946
45453,63.59,63.94,63.99,63.365,15687128,1.5900000000000034,1.8500000000000014
45454,63.55,63.59,63.645,63.07,8395960,1.7299999999999969,1.509999999999998
45455,62.88,63.69,63.69,62.685,9569550,1.1799999999999997,1.1099999999999994
45456,62.99,62.86,63.035,62.45,9668888,1.0200000000000031,1.0600000000000023
45457,62.55,62.38,62.69,62.09,8179239,-0.38000000000000256,0.5599999999999952
45460,62.62,62.37,62.895,62.18,10532715,-0.3100000000000023,0.44999999999999574
45461,62.63,62.53,62.82,62.44,10651661,-1.3099999999999952,0.28000000000000114
45463,62.18,62.4,62.74,61.945,13306273,-1.740000000000002,-0.4399999999999977
45464,62.77,62.18,63.1,62.18,28282194,-1.3800000000000026,-0.0799999999999983
45467,63.97,62.99,64.055,62.91,13212454,0.060000000000002274,1.0899999999999963
45468,63.84,63.935,64.07,63.51,10546793,0.25,0.5800000000000054
45469,64.05,63.4,64.11,63.23,9402502,0.5,0.46999999999999886
45470,63.91,64.05,64.27,63.62,8494123,1.029999999999994,0.8099999999999952
45471,63.65,63.9,64.06,63.52,17358827,0.6599999999999966,0.519999999999996
45474,63.28,64.03,64.3,63.12,10033361,0.730000000000004,-0.03999999999999915
45475,63.15,63.26,63.38,62.855,8878156,0.5300000000000011,0.11999999999999744
45476,63.33,63.19,63.665,62.93,9154198,0.6999999999999957,0.759999999999998
45478,63.76,63.33,63.79,62.995,11735460,1.5799999999999983,0.8500000000000014
45481,62.96,63.59,63.59,62.84,11235135,0.18999999999999773,-0.03999999999999915
45482,62.69,63.06,63.23,62.59,11660197,-1.2800000000000011,0.5999999999999943
45483,62.83,62.72,62.86,62.285,11930407,-1.0100000000000051,0.8299999999999983
45484,63.1,62.64,63.46,62.395,11434422,-0.9499999999999957,1.2800000000000011
45485,63.7,63.46,64.115,63.385,9201516,-0.20999999999999375,2.0
45488,63.41,63.79,63.94,63.35,8207521,-0.240000000000002,1.4399999999999977
45489,64.27,63.43,64.31,63.39,9025066,0.9899999999999949,1.3399999999999963
45490,65.21,64.47,65.39,64.405,12508215,2.059999999999995,2.279999999999994
45491,65.19,64.8,65.805,64.72,11128203,1.8599999999999994,1.25
45492,65.29,65.64,65.64,64.82,13775672,1.5300000000000082,1.3700000000000045
45495,64.77,65.25,65.29,64.315,11794212,1.8099999999999952,0.6199999999999903
45496,64.96,65.43,66.04,64.845,11810262,2.269999999999996,1.0499999999999972
45497,65.81,65.09,65.965,64.835,13244568,2.980000000000004,2.219999999999999
45498,66.07,66.04,66.89,65.86,16328583,2.9699999999999918,2.519999999999996
45499,67.05,66.07,67.11,66.01,13530071,3.3499999999999943,4.169999999999995
45502,66.83,66.88,67.025,66.39,12140153,3.4200000000000017,3.8399999999999963
45503,67.68,66.48,67.83,66.36,13257960,3.410000000000011,5.13000000000001
45504,66.74,67.5,67.61,66.61,15576846,1.5300000000000011,4.119999999999997
45505,67.96,67.0,68.105,66.7,16495907,2.769999999999996,5.329999999999991
45506,69.33,68.53,69.67,67.69,22514775,4.039999999999992,7.149999999999999
45509,68.1,68.99,69.55,67.73,25484273,3.3299999999999983,5.329999999999991
45510,68.05,68.15,68.84,67.77,12969099,3.0900000000000034,4.079999999999998
45511,68.46,68.05,69.18,67.83,13365270,2.6499999999999915,4.61999999999999
45512,68.73,68.0,68.865,67.85,15240914,2.660000000000011,4.680000000000007
45513,68.68,68.7,68.785,68.245,12080420,1.6300000000000097,4.77000000000001
45516,68.17,68.45,68.54,67.83,11012318,1.3400000000000034,4.520000000000003
45517,68.46,68.08,68.61,68.01,9877569,0.7799999999999869,5.179999999999993
45518,68.58,68.23,68.89,68.13,14328033,1.8400000000000034,5.43
45519,68.65,68.62,68.92,68.5,11285120,0.6900000000000119,5.320000000000007
45520,69.18,68.84,69.3,68.64,12651230,-0.14999999999999147,5.420000000000009
45523,68.98,69.35,69.42,68.845,9843861,0.8800000000000097,6.020000000000003
45524,69.38,68.99,69.39,68.765,11957372,1.3299999999999983,6.689999999999998
45525,69.57,69.48,70.13,69.335,8792397,1.1099999999999994,6.739999999999995
45526,69.33,69.92,69.92,68.79,12509202,0.5999999999999943,6.229999999999997
45527,69.79,69.4,69.85,68.935,11834745,1.1099999999999994,6.090000000000003
45530,70.84,69.83,70.92,69.73,12912248,2.6700000000000017,7.430000000000007
45531,71.5,71.32,71.53,71.05,16988408,3.0400000000000063,7.230000000000004
45532,71.75,71.61,71.81,71.295,13272584,3.1700000000000017,6.540000000000006
45533,72.05,71.9,72.22,71.23,17201677,3.3999999999999915,6.859999999999999
45534,72.47,72.2,72.57,71.78,18624227,3.289999999999992,7.179999999999993
45538,73.01,72.44,73.285,72.245,14755752,4.030000000000001,8.240000000000009
45539,72.56,73.3,73.53,71.91,18140831,3.180000000000007,7.6000000000000085
45540,71.17,72.62,72.68,70.98,23866125,1.6000000000000085,5.359999999999999
45541,71.14,70.99,71.67,70.89,17485707,1.8100000000000023,5.070000000000007
45544,71.85,71.23,72.305,70.98,12939256,2.059999999999988,4.799999999999997
45545,71.55,71.97,72.42,71.52,10277585,0.7099999999999937,4.719999999999999
45546,71.08,71.36,71.37,70.5701,11418234,-0.4200000000000017,3.3999999999999915
45547,71.23,71.0,71.38,70.655,12340779,-0.519999999999996,4.490000000000009
45548,71.41,70.84,71.465,70.48,11073849,-0.6400000000000006,3.450000000000003
45551,72.1,71.77,72.24,71.62,10786531,-0.37000000000000455,2.769999999999996
45552,71.8,71.9,72.35,71.725,12974382,-1.210000000000008,3.700000000000003
45553,71.75,71.89,72.38,71.27,10719713,-0.8100000000000023,3.700000000000003
45554,70.62,71.56,71.94,70.6,13635646,-0.5499999999999972,2.160000000000011
45555,71.64,70.41,71.8,70.38,48578480,0.5,2.9099999999999966
45558,71.73,71.55,72.2,71.18,11613022,-0.11999999999999034,3.049999999999997
45559,71.33,71.22,71.815,70.6,13330638,-0.21999999999999886,3.1599999999999966
45560,71.45,71.71,71.92,71.305,12329127,0.37000000000000455,2.990000000000009
45561,71.4,70.86,71.61,70.84,10815219,0.1700000000000017,2.8200000000000074
45562,71.79,71.54,72.2,71.46,11175706,0.38000000000000966,3.1400000000000006
