Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,102.36,100.92,103.1,100.85,23483049,,
45294,103.22,102.27,103.62,101.66,23490779,,
45295,102.32,104.08,104.57,102.05,19395154,,
45296,102.63,103.17,103.3987,102.125,15827392,,
45299,100.92,100.73,101.04,98.9,23370127,,
45300,99.67,101.29,101.29,99.19,19496647,,
45301,98.69,99.8,99.8,98.16,18206088,,
45302,98.67,99.04,99.5,98.56,15833360,,
45303,99.95,100.14,100.65,99.1703,18041683,,
45307,97.69,99.82,100.01,97.53,20235699,,
45308,96.98,96.6,97.96,96.58,18384015,-5.3799999999999955,
45309,96.8,97.0,97.09,95.82,20940275,-6.420000000000002,
45310,96.95,96.72,97.0156,96.41,20088432,-5.36999999999999,
45313,96.82,96.7,97.095,95.77,19955946,-5.810000000000002,
45314,97.91,96.81,98.5,96.73,15863433,-3.010000000000005,
45315,99.6,98.32,99.65,97.74,17330646,-0.07000000000000739,
45316,102.13,100.31,102.18,99.615,22089510,3.4399999999999977,
45317,103.0,101.97,103.08,101.1901,20817240,4.329999999999998,
45320,103.13,102.98,103.2,101.86,18317549,3.1799999999999926,
45321,104.85,102.41,104.88,102.1,19610934,7.159999999999997,
45322,102.81,104.74,104.88,102.7714,22415291,5.829999999999998,
45323,102.39,103.57,104.01,101.62,19240687,5.590000000000003,
45324,101.97,103.75,104.0,101.611,21973405,5.019999999999996,
45327,101.55,101.45,102.38,100.5,17190890,4.730000000000004,
45328,102.25,102.07,103.04,101.57,13353286,4.340000000000003,
45329,102.22,102.25,102.73,101.18,13826832,2.6200000000000045,
45330,103.97,102.34,104.42,102.11,19636898,1.8400000000000034,
45331,101.77,104.1,104.84,101.7,20410510,-1.230000000000004,
45334,103.17,102.16,103.4,102.0,18173061,0.04000000000000625,
45335,101.34,102.76,103.09,100.6,18917431,-3.509999999999991,
45336,100.84,101.87,102.615,100.42,17651253,-1.9699999999999989,-1.519999999999996
45337,103.73,100.6,103.935,100.6,23196310,1.3400000000000034,0.5100000000000051
45338,103.73,104.01,104.63,103.52,20151426,1.7600000000000051,1.4100000000000108
45342,102.75,103.84,104.12,102.645,17650010,1.2000000000000028,0.12000000000000455
45343,104.85,103.02,104.98,102.99,20999189,2.5999999999999943,3.9299999999999926
45344,104.76,104.16,105.41,103.45,20470668,2.5400000000000063,5.090000000000003
45345,103.84,103.88,104.09,102.88,15975888,-0.12999999999999545,5.150000000000006
45348,104.25,103.72,104.935,103.05,13360800,2.480000000000004,5.579999999999998
45349,104.03,104.68,105.15,103.85,16359978,0.8599999999999994,4.079999999999998
45350,104.32,104.47,105.43,104.0,14810486,2.9799999999999898,6.6299999999999955
45351,104.52,104.675,105.07,104.215,17566066,3.6799999999999926,7.539999999999992
45352,105.84,105.72,106.39,105.375,18460120,2.1099999999999994,9.040000000000006
