Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,36.21,36.73,36.97,36.21,148657,,
45294,36.19,36.5,36.56,35.89,116901,,
45295,37.38,36.22,37.41,36.22,119939,,
45296,36.91,37.38,37.38,36.58,88721,,
45299,37.1,36.91,37.1,36.45,74021,,
45300,36.98,37.13,37.43,36.76,87250,,
45301,37.02,36.99,37.04,36.54,127531,,
45302,36.81,37.1,37.13,36.81,108210,,
45303,37.09,36.83,37.2,36.83,98463,,
45306,37.23,37.09,37.25,37.08,86245,,
45307,37.04,37.2,37.2,36.95,87602,0.8299999999999983,
45308,36.87,37.03,37.08,36.59,122897,0.6799999999999997,
45309,36.9,36.87,37.11,36.5,131536,-0.480000000000004,
45310,35.91,36.12,36.46,35.68,274034,-1.0,
45313,36.21,35.91,36.29,35.41,169442,-0.8900000000000006,
45314,36.35,36.34,36.61,36.08,107896,-0.6299999999999955,
45315,36.65,36.48,36.83,36.42,73041,-0.37000000000000455,
45316,36.87,36.68,37.07,36.63,121002,0.05999999999999517,
45317,37.22,36.85,37.28,36.77,89587,0.12999999999999545,
45320,36.66,37.22,37.22,36.55,121057,-0.5700000000000003,
45321,36.41,36.79,36.79,36.12,98630,-0.6300000000000026,
45322,36.37,36.34,36.44,35.9,189849,-0.5,
45323,36.47,36.08,36.77,36.06,112149,-0.4299999999999997,
45324,36.66,36.66,36.96,36.5,82739,0.75,
45327,36.02,36.67,36.9,35.93,131677,-0.18999999999999773,
45328,36.21,36.15,36.26,35.86,104957,-0.14000000000000057,
45329,36.08,36.1,36.28,35.91,219704,-0.5700000000000003,
45330,38.8,37.5,39.85,37.5,711632,1.9299999999999997,
45331,38.16,38.81,39.03,38.06,197457,0.9399999999999977,
45334,38.12,38.34,38.35,37.96,119658,1.4600000000000009,
45335,37.42,38.0,38.06,37.18,86425,1.0100000000000051,1.2100000000000009
45336,37.49,37.98,37.98,37.31,138255,1.1200000000000045,1.3000000000000043
45337,37.41,37.45,37.54,37.18,144003,0.9399999999999977,0.02999999999999403
45338,38.19,37.65,38.19,37.44,223417,1.5300000000000011,1.2800000000000011
45341,38.24,38.19,38.36,38.07,78189,2.219999999999999,1.1400000000000006
45342,38.2,38.17,38.3,37.83,56749,1.990000000000002,1.220000000000006
45343,38.03,38.16,38.3,37.71,133956,1.9500000000000028,1.009999999999998
45344,37.16,38.09,38.25,37.08,158274,-1.6400000000000006,0.3499999999999943
45345,37.04,37.2,37.29,36.82,102796,-1.1199999999999974,-0.05000000000000426
45348,37.31,37.01,37.55,36.82,132055,-0.8099999999999952,0.0800000000000054
45349,36.02,37.31,37.32,35.87,246961,-1.3999999999999986,-1.019999999999996
45350,36.03,36.0,36.1,35.54,425598,-1.4600000000000009,-0.8399999999999963
45351,36.31,36.12,36.42,36.02,240138,-1.0999999999999943,-0.5899999999999963
45352,36.57,36.44,36.97,36.37,128738,-1.6199999999999974,0.6600000000000037
45355,36.31,36.57,36.69,35.95,260965,-1.9299999999999997,0.10000000000000142
45356,38.09,36.6,38.49,36.31,312497,-0.10999999999999943,1.740000000000002
45357,37.54,38.01,38.22,37.52,122140,-0.490000000000002,0.8900000000000006
45358,37.68,38.0,38.0,37.49,102784,0.5200000000000031,0.8100000000000023
45359,37.45,37.67,37.74,37.36,91213,0.4100000000000037,0.23000000000000398
45362,37.76,37.45,37.76,37.25,112875,0.44999999999999574,1.1000000000000014
45363,37.97,37.76,37.97,37.6,112215,1.9499999999999957,1.5600000000000023
45364,38.09,37.97,38.2,37.87,102837,2.0600000000000023,1.720000000000006
45365,37.76,37.85,38.05,37.66,115560,1.4499999999999957,1.2899999999999991
45366,38.0,37.76,38.17,37.73,155450,1.4299999999999997,1.3400000000000034
45369,37.64,38.0,38.07,37.56,107335,1.3299999999999983,1.6199999999999974
45370,37.83,37.75,37.87,37.32,162827,-0.2600000000000051,1.6199999999999974
45371,38.3,37.82,38.3,37.63,108101,0.759999999999998,2.219999999999999
45372,39.05,38.06,39.05,38.06,164461,1.3699999999999974,0.25
45373,38.86,39.0,39.07,38.72,113221,1.4099999999999966,0.7000000000000028
45376,38.91,38.57,39.0,38.38,106956,1.1499999999999986,0.7899999999999991
45377,38.5,38.91,38.91,38.31,154369,0.5300000000000011,1.0799999999999983
45378,38.9,38.42,39.03,38.42,104793,0.8099999999999952,1.4099999999999966
45379,38.83,38.33,38.83,38.31,159029,1.0700000000000003,1.4200000000000017
45384,38.16,38.78,39.0,38.08,310868,0.1599999999999966,-0.030000000000001137
45385,38.18,38.1,38.3,37.96,163916,0.5399999999999991,-0.060000000000002274
45386,38.82,38.24,38.96,38.02,142967,0.990000000000002,0.6199999999999974
45387,37.88,38.4,38.98,37.62,186832,-0.4199999999999946,-0.14999999999999858
45390,37.5,37.88,38.14,37.48,95459,-1.5499999999999972,0.3400000000000034
45391,37.68,37.5,37.92,37.22,159796,-1.1799999999999997,0.6400000000000006
45392,36.38,37.66,37.66,35.96,306661,-2.529999999999994,-0.9299999999999997
45393,36.44,36.34,36.56,36.16,239208,-2.0600000000000023,0.4199999999999946
45394,36.2,36.62,36.66,36.1,149950,-2.6999999999999957,0.1700000000000017
45397,36.36,36.2,36.68,36.16,116225,-2.469999999999999,0.04999999999999716
45398,35.92,36.18,36.42,35.78,190293,-2.239999999999995,-0.6499999999999986
45399,35.72,35.9,36.3,35.72,214305,-2.460000000000001,-0.5900000000000034
45400,35.7,35.8,35.86,35.34,158377,-3.1199999999999974,-2.3900000000000006
45401,35.78,35.64,35.82,35.42,105350,-2.1000000000000014,-1.759999999999998
45404,36.1,35.98,36.32,35.86,104014,-1.3999999999999986,-1.5799999999999983
45405,36.12,36.04,36.26,35.8,147796,-1.5600000000000023,-1.3300000000000054
45406,36.52,36.42,36.82,36.16,275069,0.14000000000000057,-1.2399999999999949
45407,36.24,35.84,36.76,34.44,409791,-0.19999999999999574,-1.7299999999999969
45408,36.06,36.24,36.38,35.62,332290,-0.14000000000000057,-2.030000000000001
45411,36.2,36.04,36.46,35.9,176171,-0.1599999999999966,-1.5599999999999952
45412,35.96,36.2,36.28,35.84,156647,0.03999999999999915,-2.039999999999999
45414,36.14,35.96,36.26,35.92,230784,0.4200000000000017,-1.5
45415,36.82,36.36,37.12,36.36,278393,1.1199999999999974,-1.009999999999998
45418,36.82,36.82,36.94,36.58,80286,1.0399999999999991,-1.4799999999999969
45419,37.0,36.82,37.06,36.68,186116,0.8999999999999986,-2.049999999999997
45420,36.78,37.0,37.24,36.76,152230,0.6600000000000037,-2.0799999999999983
45422,36.96,36.78,37.16,36.78,99273,0.4399999999999977,-1.9499999999999957
45425,37.54,37.02,37.64,37.02,96707,1.2999999999999972,-0.9600000000000009
45426,37.4,37.54,37.8,37.36,99357,1.3399999999999963,-1.5
45427,37.64,37.42,37.72,37.32,145593,1.4399999999999977,-1.1899999999999977
45428,37.5,37.64,37.66,37.28,135331,1.5399999999999991,-0.6599999999999966
45429,37.34,37.5,37.5,36.92,175955,1.2000000000000028,-0.8399999999999963
45432,37.8,37.26,37.94,37.26,87751,0.9799999999999969,-1.0200000000000031
45433,37.64,37.7,37.86,37.52,170571,0.8200000000000003,-0.240000000000002
45434,38.12,37.64,38.14,37.48,84276,1.1199999999999974,0.6199999999999974
45435,38.08,38.1,38.36,38.02,80903,1.2999999999999972,0.3999999999999986
45436,37.78,38.04,38.04,37.52,96323,0.8200000000000003,1.3999999999999986
45439,37.94,37.78,37.94,37.68,59868,0.3999999999999986,1.5
45440,37.4,37.94,38.12,37.4,118596,0.0,1.1999999999999957
45441,37.06,37.38,37.38,36.92,67388,-0.5799999999999983,0.7000000000000028
45442,36.94,36.98,37.06,36.76,81829,-0.5600000000000023,1.019999999999996
45443,37.14,36.94,37.2,36.94,166038,-0.20000000000000284,1.4200000000000017
45446,38.74,37.58,38.84,37.32,203079,0.9400000000000048,3.039999999999999
45447,37.72,38.7,38.76,37.3,155571,0.0799999999999983,1.9399999999999977
45448,37.22,37.7,37.82,37.2,86006,-0.8999999999999986,1.1199999999999974
45449,37.3,37.34,37.78,37.2,78751,-0.7800000000000011,1.1799999999999997
45450,36.92,37.5,37.5,36.78,72935,-0.8599999999999994,0.3999999999999986
45453,36.64,36.9,36.9,36.54,69888,-1.2999999999999972,0.3999999999999986
45454,36.26,36.5,36.52,35.92,181827,-1.1400000000000006,0.19999999999999574
45455,36.32,36.2,36.34,35.88,108578,-0.740000000000002,0.11999999999999744
45456,36.16,36.1,36.58,36.0,116069,-0.7800000000000011,0.19999999999999574
45457,35.56,36.06,36.16,35.32,228525,-1.5799999999999983,-0.5799999999999983
45460,35.6,35.5,35.94,35.34,133339,-3.1400000000000006,-1.2199999999999989
45461,36.14,35.6,36.2,35.56,78624,-1.5799999999999983,-0.6799999999999997
45462,36.08,36.12,36.32,36.02,151760,-1.1400000000000006,-0.9200000000000017
45463,37.72,37.16,37.72,36.68,496764,0.4200000000000017,0.9399999999999977
45467,38.26,38.46,38.58,37.72,201446,1.3399999999999963,1.2999999999999972
45468,38.36,38.18,38.58,38.1,113474,1.7199999999999989,0.8200000000000003
45469,37.7,38.34,38.52,37.58,97555,1.4400000000000048,0.30000000000000426
45470,38.02,37.68,38.1,37.52,89067,1.7000000000000028,0.38000000000000256
45471,37.46,38.14,38.2,37.4,108025,1.3000000000000043,-0.03999999999999915
45474,37.78,37.5,38.12,37.5,73819,2.219999999999999,0.4399999999999977
45475,37.68,37.8,37.84,37.24,89120,2.0799999999999983,-0.11999999999999744
45476,38.04,37.72,38.16,37.62,209648,1.8999999999999986,0.3999999999999986
45477,38.36,38.04,38.42,38.0,68596,2.280000000000001,0.240000000000002
45478,38.52,38.38,38.84,38.22,78165,0.8000000000000043,0.44000000000000483
45481,39.46,38.52,39.46,38.4,160208,1.2000000000000028,1.6799999999999997
45482,38.74,39.26,39.34,38.42,123166,0.38000000000000256,0.8000000000000043
45483,38.98,38.74,38.98,38.52,63506,1.279999999999994,1.5799999999999983
45484,39.08,39.18,39.18,38.44,98868,1.0599999999999952,2.019999999999996
45485,39.14,38.74,39.14,38.6,77177,1.6799999999999997,2.200000000000003
45488,39.5,38.96,39.5,38.88,78201,1.7199999999999989,2.3599999999999994
45489,39.7,38.8,39.72,38.56,136462,2.020000000000003,0.9600000000000009
45490,39.8,39.64,39.86,39.2,94087,1.759999999999998,2.0799999999999983
45491,40.0,39.76,40.1,39.48,97150,1.6400000000000006,2.780000000000001
45492,39.68,40.0,40.08,39.66,66575,1.1599999999999966,2.3800000000000026
45495,40.1,39.68,40.16,39.56,112799,0.6400000000000006,3.1799999999999997
45496,39.84,40.0,40.08,39.8,65120,1.1000000000000014,3.200000000000003
45497,39.98,39.76,40.04,39.44,92662,1.0,3.719999999999999
45498,37.9,38.6,39.0,37.8,177876,-1.1799999999999997,1.5799999999999983
45499,38.34,37.58,38.62,37.4,131613,-0.7999999999999972,2.180000000000007
45502,38.0,38.34,38.34,37.82,99473,-1.5,2.4399999999999977
45503,37.78,38.04,38.16,37.62,97344,-1.9200000000000017,2.1799999999999997
45504,37.46,37.82,38.16,37.46,209090,-2.3399999999999963,1.3200000000000003
45505,36.94,37.48,37.68,36.92,71222,-3.0600000000000023,0.8599999999999994
45506,35.52,36.88,36.88,35.52,103204,-4.159999999999997,-2.1999999999999957
45509,35.02,34.7,35.44,34.38,187730,-5.079999999999998,-3.239999999999995
45510,34.84,35.12,35.42,34.58,92999,-5.0,-3.519999999999996
45511,35.38,35.0,35.5,35.0,125031,-4.599999999999994,-2.3200000000000003
45512,35.66,35.3,35.92,35.08,77472,-2.240000000000002,-2.3600000000000065
45513,35.78,35.9,36.12,35.7,68603,-2.5600000000000023,-1.6799999999999997
45516,35.66,36.5,36.64,35.6,65008,-2.3400000000000034,-2.1200000000000045
45517,35.94,35.66,35.96,35.62,57326,-1.8400000000000034,-1.740000000000002
45518,35.98,35.94,36.18,35.84,41615,-1.480000000000004,-2.0600000000000023
45519,36.4,36.36,36.5,36.02,44102,-0.5399999999999991,-1.9600000000000009
45520,36.32,36.42,36.48,36.24,49974,0.7999999999999972,-2.200000000000003
45523,36.74,36.32,36.84,36.2,63599,1.7199999999999989,-2.719999999999999
45524,36.48,36.78,37.02,36.38,56535,1.6399999999999935,-2.260000000000005
45525,36.5,36.28,36.64,36.26,72463,1.1199999999999974,-2.479999999999997
45526,36.24,36.3,36.32,36.14,96062,0.5800000000000054,-2.8399999999999963
45527,36.6,36.32,36.82,36.14,55470,0.8200000000000003,-2.539999999999999
45530,36.58,36.6,36.6,36.24,54899,0.9200000000000017,-2.9200000000000017
45531,36.4,36.52,36.7,36.34,40884,0.46000000000000085,-3.3000000000000043
45532,36.26,36.4,36.52,36.22,55677,0.28000000000000114,-3.539999999999999
45533,36.6,36.26,36.68,36.26,63492,0.20000000000000284,-3.3999999999999986
45534,37.06,36.6,37.12,36.54,151569,0.740000000000002,-2.6199999999999974
45537,36.9,37.04,37.1,36.74,41602,0.1599999999999966,-3.200000000000003
45538,35.84,36.84,36.96,35.42,145236,-0.6399999999999935,-4.0
45539,35.5,35.42,35.66,35.34,77081,-1.0,-4.479999999999997
45540,35.24,35.48,35.54,35.2,75528,-1.0,-2.6599999999999966
45541,35.04,35.24,35.36,34.92,69062,-1.5600000000000023,-3.3000000000000043
45544,34.96,34.98,35.16,34.82,96144,-1.6199999999999974,-3.039999999999999
45545,34.8,34.96,35.14,34.76,91453,-1.6000000000000014,-2.980000000000004
45546,34.0,34.84,34.98,34.0,169059,-2.259999999999998,-3.460000000000001
45547,34.34,34.32,34.58,34.02,311294,-2.259999999999998,-2.5999999999999943
45548,34.78,34.44,34.8,34.44,72040,-2.280000000000001,-0.740000000000002
45551,34.44,34.78,34.78,34.36,59404,-2.460000000000001,-0.5800000000000054
45552,34.52,34.42,34.78,34.28,164735,-1.3200000000000003,-0.3200000000000003
45553,34.84,34.54,34.9,34.3,80961,-0.6599999999999966,-0.5399999999999991
