Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,159.97,156.93,161.6393,156.79,9622108,,
45294,160.97,160.64,161.44,159.8,8231987,,
45295,160.63,161.59,161.98,160.42,6766641,,
45296,161.13,160.5,161.34,159.47,5602564,,
45299,161.53,161.1,161.66,159.61,6569810,,
45300,161.63,161.63,163.28,160.595,6357014,,
45301,161.87,161.825,162.62,161.2,4945088,,
45302,161.15,162.07,162.199,160.78,4946015,,
45303,162.39,161.84,162.47,161.69,4496942,,
45307,160.52,161.57,162.25,160.18,6923174,,
45308,160.43,160.25,161.3,159.87,5072104,0.46000000000000796,
45309,161.21,160.0,161.37,159.69,5368502,0.2400000000000091,
45310,161.68,161.15,161.9226,160.28,7071320,1.0500000000000114,
45313,162.47,162.0,163.58,161.34,6824156,1.3400000000000034,
45314,159.81,159.66,160.5075,156.91,9149777,-1.7199999999999989,
45315,158.96,159.75,160.6,158.16,7247926,-2.6699999999999875,
45316,159.56,159.0,159.62,158.47,5478898,-2.3100000000000023,
45317,159.5,160.43,160.74,159.3601,5591930,-1.6500000000000057,
45320,159.36,159.01,160.0699,158.96,6483190,-3.0299999999999727,
45321,158.77,159.35,159.76,158.13,7200538,-1.75,
45322,158.9,160.4,160.62,158.67,8257029,-1.5300000000000011,
45323,158.36,158.16,158.49,157.05,8012122,-2.8499999999999943,
45324,156.61,157.97,158.31,155.94,8295916,-5.069999999999993,
45327,155.8,156.61,156.89,155.34,9121808,-6.6699999999999875,
45328,158.06,155.83,158.73,155.6,9230611,-1.75,
45329,157.98,157.8,159.37,157.69,8690294,-0.9800000000000182,
45330,156.4,157.34,157.34,155.31,9754960,-3.1599999999999966,
45331,156.76,156.27,157.2,155.67,6529202,-2.740000000000009,
45334,157.85,156.58,158.41,156.35,6701508,-1.5100000000000193,
45335,156.47,157.64,158.45,155.75,8621022,-2.3000000000000114,
45336,155.74,156.35,156.46,154.84,9098805,-3.1599999999999966,-4.22999999999999
45337,157.92,155.98,158.475,155.89,7462529,-0.44000000000002615,-3.0500000000000114
45338,156.55,156.6,157.255,155.67,8540961,-0.060000000000002274,-4.079999999999984
45342,157.86,156.56,158.61,156.44,9501742,2.0600000000000023,-3.269999999999982
45343,158.68,158.02,158.69,157.1312,7473300,0.6200000000000045,-2.8499999999999943
45344,160.45,158.98,160.74,157.77,8065010,2.469999999999999,-1.1800000000000068
45345,161.84,160.88,162.25,160.16,6725963,5.439999999999998,-0.030000000000001137
45348,160.79,161.8,162.01,160.57,5465417,4.030000000000001,-0.36000000000001364
45349,160.98,160.34,161.04,159.64,5078650,3.1299999999999955,-1.4099999999999966
45350,161.55,161.0,161.61,160.29,6071076,5.0800000000000125,1.0300000000000011
45351,161.38,162.0,162.19,160.94,9849270,5.639999999999986,0.9499999999999886
45352,162.12,161.83,162.57,161.09,5670135,4.200000000000017,0.9099999999999966
45355,159.84,161.32,161.61,158.27,8533083,3.289999999999992,-1.8400000000000034
45356,159.97,160.62,161.24,159.2,8298182,2.109999999999985,-2.5
45357,159.34,159.46,160.93,159.22,5773683,0.6599999999999966,-0.46999999999999886
45358,158.87,160.0,160.36,158.24,5188726,-1.579999999999984,-0.09000000000000341
45359,159.52,158.87,160.39,158.425,5283951,-2.319999999999993,-0.03999999999999204
45362,161.23,159.49,161.32,158.88,4620826,0.4399999999999977,1.7299999999999898
45363,162.74,161.58,163.11,161.13,8018736,1.7600000000000193,3.3799999999999955
45364,161.1,162.53,162.68,159.81,6260000,-0.45000000000001705,2.329999999999984
45365,159.21,160.94,161.54,158.69,6988264,-2.1699999999999875,0.3100000000000023
45366,158.18,158.06,159.19,157.1,13165500,-3.9399999999999977,-0.18000000000000682
45369,156.76,158.57,158.69,156.5,6602255,-3.0800000000000125,0.14999999999997726
45370,156.21,156.67,156.86,155.66,7840624,-3.759999999999991,0.4099999999999966
45371,155.76,155.7,156.44,155.21,5982304,-3.5800000000000125,-2.3000000000000114
45372,155.75,155.59,156.95,155.1,5915777,-3.1200000000000045,-2.2299999999999898
45373,155.23,155.69,156.36,155.11,7248622,-4.2900000000000205,-1.170000000000016
45376,155.22,155.4,155.9836,154.9,7498100,-6.009999999999991,-1.539999999999992
45377,155.77,155.61,156.23,154.76,6864099,-6.969999999999999,-2.079999999999984
45378,157.96,155.99,158.22,155.44,8461600,-3.1399999999999864,1.490000000000009
45379,158.19,158.2,159.14,158.11,6181503,-1.0200000000000102,2.4499999999999886
45383,157.78,157.72,158.15,156.77,4364699,-0.4000000000000057,-0.13999999999998636
45384,157.73,156.57,157.83,155.95,6102497,0.9699999999999989,1.1799999999999784
45385,154.26,157.79,158.05,154.25,8098242,-1.950000000000017,-3.6000000000000227
45386,152.5,155.31,155.5,152.41,6947423,-3.259999999999991,-6.180000000000007
45387,152.39,152.03,153.01,151.61,6783020,-3.3600000000000136,-8.060000000000002
45390,151.59,151.99,153.035,151.56,5935415,-3.6399999999999864,-10.25
45391,152.29,151.55,152.5301,150.94,6135556,-2.930000000000007,-8.5
45392,150.2,151.53,151.82,149.76,6809519,-5.570000000000022,-10.780000000000001
45393,148.79,150.8,150.87,148.39,8374434,-9.170000000000016,-12.76000000000002
45394,147.52,148.06,149.065,147.15,7100178,-10.669999999999987,-13.859999999999985
45397,147.59,148.37,149.49,147.37,8502266,-10.189999999999998,-14.530000000000001
45398,144.45,145.01,146.25,143.39,12774859,-13.280000000000001,-15.390000000000015
45399,144.77,145.0,145.41,143.54,9378059,-9.48999999999998,-15.199999999999989
45400,145.74,144.98,145.8,143.13,9887704,-6.759999999999991,-13.599999999999994
45401,147.91,146.15,148.13,144.54,9750751,-4.47999999999999,-10.960000000000008
45404,149.12,148.51,150.27,147.3,10118694,-2.469999999999999,-10.400000000000006
