Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,16.56,16.75,16.85,16.56,83900,,
45294,16.33,16.61,16.62,16.31,58226,,
45295,16.65,16.33,16.66,16.04,68688,,
45296,16.47,16.65,16.65,16.24,49954,,
45299,16.6,16.47,16.67,16.46,50563,,
45300,16.48,16.61,16.62,16.44,69388,,
45301,16.45,16.55,16.57,16.4,44847,,
45302,16.39,16.47,16.67,16.39,64622,,
45303,16.59,16.44,16.7,16.44,72917,,
45306,16.43,16.59,16.7,16.43,84481,,
45307,16.41,16.43,16.45,16.27,79181,-0.14999999999999858,
45308,16.68,16.4,16.68,16.35,100245,0.3500000000000014,
45309,16.96,16.68,17.03,16.66,101174,0.3100000000000023,
45310,16.92,16.96,17.04,16.85,70339,0.45000000000000284,
45313,17.25,16.9,17.25,16.8,148688,0.6499999999999986,
45314,17.26,17.27,17.41,17.03,216508,0.7800000000000011,
45315,17.56,17.26,17.56,17.24,125182,1.1099999999999994,
45316,17.69,17.54,17.8,17.45,104246,1.3000000000000007,
45317,17.79,17.69,17.8,17.59,78892,1.1999999999999993,
45320,17.58,17.75,17.75,17.51,55352,1.1499999999999986,
45321,17.52,17.58,17.69,17.51,49558,1.1099999999999994,
45322,17.35,17.52,17.53,17.24,88931,0.6700000000000017,
45323,17.45,17.35,17.59,17.3,75598,0.48999999999999844,
45324,17.32,17.49,17.57,17.32,57400,0.3999999999999986,
45327,17.1,17.32,17.36,17.0,106875,-0.14999999999999858,
45328,17.09,17.0,17.18,17.0,59192,-0.1700000000000017,
45329,17.0,17.06,17.1,16.87,119714,-0.5599999999999987,
45330,17.42,16.81,17.61,16.81,152042,-0.2699999999999996,
45331,17.24,17.54,18.06,16.93,380168,-0.5500000000000007,
45334,17.0,17.28,17.77,16.96,186231,-0.5799999999999983,
45335,16.09,16.1,16.82,15.96,8649755,-1.4299999999999997,-0.46999999999999886
45336,16.56,16.14,16.57,16.12,296451,-0.7900000000000027,0.23000000000000043
45337,16.35,16.56,16.62,16.34,154176,-1.0999999999999979,-0.29999999999999716
45338,16.46,16.51,16.54,16.25,177366,-0.8599999999999994,-0.00999999999999801
45341,16.77,16.45,16.77,16.43,176267,-0.33000000000000185,0.16999999999999815
45342,16.52,16.68,16.77,16.47,181582,-0.5700000000000003,0.03999999999999915
45343,16.54,16.56,16.66,16.4,107906,-0.46000000000000085,0.08999999999999986
45344,16.68,16.68,16.75,16.55,86918,-0.740000000000002,0.28999999999999915
45345,16.68,16.7,16.79,16.66,59855,-0.5599999999999987,0.08999999999999986
45348,16.61,16.68,16.83,16.59,99355,-0.39000000000000057,0.17999999999999972
45349,16.7,16.55,16.7,16.47,193528,0.6099999999999994,0.28999999999999915
45350,16.77,16.7,16.8,16.53,84402,0.21000000000000085,0.08999999999999986
45351,16.65,16.77,17.0,16.62,163844,0.29999999999999716,-0.3100000000000023
45352,16.83,16.65,16.84,16.65,71273,0.36999999999999744,-0.09000000000000341
45355,16.62,16.84,16.85,16.51,106633,-0.14999999999999858,-0.629999999999999
45356,16.63,16.6,16.63,16.5,70464,0.10999999999999943,-0.6300000000000026
45357,16.58,16.5,16.65,16.47,57131,0.03999999999999915,-0.9800000000000004
45358,16.94,16.54,16.94,16.5,90388,0.26000000000000156,-0.75
45359,17.0,16.95,17.04,16.9,62182,0.3200000000000003,-0.7899999999999991
45362,17.06,16.9,17.06,16.72,73923,0.4499999999999993,-0.5199999999999996
45363,17.19,17.18,17.25,17.02,107356,0.490000000000002,-0.3299999999999983
45364,16.93,17.19,17.19,16.86,528478,0.16000000000000014,-0.4200000000000017
45365,16.67,16.93,16.96,16.61,117353,0.020000000000003126,-0.7799999999999976
45366,16.87,16.68,16.97,16.68,328012,0.0400000000000027,-0.4499999999999993
45369,17.02,16.87,17.1,16.87,69898,0.3999999999999986,-0.08000000000000185
45370,17.16,17.02,17.19,16.82,415930,0.5300000000000011,0.07000000000000028
45371,17.19,17.15,17.76,17.15,361102,0.610000000000003,0.19000000000000128
45372,17.15,17.06,17.24,16.94,130480,0.2099999999999973,-0.2700000000000031
45373,17.05,17.15,17.27,16.99,129111,0.05000000000000071,-0.18999999999999773
45376,17.24,16.9,17.24,16.9,63150,0.17999999999999972,0.23999999999999844
45377,17.06,17.3,17.34,17.06,94807,-0.13000000000000256,0.9699999999999989
45378,17.37,17.07,17.42,17.07,91106,0.4400000000000013,0.8100000000000023
45379,17.52,17.42,17.59,17.36,115690,0.8499999999999979,1.1699999999999982
45384,17.49,17.52,17.94,17.46,156718,0.6199999999999974,1.0299999999999976
45385,17.64,17.5,17.71,17.4,137498,0.620000000000001,0.870000000000001
45386,17.84,17.64,17.95,17.64,124723,0.6799999999999997,1.3200000000000003
45387,17.71,17.73,17.84,17.61,105020,0.5199999999999996,1.1700000000000017
45390,17.71,17.68,17.8,17.67,87877,0.5600000000000023,1.0300000000000011
45391,17.75,17.7,17.82,17.66,60107,0.6999999999999993,1.0700000000000003
45392,17.55,17.82,17.95,17.55,89398,0.3100000000000023,0.9400000000000013
45393,17.41,17.55,17.6,17.38,159329,0.3500000000000014,0.7100000000000009
45394,17.5,17.41,17.73,17.41,136968,0.129999999999999,0.7300000000000004
45397,17.46,17.5,17.61,17.46,75680,-0.05999999999999872,0.8100000000000023
45398,17.57,17.45,17.61,17.38,117379,0.08000000000000185,0.740000000000002
45399,17.43,17.57,17.64,17.37,93513,-0.21000000000000085,0.8099999999999987
45400,17.45,17.5,17.57,17.24,56293,-0.39000000000000057,0.8200000000000003
45401,17.38,17.43,17.45,17.25,66999,-0.33000000000000185,0.8000000000000007
45404,17.32,17.38,17.54,17.31,53834,-0.39000000000000057,0.379999999999999
45405,17.34,17.31,17.44,17.26,89274,-0.41000000000000014,0.33999999999999986
45406,17.33,17.26,17.43,17.23,87388,-0.22000000000000242,0.2699999999999996
45407,17.11,17.35,17.57,17.05,113138,-0.3000000000000007,-0.08000000000000185
45408,19.2,18.11,19.31,18.07,590698,1.6999999999999993,2.2699999999999996
45411,20.44,19.2,20.44,19.11,355041,2.9800000000000004,3.7699999999999996
45412,20.42,20.2,20.48,20.18,163697,2.8500000000000014,3.5500000000000007
45414,21.12,20.66,21.18,20.24,261547,3.6900000000000013,4.100000000000001
45415,21.7,21.16,21.72,21.02,280657,4.25,4.539999999999999
45418,21.68,21.68,21.94,21.46,128738,4.300000000000001,4.489999999999998
45419,21.72,21.66,21.72,21.32,177254,4.399999999999999,4.57
45420,22.0,21.74,22.14,21.7,187378,4.66,4.949999999999999
45422,21.9,21.96,22.06,21.7,184868,4.57,4.66
45425,22.38,21.9,22.38,21.76,132639,5.27,5.32
45426,22.12,22.3,22.4,21.94,200156,2.9200000000000017,4.75
45427,22.34,22.12,22.38,22.12,129661,1.8999999999999986,4.82
45428,22.48,22.34,22.48,22.16,91159,2.0599999999999987,4.990000000000002
45429,22.48,22.34,22.5,22.3,157663,1.3599999999999994,4.84
45432,22.62,22.38,22.66,22.32,74824,0.9200000000000017,4.780000000000001
45433,22.4,22.62,22.66,22.28,158789,0.7199999999999989,4.689999999999998
45434,21.08,22.34,22.34,21.08,464068,-0.6400000000000006,3.3699999999999974
45435,21.28,21.08,21.78,21.08,513712,-0.7199999999999989,3.530000000000001
45436,21.58,21.28,21.76,21.28,124065,-0.3200000000000003,4.029999999999998
45439,21.5,21.58,21.62,21.08,139959,-0.879999999999999,4.09
45440,21.58,21.6,21.74,21.54,79525,-0.5400000000000027,4.079999999999998
45441,21.52,21.52,21.66,21.32,85662,-0.8200000000000003,4.059999999999999
45442,21.54,21.4,21.58,21.22,85631,-0.9400000000000013,3.969999999999999
45443,21.68,21.52,21.68,21.3,227966,-0.8000000000000007,4.25
45446,21.46,21.66,21.74,21.38,87665,-1.1600000000000001,4.010000000000002
45447,21.62,21.48,21.9,21.48,172341,-0.7799999999999976,4.240000000000002
45448,21.7,21.62,21.82,21.48,151659,0.620000000000001,4.379999999999999
45449,21.7,21.68,21.84,21.6,83206,0.41999999999999815,4.359999999999999
45450,22.32,21.68,22.52,21.58,258435,0.740000000000002,4.990000000000002
45453,24.14,23.12,24.14,22.84,438802,2.6400000000000006,7.030000000000001
45454,24.14,24.2,24.58,23.98,377020,2.5600000000000023,4.940000000000001
45455,23.92,24.14,24.24,23.54,182254,2.400000000000002,3.4800000000000004
45456,23.74,23.58,23.86,23.46,166846,2.1999999999999993,3.3199999999999967
45457,22.84,23.44,23.6,22.5,189374,1.1600000000000001,1.7199999999999989
45460,23.16,22.82,23.34,22.68,133079,1.6999999999999993,1.4600000000000009
45461,23.48,23.18,23.66,23.18,120237,1.8599999999999994,1.8000000000000007
45462,23.2,23.48,23.76,23.2,122088,1.5,1.4800000000000004
45463,22.86,23.24,23.74,22.86,1753568,1.1600000000000001,0.8599999999999994
45467,23.52,22.94,23.58,22.86,216066,1.1999999999999993,1.620000000000001
45468,23.26,23.48,23.66,23.06,154626,-0.879999999999999,0.8800000000000026
45469,22.84,23.2,23.2,22.4,199479,-1.3000000000000007,0.7199999999999989
