Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,11.73,11.96,12.0,11.73,446141,,
45294,11.65,11.8,11.91,11.6,431768,,
45295,11.83,11.65,12.0,11.65,383865,,
45296,11.88,11.8,11.97,11.67,397963,,
45299,11.92,11.8,11.94,11.64,391072,,
45300,11.83,11.98,11.98,11.82,341055,,
45301,11.74,11.81,11.98,11.71,360562,,
45302,11.47,11.85,11.98,11.42,616543,,
45303,11.52,11.54,11.74,11.5,592320,,
45306,11.3,11.59,11.59,11.26,272281,,
45307,11.17,11.25,11.27,11.11,399458,-0.5600000000000005,
45308,10.88,10.68,10.96,10.64,860968,-0.7699999999999996,
45309,10.87,10.76,10.95,10.76,338746,-0.9600000000000009,
45310,10.89,10.86,11.02,10.8,274387,-0.9900000000000002,
45313,10.95,10.95,11.09,10.9,434346,-0.9700000000000006,
45314,10.83,10.9,11.0,10.78,321738,-1.0,
45315,10.97,10.92,11.04,10.88,426187,-0.7699999999999996,
45316,11.05,10.97,11.07,10.88,287854,-0.41999999999999993,
45317,10.96,10.91,11.07,10.91,459447,-0.5599999999999987,
45320,11.06,11.05,11.06,10.84,200669,-0.2400000000000002,
45321,10.96,11.15,11.17,10.95,280096,-0.20999999999999908,
45322,11.06,10.96,11.09,10.89,317787,0.17999999999999972,
45323,10.8,10.99,11.01,10.71,447675,-0.06999999999999851,
45324,10.77,10.81,11.15,10.77,253428,-0.120000000000001,
45327,10.59,10.78,10.85,10.53,422796,-0.35999999999999943,
45328,10.57,10.59,10.64,10.36,421002,-0.2599999999999998,
45329,10.46,10.56,10.7,10.44,387791,-0.5099999999999998,
45330,10.67,10.52,10.71,10.49,487072,-0.3800000000000008,
45331,10.61,10.67,10.82,10.57,515462,-0.3500000000000014,
45334,10.64,10.61,10.92,10.61,383599,-0.41999999999999993,
45335,10.39,10.64,10.73,10.3,392954,-0.5700000000000003,-1.3399999999999999
45336,10.38,10.39,10.51,10.31,354746,-0.6799999999999997,-1.2699999999999996
45337,10.59,10.19,10.63,10.06,438838,-0.21000000000000085,-1.2400000000000002
45338,10.5,10.59,10.6,10.12,850796,-0.2699999999999996,-1.3800000000000008
45341,10.35,10.49,10.63,10.32,344540,-0.2400000000000002,-1.5700000000000003
45342,10.39,10.35,10.46,10.26,322769,-0.17999999999999972,-1.4399999999999995
45343,10.31,10.39,10.44,10.31,324255,-0.15000000000000036,-1.4299999999999997
45344,10.35,10.3,10.44,10.19,308547,-0.3200000000000003,-1.120000000000001
45345,10.36,10.35,10.37,10.2,292720,-0.25,-1.1600000000000001
45348,10.34,10.3,10.35,10.23,303469,-0.3000000000000007,-0.9600000000000009
45349,10.45,10.34,10.48,10.3,215228,0.05999999999999872,-0.7200000000000006
45350,10.24,10.41,10.45,10.19,383574,-0.14000000000000057,-0.6400000000000006
45351,10.25,10.25,10.38,10.22,585212,-0.33999999999999986,-0.6199999999999992
45352,10.48,10.19,10.48,10.19,352139,-0.019999999999999574,-0.41000000000000014
45355,10.38,10.46,10.47,10.33,370549,0.030000000000001137,-0.5699999999999985
45356,10.33,10.33,10.39,10.19,188067,-0.0600000000000005,-0.5
45357,10.39,10.26,10.51,10.26,272856,0.08000000000000007,-0.5800000000000001
45358,10.53,10.39,10.68,10.29,305440,0.17999999999999972,-0.5200000000000014
45359,10.9,10.51,10.94,10.47,316660,0.5400000000000009,-0.0600000000000005
