Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,8.18,7.8,8.2,7.8,6259,,
45294,8.08,8.18,8.26,8.04,3293,,
45295,8.26,8.08,8.34,8.08,3338,,
45296,8.24,8.28,8.28,8.06,4702,,
45299,8.56,8.34,8.76,8.28,6126,,
45300,8.64,8.56,8.7,8.56,2590,,
45301,8.5,8.66,8.66,8.44,2186,,
45302,8.52,8.5,8.52,8.48,4957,,
45303,8.98,8.58,9.0,8.58,8628,,
45306,9.26,9.0,9.3,9.0,7865,,
45307,9.3,9.28,9.5,9.0,5675,1.120000000000001,
45308,9.22,9.3,9.4,9.1,3490,1.1400000000000006,
45309,9.46,9.4,9.5,9.3,4018,1.200000000000001,
45310,9.56,9.48,9.6,9.46,2850,1.3200000000000003,
45313,9.2,9.56,9.62,9.2,3665,0.6399999999999988,
45314,9.28,9.3,9.48,9.22,619,0.6399999999999988,
45315,9.3,9.3,9.44,9.3,735,0.8000000000000007,
45316,9.48,9.44,9.6,9.4,1050,0.9600000000000009,
45317,9.32,9.5,9.5,9.3,1762,0.33999999999999986,
45320,9.22,9.32,9.32,9.2,2358,-0.03999999999999915,
45321,9.36,9.22,9.4,9.2,1789,0.05999999999999872,
45322,9.22,9.38,9.4,9.2,1012,0.0,
45323,8.8,9.22,9.22,8.56,4934,-0.6600000000000001,
45324,8.74,8.8,8.86,8.58,2222,-0.8200000000000003,
45327,8.64,8.76,8.82,8.64,1488,-0.5599999999999987,
45328,8.8,8.64,8.8,8.6,713,-0.47999999999999865,
45329,8.5,8.82,8.82,8.5,1779,-0.8000000000000007,
45330,8.6,8.52,8.78,8.38,5650,-0.8800000000000008,
45331,8.6,8.6,8.62,8.28,1749,-0.7200000000000006,
45334,8.4,8.6,8.6,8.34,1264,-0.8200000000000003,
45335,8.36,8.4,8.4,8.22,714,-1.0,0.17999999999999972
45336,8.38,8.22,8.38,8.02,2268,-0.8399999999999999,0.3000000000000007
45337,8.26,8.26,8.26,8.14,878,-0.5400000000000009,0.0
45338,8.48,8.26,8.48,8.16,748,-0.2599999999999998,0.2400000000000002
45341,8.52,8.3,8.52,8.3,817,-0.120000000000001,-0.040000000000000924
45342,8.4,8.4,8.4,8.22,1586,-0.40000000000000036,-0.2400000000000002
45343,8.4,8.4,8.5,8.28,185,-0.09999999999999964,-0.09999999999999964
45344,8.48,8.4,8.48,8.32,860,-0.11999999999999922,-0.03999999999999915
45345,8.26,8.48,8.56,8.26,1691,-0.33999999999999986,-0.7200000000000006
45348,8.04,8.3,8.46,7.42,6736,-0.3600000000000012,-1.2200000000000006
45349,7.9,8.06,8.16,7.9,2528,-0.4599999999999991,-1.4000000000000004
45350,8.14,7.9,8.28,7.9,1335,-0.2400000000000002,-1.08
45351,8.26,8.34,8.38,8.26,2546,0.0,-1.200000000000001
45352,8.26,8.32,8.36,8.26,2175,-0.22000000000000064,-1.3000000000000007
45355,7.9,8.26,8.48,7.7,9244,-0.6199999999999992,-1.299999999999999
45356,8.0,8.0,8.0,7.92,1947,-0.40000000000000036,-1.2799999999999994
45357,7.84,8.0,8.0,7.74,3432,-0.5600000000000005,-1.4600000000000009
45358,7.74,7.72,7.82,7.72,3447,-0.7400000000000002,-1.7400000000000002
45359,7.92,7.74,7.94,7.64,2349,-0.33999999999999986,-1.4000000000000004
45362,8.14,8.22,8.22,7.92,2518,0.10000000000000142,-1.08
45363,8.0,8.14,8.22,8.0,857,0.09999999999999964,-1.3599999999999994
45364,8.16,8.0,8.26,8.0,1192,0.019999999999999574,-1.0600000000000005
45365,8.24,8.16,8.26,8.06,2092,-0.019999999999999574,-0.5600000000000005
45366,8.06,8.24,8.26,7.9,2742,-0.1999999999999993,-0.6799999999999997
45369,8.18,8.06,8.3,8.04,732,0.27999999999999936,-0.46000000000000085
45370,8.22,8.2,8.58,7.92,1320,0.22000000000000064,-0.5800000000000001
45371,8.4,8.5,8.5,8.22,382,0.5600000000000005,-0.09999999999999964
45372,8.46,8.56,8.62,8.46,1100,0.7200000000000006,-0.1399999999999988
45373,8.48,8.5,8.56,8.42,728,0.5600000000000005,-0.11999999999999922
45376,8.42,8.48,8.52,8.24,3562,0.27999999999999936,0.019999999999999574
45377,8.42,8.42,8.56,8.42,2411,0.41999999999999993,0.0600000000000005
45378,8.16,8.42,8.42,7.98,1365,0.0,-0.22000000000000064
45379,8.16,8.16,8.16,7.96,748,-0.08000000000000007,-0.09999999999999964
45384,8.14,8.16,8.16,8.0,1349,0.08000000000000007,-0.33999999999999986
45385,8.24,8.04,8.36,8.04,655,0.0600000000000005,-0.27999999999999936
45386,8.18,8.02,8.34,8.02,9656,-0.040000000000000924,-0.22000000000000064
45387,8.42,8.2,8.42,8.2,1667,0.019999999999999574,0.019999999999999574
45390,8.36,8.48,8.48,8.2,985,-0.10000000000000142,-0.120000000000001
