Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,9.194,9.2,9.31,9.124,1104849,,
45294,8.884,9.206,9.236,8.806,1536267,,
45295,9.04,8.89,9.082,8.89,1379141,,
45296,9.156,8.996,9.18,8.928,1264335,,
45299,9.21,9.128,9.24,9.09,1011567,,
45300,8.968,9.22,9.27,8.968,1265854,,
45301,8.964,9.0,9.03,8.926,1162238,,
45302,9.098,9.012,9.21,9.006,1239902,,
45303,9.226,9.14,9.3,9.13,1171179,,
45306,9.22,9.228,9.294,9.168,674509,,
45307,9.15,9.138,9.176,9.04,1130651,-0.04400000000000048,
45308,9.062,9.01,9.096,8.872,1447057,0.17799999999999905,
45309,9.174,9.1,9.22,9.022,1191513,0.13400000000000034,
45310,9.082,9.206,9.256,9.054,1116851,-0.07399999999999984,
45313,9.266,9.138,9.362,9.138,1194625,0.05599999999999916,
45314,9.494,9.342,9.556,9.342,1377874,0.5259999999999998,
45315,9.41,9.556,9.632,9.222,1647697,0.44599999999999973,
45316,9.254,9.34,9.404,9.228,1490571,0.1559999999999988,
45317,9.198,9.27,9.344,9.176,1404667,-0.02800000000000047,
45320,9.14,9.17,9.172,9.034,1385784,-0.08000000000000007,
45321,9.292,9.18,9.346,9.144,952304,0.14199999999999946,
45322,9.29,9.3,9.502,9.262,1438778,0.22799999999999976,
45323,9.436,9.282,9.52,9.282,1016464,0.26200000000000045,
45324,9.37,9.522,9.564,9.364,681903,0.2879999999999985,
45327,9.12,9.386,9.398,9.12,1439788,-0.1460000000000008,
45328,9.232,9.186,9.25,9.076,958856,-0.26200000000000045,
45329,9.29,9.2,9.43,9.12,1984210,-0.120000000000001,
45330,9.396,9.29,9.514,9.224,1496463,0.14200000000000124,
45331,9.356,9.396,9.44,9.296,560945,0.15799999999999947,
45334,9.332,9.356,9.456,9.296,1065382,0.19200000000000017,
45335,9.408,9.332,9.428,9.288,786901,0.11599999999999966,0.21399999999999864
45336,9.374,9.268,9.478,9.244,1225496,0.0840000000000014,0.4900000000000002
45337,9.54,9.516,9.64,9.48,1763317,0.1039999999999992,0.5
45338,10.395,10.185,10.67,10.125,4212952,1.0250000000000004,1.238999999999999
45341,10.165,10.3,10.33,9.966,2020576,1.045,0.9549999999999983
45342,10.045,10.065,10.135,9.926,1347220,0.8130000000000006,1.077
45343,10.125,10.04,10.155,9.996,712384,0.8350000000000009,1.1609999999999996
45344,10.03,10.2,10.285,10.01,1291949,0.6339999999999986,0.9319999999999986
45345,10.04,10.0,10.125,10.0,569339,0.6839999999999993,0.8139999999999983
45348,10.045,10.02,10.155,9.996,962455,0.7129999999999992,0.8249999999999993
45349,10.075,10.09,10.14,10.04,822507,0.6669999999999998,0.9249999999999989
45350,10.045,10.08,10.115,9.94,561877,0.6709999999999994,0.9830000000000005
45351,9.872,10.065,10.09,9.796,3005530,0.33200000000000074,0.6980000000000004
