Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,421.89,424.09,424.28,419.56,2463746,,
45294,418.77,421.2,421.34,417.5001,3093684,,
45295,419.77,418.5,423.45,418.28,2042551,,
45296,419.42,420.49,422.76,416.99,2416004,,
45299,421.98,419.44,422.08,416.53,2125446,,
45300,422.6,419.1,423.7,418.54,2439387,,
45301,428.27,426.0,429.47,424.1501,2709369,,
45302,426.72,430.0,431.79,425.77,2320769,,
45303,429.1,429.95,431.11,427.7,1892426,,
45307,428.35,427.44,429.73,426.52,2397988,,
45308,427.42,425.48,430.3793,425.48,2690522,5.53000000000003,
45309,430.72,428.64,431.22,427.45,2075759,11.950000000000045,
45310,436.78,432.55,437.07,429.34,2400409,17.00999999999999,
45313,439.75,438.98,440.94,437.26,2715618,20.329999999999984,
45314,438.76,440.27,440.6,437.86,2328662,16.779999999999973,
45315,438.7,438.53,440.925,435.755,2725669,16.099999999999966,
45316,436.8,436.0,438.63,434.46,2977825,8.53000000000003,
45317,438.53,432.55,439.89,430.67,2725548,11.809999999999945,
45320,440.58,435.78,440.96,434.67,2314246,11.479999999999961,
45321,445.19,440.9,446.215,440.05,2663616,16.839999999999975,
45322,449.23,450.0,462.0,446.62,4740634,21.810000000000002,
45323,460.92,455.0,461.14,454.045,3292697,30.19999999999999,
45324,460.58,462.21,463.84,458.5,2050335,23.80000000000001,
45327,456.76,459.51,461.3674,455.5279,2438961,17.00999999999999,
45328,460.5,455.36,460.56,455.36,2201912,21.74000000000001,
45329,461.91,461.21,462.235,459.615,2544469,23.210000000000036,
45330,458.26,460.0,460.75,457.445,2081511,21.45999999999998,
45331,457.88,458.06,458.985,456.37,2155449,19.350000000000023,
45334,458.71,459.18,459.4,456.08,1794533,18.129999999999995,
45335,460.46,456.76,461.88,456.04,2407755,15.269999999999982,
45336,465.19,462.0,465.45,459.435,2202784,15.95999999999998,43.30000000000001
45337,471.28,465.83,472.105,465.23,2354215,10.359999999999957,52.50999999999999
45338,468.13,474.17,474.17,467.065,2237275,7.550000000000011,48.360000000000014
45342,451.75,452.8,455.85,450.12,5044210,-5.009999999999991,32.329999999999984
45343,459.05,453.31,459.595,452.0,2896527,-1.4499999999999886,37.06999999999999
45344,471.56,461.81,472.5,461.58,2572782,9.649999999999977,48.95999999999998
45345,473.42,473.73,475.1672,471.86,1764216,15.160000000000025,45.150000000000034
45348,474.51,473.0,475.075,472.0,2066883,16.629999999999995,47.789999999999964
45349,474.75,474.55,475.0,469.95,2011129,16.04000000000002,45.64999999999998
45350,478.85,474.17,479.14,473.67,1931986,18.390000000000043,50.5
45351,474.76,478.0,478.39,472.05,3072717,9.569999999999993,47.339999999999975
45352,476.63,474.91,477.5,473.9,1748452,5.350000000000023,45.90999999999997
45355,468.49,475.67,476.63,465.765,3212483,0.36000000000001364,31.710000000000036
45356,467.52,467.37,469.2435,464.62,2015063,15.769999999999982,27.769999999999982
45357,471.6,467.16,473.62,467.16,1917151,12.550000000000011,32.84000000000003
45358,467.54,473.2,473.27,465.89,2178103,-4.019999999999982,28.840000000000032
45359,469.26,467.1,471.62,467.1,1596884,-4.160000000000025,32.45999999999998
45362,469.16,469.0,469.37,464.69,1774642,-5.349999999999966,30.630000000000052
45363,472.87,470.53,474.37,468.71,1853933,-1.8799999999999955,32.29000000000002
45364,475.61,474.23,476.16,472.78,2103955,-3.240000000000009,30.420000000000016
45365,479.48,481.02,482.0,477.1784,2757821,4.720000000000027,30.25
45366,475.83,473.34,478.46,473.08,4179328,-0.8000000000000114,14.909999999999968
45369,478.89,478.64,480.82,476.65,2072358,10.399999999999977,18.310000000000002
45370,484.0,481.62,484.61,479.51,2049644,16.480000000000018,27.24000000000001
45371,488.04,484.32,488.45,483.64,1691084,16.439999999999998,27.54000000000002
45372,488.64,488.53,490.0,483.4,2580338,21.099999999999966,26.72999999999996
45373,481.67,488.31,488.89,481.46,2277794,12.410000000000025,23.410000000000025
45376,476.04,481.6,482.32,474.4111,2600371,6.8799999999999955,18.160000000000025
45377,476.8,477.72,480.0,472.305,2515051,3.930000000000007,18.090000000000032
45378,477.95,480.5,482.16,474.75,2309507,2.339999999999975,17.49000000000001
45379,481.57,477.91,482.43,477.275,2214542,2.089999999999975,16.379999999999995
45383,478.4,480.66,483.28,477.33,1648343,2.569999999999993,7.1200000000000045
45384,479.43,476.97,480.41,476.3,3265212,0.5400000000000205,11.300000000000011
45385,477.42,480.44,483.3,477.21,2265162,-6.579999999999984,25.670000000000016
45386,469.77,479.97,481.96,469.0,2552759,-18.27000000000004,10.71999999999997
45387,477.15,474.0,479.31,472.53,2462740,-11.490000000000009,5.589999999999975
45390,478.85,476.4,479.68,474.28,1961897,-2.819999999999993,5.430000000000007
45391,472.16,477.97,478.89,467.83,2218019,-3.8799999999999955,-2.349999999999966
45392,469.17,470.17,474.385,468.85,2710709,-7.6299999999999955,-5.579999999999984
45393,468.31,468.28,470.3482,464.19,2299867,-9.639999999999986,-10.54000000000002
45394,465.38,466.0,469.52,462.11,2486361,-16.189999999999998,-9.379999999999995
45397,459.79,470.24,471.0,458.43,2070679,-18.609999999999957,-16.839999999999975
45398,459.82,460.0,463.38,459.0,1787264,-19.610000000000014,-8.670000000000016
45399,460.16,462.77,463.41,458.15,1735073,-17.25999999999999,-7.359999999999957
45400,454.7,460.5,461.91,453.8,1998880,-15.069999999999993,-16.900000000000034
45401,455.39,458.89,459.86,452.585,2548844,-21.75999999999999,-12.150000000000034
45404,456.75,457.5,460.74,455.13,2157434,-22.100000000000023,-12.509999999999991
45405,462.82,458.48,462.98,457.31,2029056,-9.340000000000032,-6.340000000000032
45406,462.5,465.29,468.15,460.35,4043134,-6.670000000000016,-10.370000000000005
45407,462.11,460.94,464.0,456.72,2006668,-6.199999999999989,-13.5
45408,462.42,462.91,464.82,460.94,1963273,-2.9599999999999795,-17.060000000000002
45411,457.1,460.95,461.59,455.6829,2121464,-2.6899999999999977,-18.72999999999996
45412,451.2,456.26,457.72,450.88,2698813,-8.620000000000005,-27.689999999999998
45413,442.07,445.8,448.98,438.38,4979366,-18.090000000000032,-41.93000000000001
45414,441.1,443.0,444.655,438.05,3866467,-13.599999999999966,-46.94
45415,443.58,444.91,445.26,436.9,3711610,-11.810000000000002,-45.06
45418,449.37,447.23,450.4999,445.56,2536211,-7.3799999999999955,-32.30000000000001
45419,453.06,451.76,453.3,447.525,2345486,-9.759999999999991,-22.980000000000018
45420,454.77,454.0,455.11,449.915,2332440,-7.730000000000018,-22.03000000000003
45421,455.49,453.55,456.025,453.55,1970193,-6.6200000000000045,-22.45999999999998
45422,456.98,457.33,458.58,454.98,1730054,-5.439999999999998,-24.589999999999975
45425,457.76,456.93,458.72,455.505,2069345,0.6599999999999682,-20.639999999999986
45426,454.2,457.92,458.98,449.3,2990997,3.0,-25.230000000000018
45427,458.0,452.79,458.6,452.79,2437772,15.930000000000007,-19.420000000000016
45428,458.87,460.0,464.93,458.82,2412233,17.769999999999982,-10.899999999999977
45429,460.27,460.45,461.685,458.11,1985903,16.689999999999998,-16.879999999999995
45432,459.66,459.48,462.22,458.78,1397291,10.29000000000002,-19.189999999999998
45433,459.1,457.91,460.3899,455.63,2165999,6.0400000000000205,-13.060000000000002
45434,456.52,458.9,462.5,455.165,1713650,1.75,-12.650000000000034
45435,451.21,456.52,458.05,450.44,2084733,-4.28000000000003,-17.100000000000023
45436,451.18,452.51,454.45,450.32,2162182,-5.800000000000011,-14.199999999999989
45440,445.08,450.0,450.625,442.395,2670989,-12.680000000000007,-14.710000000000036
45441,442.47,442.11,444.555,441.8,1876996,-11.729999999999961,-17.349999999999966
45442,442.1,442.21,444.19,440.67,2189905,-15.899999999999977,-18.060000000000002
45443,447.07,442.69,447.34,439.255,3917303,-11.800000000000011,-7.6299999999999955
45446,443.19,443.48,445.0,437.885,2123775,-17.079999999999984,-12.199999999999989
45447,444.77,443.36,444.88,441.32,2096578,-14.890000000000043,-11.980000000000018
45448,446.66,446.8,447.565,442.305,2157011,-12.439999999999998,-16.159999999999968
45449,448.68,448.49,449.78,444.63,1887061,-7.839999999999975,-13.819999999999993
45450,449.79,449.45,453.0,447.26,1664850,-1.419999999999959,-12.319999999999993
45453,449.25,448.42,450.17,444.37,1954548,-1.9300000000000068,-13.170000000000016
45454,449.04,447.84,449.25,445.11,1777281,3.9600000000000364,-8.060000000000002
