Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,32.48,32.52,33.11,32.48,953336,,
45294,31.8,32.57,32.62,31.69,997501,,
45295,32.27,32.06,32.39,32.02,606915,,
45296,32.4,32.0,32.59,31.85,729283,,
45299,32.27,32.4,32.5,31.85,777006,,
45300,32.15,32.39,32.65,32.13,663386,,
45301,31.97,32.01,32.48,31.97,733296,,
45302,32.09,32.13,32.32,31.86,698887,,
45303,32.48,32.29,32.77,32.14,612695,,
45306,32.32,32.58,32.8,32.26,370456,,
45307,32.7,32.02,32.74,31.92,830553,0.22000000000000597,
45308,32.24,32.38,32.4,31.87,699266,0.4400000000000013,
45309,31.75,32.2,32.27,31.75,964884,-0.5200000000000031,
45310,31.16,31.8,32.0,31.05,1197124,-1.2399999999999984,
45313,31.16,31.3,31.55,30.89,774739,-1.110000000000003,
45314,31.71,31.39,31.96,31.17,802085,-0.4399999999999977,
45315,32.14,31.91,32.34,31.85,619958,0.1700000000000017,
45316,31.91,32.14,32.46,31.91,1089574,-0.18000000000000327,
45317,32.48,32.06,33.04,31.91,1069089,0.0,
45320,32.85,32.7,33.6,32.55,842312,0.5300000000000011,
45321,32.64,32.82,33.12,32.35,556521,-0.060000000000002274,
45322,32.05,32.73,32.81,32.03,779420,-0.19000000000000483,
45323,32.16,32.0,32.41,31.71,1019247,0.4099999999999966,
45324,31.68,32.1,32.18,31.68,795420,0.5199999999999996,
45327,31.51,31.44,31.83,30.99,1173242,0.3500000000000014,
45328,31.65,31.41,31.85,30.96,947130,-0.060000000000002274,
45329,31.49,31.59,31.67,31.16,790231,-0.6500000000000021,
45330,27.74,29.0,29.26,27.0,7084734,-4.170000000000002,
45331,26.98,27.78,28.05,26.9,2263507,-5.4999999999999964,
45334,27.29,26.8,27.33,26.63,890473,-5.560000000000002,
45335,27.57,27.3,28.27,27.3,991510,-5.07,-4.909999999999997
45336,27.42,27.57,27.85,27.32,840986,-4.6299999999999955,-4.379999999999999
45337,27.13,27.06,27.65,26.87,1190730,-5.029999999999998,-5.140000000000004
45338,27.32,27.28,27.89,27.26,1057769,-4.359999999999999,-5.079999999999998
45341,27.33,27.4,27.55,27.15,557959,-4.180000000000003,-4.940000000000005
45342,27.55,27.26,27.62,27.11,699416,-4.099999999999998,-4.599999999999998
45343,27.5,27.55,27.76,27.36,687041,-3.9899999999999984,-4.469999999999999
45344,27.6,27.71,27.94,27.47,871485,-0.13999999999999702,-4.490000000000002
45345,26.91,27.53,27.55,26.91,1058755,-0.07000000000000028,-5.569999999999997
45348,26.25,26.44,26.79,25.98,1574681,-1.0399999999999991,-6.07
45349,26.6,26.37,26.68,26.12,1036656,-0.9699999999999989,-6.100000000000001
45350,25.65,26.64,26.67,25.52,1447027,-1.7700000000000031,-6.590000000000003
45351,25.37,25.65,25.85,25.2,3101110,-1.759999999999998,-6.379999999999999
45352,25.43,25.01,25.53,25.01,980589,-1.8900000000000006,-5.73
45355,25.0,25.43,25.64,24.88,1212001,-2.3299999999999983,-6.16
45356,24.83,24.76,25.13,24.63,1062469,-2.7200000000000024,-6.880000000000003
45357,24.9,25.16,25.51,24.8,1080760,-2.6000000000000014,-7.240000000000002
45358,25.05,24.71,25.21,24.52,1166945,-2.5500000000000007,-6.859999999999999
45359,25.29,25.18,25.52,25.09,867706,-1.620000000000001,-7.189999999999998
45362,25.19,25.29,25.67,25.08,953291,-1.0599999999999987,-7.66
45363,25.65,25.25,25.93,25.02,1392498,-0.9500000000000028,-6.990000000000002
45364,25.27,25.4,25.69,25.2,1236432,-0.379999999999999,-6.779999999999998
45365,24.7,25.32,25.48,24.7,1690472,-0.6700000000000017,-7.459999999999997
45366,24.78,24.77,25.19,24.59,2331643,-0.6499999999999986,-6.899999999999999
45369,24.9,24.87,25.21,24.74,987477,-0.10000000000000142,-6.610000000000003
45370,24.98,24.95,25.05,24.76,802237,0.15000000000000213,-6.669999999999998
45371,24.69,24.87,25.07,24.69,1098120,-0.2099999999999973,-6.799999999999997
45372,24.12,24.95,25.01,24.08,1529527,-0.9299999999999997,-3.6199999999999974
45373,24.68,23.99,24.72,23.63,2045446,-0.6099999999999994,-2.3000000000000007
45376,25.67,24.68,25.81,23.83,2578441,0.4800000000000004,-1.6199999999999974
45377,25.4,25.36,25.7,25.14,1413136,-0.25,-2.1700000000000017
45378,25.71,25.4,25.71,25.0,1303546,0.4400000000000013,-1.7100000000000009
45379,25.1,25.25,25.49,24.67,1407785,0.40000000000000213,-2.0299999999999976
45384,24.81,25.24,25.42,24.79,1262803,0.029999999999997584,-2.5100000000000016
45385,25.04,24.66,25.09,24.64,931547,0.14000000000000057,-2.289999999999999
45386,25.05,25.07,25.34,24.89,919813,0.07000000000000028,-2.5
45387,26.72,25.26,27.1,25.2,2537429,2.0299999999999976,-0.7800000000000011
45390,27.29,26.72,27.57,26.62,1943215,3.169999999999998,-0.3100000000000023
45391,27.21,27.29,27.83,27.13,1961402,2.530000000000001,0.3000000000000007
45392,27.99,27.5,28.17,27.49,2029244,2.3199999999999967,1.7399999999999984
45393,27.81,28.05,28.26,27.76,1743540,2.41,1.2099999999999973
45394,27.32,27.92,28.13,27.32,1062612,1.6099999999999994,1.6700000000000017
45397,26.6,27.32,27.53,26.6,999992,1.5,1.2300000000000004
45398,26.33,26.41,26.68,26.09,1309065,1.5199999999999996,0.8999999999999986
45399,26.2,26.4,26.44,25.95,645640,1.1600000000000001,1.1999999999999993
45400,25.8,26.2,26.45,25.8,802417,0.75,0.9700000000000024
45401,25.72,25.78,25.84,25.15,982267,-1.0,0.8200000000000003
45404,26.22,25.81,26.44,25.77,882809,-1.0700000000000003,1.1699999999999982
45405,26.21,26.3,26.46,25.93,794411,-1.0,0.9200000000000017
45406,25.85,26.4,26.44,25.71,1061270,-2.139999999999997,0.6600000000000001
45407,22.49,23.3,24.24,22.49,4919974,-5.32,-3.16
45408,22.16,22.67,23.91,22.16,3320324,-5.16,-3.1099999999999994
45411,21.56,22.2,22.27,21.47,2244756,-5.040000000000003,-3.1400000000000006
45412,21.34,21.8,22.11,21.16,2654872,-4.989999999999998,-3.4400000000000013
45414,22.19,21.45,22.38,21.26,1854819,-4.009999999999998,-2.7099999999999973
