Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,3.147,3.0025,3.155,3.0,17696101,,
45294,3.1165,3.148,3.174,3.089,13544202,,
45295,3.1675,3.1285,3.1745,3.1275,11546537,,
45296,3.182,3.149,3.198,3.1475,12047280,,
45299,3.226,3.15,3.2305,3.15,11457385,,
45300,3.2035,3.2715,3.304,3.1725,20657231,,
45301,3.1905,3.1855,3.206,3.1755,12255870,,
45302,3.1915,3.2,3.235,3.178,10594482,,
45303,3.224,3.19,3.2335,3.186,11883002,,
45306,3.235,3.2035,3.2455,3.2035,6163796,,
45307,3.236,3.2,3.2765,3.1995,8819578,0.08900000000000041,
45308,3.182,3.19,3.24,3.1575,12122294,0.06550000000000011,
45309,3.1955,3.1685,3.209,3.168,11720464,0.028000000000000025,
45310,3.103,3.0895,3.156,3.0895,15519881,-0.07899999999999974,
45313,3.1055,3.1355,3.1535,3.0675,16020777,-0.12049999999999983,
45314,3.166,3.056,3.201,3.044,16800261,-0.03750000000000009,
45315,3.149,3.163,3.203,3.137,15949968,-0.04150000000000009,
45316,3.5025,3.3,3.517,3.268,52590197,0.31099999999999994,
45317,3.5245,3.4665,3.5285,3.407,21533690,0.3005,
45320,3.5525,3.4835,3.5525,3.461,16068665,0.31750000000000034,
45321,3.4155,3.5475,3.569,3.407,19219239,0.1795,
45322,3.322,3.428,3.428,3.306,17744993,0.14000000000000012,
45323,3.3325,3.3585,3.3945,3.3305,10615074,0.137,
45324,3.305,3.3105,3.3365,3.2965,8558087,0.20199999999999996,
45327,3.353,3.3045,3.3575,3.304,11162071,0.24750000000000005,
45328,3.332,3.3445,3.353,3.2945,8449274,0.16599999999999993,
45329,3.3035,3.315,3.3215,3.2815,8125654,0.15450000000000008,
45330,3.3765,3.296,3.385,3.274,10834688,-0.1259999999999999,
45331,3.345,3.3765,3.4355,3.319,12692703,-0.1795,
45334,3.3625,3.321,3.3635,3.313,7041476,-0.1900000000000004,
45335,3.2785,3.3625,3.3625,3.2685,8489526,-0.137,0.1315000000000004
45336,3.249,3.2525,3.273,3.2325,6288976,-0.07299999999999995,0.13250000000000028
45337,3.272,3.257,3.2925,3.2335,9093813,-0.06050000000000022,0.10449999999999982
45338,3.2895,3.2585,3.2925,3.25,7979281,-0.015500000000000291,0.10749999999999993
45341,3.2705,3.2615,3.2805,3.246,3751167,-0.08250000000000002,0.044500000000000206
45342,3.24,3.25,3.295,3.2145,7179641,-0.09199999999999964,0.0365000000000002
45343,3.249,3.2245,3.35,3.2115,14894444,-0.05449999999999999,0.058499999999999996
45344,3.2715,3.263,3.2895,3.246,8516289,-0.10499999999999998,0.08000000000000007
45345,3.275,3.2815,3.29,3.2585,6841791,-0.07000000000000028,0.05099999999999971
45348,3.234,3.26,3.269,3.219,6105937,-0.12849999999999984,-0.0009999999999998899
45349,3.2635,3.215,3.2635,3.215,8715545,-0.015000000000000124,0.027499999999999858
45350,3.2835,3.2735,3.326,3.259,8337696,0.034499999999999975,0.10150000000000015
45351,3.2595,3.2665,3.291,3.242,22422703,-0.012499999999999734,0.06400000000000006
45352,3.2665,3.254,3.2665,3.232,7683748,-0.022999999999999687,0.16349999999999998
45355,3.3215,3.26,3.3215,3.2585,8561319,0.05099999999999971,0.21599999999999975
45356,3.281,3.3045,3.327,3.2775,6407732,0.040999999999999925,0.11500000000000021
45357,3.3315,3.24,3.3405,3.24,10674970,0.08250000000000002,0.1825000000000001
45358,3.352,3.3215,3.401,3.2985,13038357,0.0804999999999998,-0.15050000000000008
45359,3.3195,3.3565,3.3605,3.2935,9756205,0.044500000000000206,-0.20500000000000007
45362,3.316,3.3045,3.3305,3.275,12041817,0.08199999999999985,-0.23650000000000038
45363,3.3475,3.317,3.3475,3.305,9988888,0.08400000000000007,-0.06800000000000006
45364,3.3255,3.3445,3.3465,3.2925,15607376,0.041999999999999815,0.0034999999999998366
45365,3.3445,3.346,3.3865,3.333,15625311,0.08499999999999996,0.01200000000000001
45366,3.3605,3.3565,3.4415,3.35,27540109,0.09399999999999986,0.05549999999999988
45369,3.227,3.353,3.39,3.2195,16828133,-0.09450000000000003,-0.12600000000000033
45370,3.2375,3.216,3.2375,3.1815,13403864,-0.043500000000000316,-0.09450000000000003
45371,3.241,3.2375,3.257,3.2065,12368294,-0.09050000000000002,-0.0625
45372,3.29,3.28,3.31,3.269,10815371,-0.06199999999999983,-0.08650000000000002
45373,3.2865,3.28,3.32,3.27,10826050,-0.03299999999999992,-0.058499999999999996
45376,3.2555,3.2895,3.325,3.249,11214724,-0.060499999999999776,-0.10699999999999976
45377,3.2895,3.249,3.2895,3.189,12307502,-0.058000000000000274,0.010999999999999677
45378,3.329,3.2715,3.34,3.2655,10188893,0.0035000000000002807,0.08000000000000007
45379,3.291,3.329,3.335,3.276,16746539,-0.0535000000000001,0.019000000000000128
45384,3.2545,3.27,3.335,3.2385,14083819,-0.10599999999999987,-0.0349999999999997
45385,3.2735,3.2585,3.2905,3.2435,9041587,0.046499999999999986,0.0029999999999996696
45386,3.2965,3.284,3.33,3.2785,8922868,0.05900000000000016,0.05649999999999977
45387,3.2175,3.268,3.2795,3.199,17875218,-0.0235000000000003,-0.031500000000000306
45390,3.216,3.204,3.24,3.182,9214216,-0.07399999999999984,-0.05549999999999988
45391,3.2235,3.2,3.24,3.1715,12345236,-0.06300000000000017,-0.05149999999999988
45392,3.1825,3.24,3.31,3.1805,13977268,-0.07299999999999995,-0.05149999999999988
45393,3.1935,3.182,3.245,3.1785,16706221,-0.09600000000000009,-0.07000000000000028
45394,3.1725,3.2025,3.2245,3.163,12896696,-0.1565000000000003,-0.11100000000000021
45397,3.166,3.1725,3.209,3.15,14997573,-0.125,-0.09350000000000014
45398,3.175,3.18,3.2105,3.1145,23948528,-0.07950000000000035,-0.09150000000000036
45399,3.1585,3.163,3.1975,3.139,18063555,-0.11499999999999977,-0.1629999999999998
45400,3.2285,3.15,3.24,3.0475,34351972,-0.06800000000000006,-0.05250000000000021
45401,3.31,3.2415,3.329,3.2145,22892657,0.09250000000000025,-0.021500000000000075
45404,3.478,3.3,3.479,3.294,21557315,0.262,0.12600000000000033
45405,3.4105,3.496,3.52,3.3555,19490515,0.18699999999999983,0.09099999999999975
45406,3.41,3.4365,3.472,3.395,15170759,0.22750000000000004,0.0940000000000003
45407,3.386,3.4205,3.4205,3.35,14795284,0.19250000000000034,0.03849999999999998
45408,3.4295,3.405,3.448,3.405,10240428,0.2570000000000001,0.10400000000000009
45411,3.4445,3.423,3.4545,3.411,10728190,0.2785000000000002,0.10000000000000009
45412,3.4115,3.4265,3.4345,3.3965,12402633,0.23650000000000038,0.051000000000000156
45414,3.405,3.4545,3.4855,3.405,15098968,0.24649999999999972,0.17799999999999994
45415,3.419,3.435,3.473,3.417,9711012,0.1905000000000001,0.18150000000000022
45418,3.4625,3.419,3.4655,3.407,7412989,0.15249999999999986,0.2214999999999998
45419,3.462,3.47,3.493,3.435,10430954,-0.016000000000000014,0.17200000000000015
