Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,72.32,74.72,74.72,72.32,6880,,
45294,71.36,72.04,72.54,70.0,9754,,
45295,70.42,71.08,71.58,70.42,12834,,
45296,70.46,70.46,70.46,70.46,6840,,
45299,70.38,70.88,70.88,69.44,5267,,
45300,70.68,70.68,70.68,70.68,8107,,
45301,70.26,69.98,70.26,69.74,4743,,
45302,69.04,70.52,70.52,68.7,5869,,
45303,69.76,69.04,69.76,69.04,6305,,
45306,69.3,70.98,70.98,69.3,6865,,
45307,67.5,68.9,68.9,67.5,12370,-4.819999999999993,
45308,65.92,66.92,66.92,65.54,5490,-5.439999999999998,
45309,66.88,65.76,66.88,65.76,7067,-3.5400000000000063,
45310,66.7,66.64,66.98,66.52,4851,-3.759999999999991,
45313,64.08,66.56,67.36,63.56,4079,-6.299999999999997,
45314,65.5,63.82,65.5,63.82,31146,-5.180000000000007,
45315,67.34,65.48,67.34,65.48,12924,-2.9200000000000017,
45316,68.14,67.02,68.14,67.02,10639,-0.9000000000000057,
45317,67.88,67.96,67.96,67.32,6219,-1.8800000000000097,
45320,67.88,67.72,67.88,67.26,3928,-1.4200000000000017,
45321,67.98,68.22,68.22,67.52,4765,0.480000000000004,
45322,67.12,67.64,67.76,67.12,3582,1.2000000000000028,
45323,66.1,66.82,66.82,65.64,9429,-0.7800000000000011,
45324,64.82,66.08,66.08,64.82,10313,-1.8800000000000097,
45327,64.5,64.76,64.96,64.2,13334,0.4200000000000017,
45328,65.26,64.4,65.42,63.0,7303,-0.23999999999999488,
45329,63.16,64.54,64.54,62.96,31602,-4.180000000000007,
45330,63.38,62.96,63.38,62.96,8030,-4.759999999999998,
45331,61.66,63.7,63.7,61.26,7857,-6.219999999999999,
45334,61.8,61.2,61.94,61.2,14894,-6.079999999999998,
45335,60.12,62.08,62.2,60.12,17329,-7.8600000000000065,-12.199999999999996
45336,61.06,60.42,61.06,60.0,10087,-6.060000000000002,-10.299999999999997
45337,61.02,60.94,61.48,60.78,10502,-5.079999999999991,-9.399999999999999
45338,60.14,60.54,61.34,60.14,8617,-4.679999999999993,-10.319999999999993
45341,60.32,60.24,60.4,59.44,7193,-4.18,-10.059999999999995
45342,60.02,59.98,60.02,59.08,5015,-5.240000000000002,-10.660000000000004
45343,59.76,59.82,59.92,59.0,6165,-3.3999999999999986,-10.500000000000007
45344,60.0,59.58,60.4,59.34,6083,-3.3800000000000026,-9.040000000000006
45345,59.8,59.9,59.9,59.64,4531,-1.8599999999999994,-9.960000000000008
45348,59.56,60.06,60.06,59.2,8143,-2.239999999999995,-9.739999999999995
45349,59.86,59.36,60.02,59.36,7729,-0.259999999999998,-7.640000000000001
45350,59.16,59.84,59.96,58.92,8563,-1.9000000000000057,-6.760000000000005
45351,58.9,59.26,59.26,58.9,5921,-2.1200000000000045,-7.979999999999997
45352,59.22,58.66,59.22,58.44,8832,-0.9200000000000017,-7.480000000000004
45355,58.12,59.26,59.5,58.0,10900,-2.200000000000003,-5.960000000000001
45356,57.52,57.98,57.98,57.42,9153,-2.5,-7.979999999999997
45357,58.7,57.5,58.74,57.5,6125,-1.0599999999999952,-8.64
45358,61.16,58.56,61.16,58.56,9667,1.1599999999999966,-6.980000000000004
45359,60.34,60.86,61.98,60.32,10227,0.5400000000000063,-7.539999999999992
45362,59.76,60.12,60.12,59.7,12201,0.19999999999999574,-8.119999999999997
45363,61.56,60.48,61.56,60.48,10982,1.7000000000000028,-6.420000000000002
45364,63.28,61.66,63.56,61.06,16988,4.1200000000000045,-3.8400000000000034
45365,63.24,63.28,63.28,63.24,8440,4.340000000000003,-2.8599999999999923
45366,62.64,61.96,62.64,61.96,14124,3.4200000000000017,-2.1799999999999926
45369,63.24,62.98,63.24,62.98,9944,5.1200000000000045,-1.259999999999998
45370,63.28,63.28,63.28,63.28,8775,5.759999999999998,-1.980000000000004
45371,63.18,63.18,63.18,63.18,1817,4.479999999999997,0.020000000000003126
45372,65.0,64.28,65.5,64.28,12425,3.8400000000000034,1.6199999999999974
45373,64.54,64.14,64.54,64.14,6452,4.200000000000003,2.8800000000000097
45376,65.0,64.62,65.0,64.62,7417,5.240000000000002,3.200000000000003
45377,64.62,64.98,64.98,64.62,4804,3.0600000000000023,4.500000000000007
45378,64.58,64.58,64.58,64.58,4235,1.2999999999999972,3.519999999999996
45379,65.12,64.9,65.28,64.4,4122,1.8800000000000026,4.100000000000001
45384,66.4,65.05,66.4,65.05,6776,3.760000000000005,6.260000000000005
45385,68.0,66.0,68.1,66.0,10429,4.759999999999998,7.68
45386,68.7,67.95,69.5,67.95,12549,5.420000000000002,8.68
45387,68.4,68.7,68.7,68.4,4628,5.220000000000006,8.640000000000008
45390,69.95,68.25,69.95,68.25,6372,4.950000000000003,9.950000000000003
45391,70.5,69.3,70.5,69.05,7641,5.959999999999994,10.700000000000003
45392,73.15,70.55,75.65,70.55,17197,8.150000000000006,13.590000000000003
45393,73.2,74.35,74.65,73.1,9723,8.579999999999998,13.340000000000003
45394,74.7,73.4,75.55,73.4,22577,10.120000000000005,15.540000000000006
45397,73.1,74.45,74.45,73.1,13884,7.97999999999999,14.199999999999996
45398,71.95,72.5,72.5,71.8,12281,5.549999999999997,12.730000000000004
45399,74.55,71.75,74.55,71.75,5639,6.549999999999997,16.43
45400,74.85,74.5,74.9,74.5,11323,6.1499999999999915,17.32999999999999
45401,74.5,74.7,75.55,73.65,11037,6.099999999999994,15.799999999999997
45404,74.0,75.2,75.3,74.0,3098,4.049999999999997,12.840000000000003
45405,72.35,74.25,74.25,72.35,5626,1.8499999999999943,12.009999999999991
45406,73.35,72.75,73.35,72.75,1587,0.19999999999998863,13.589999999999996
45407,72.6,72.9,73.4,72.6,2578,-0.6000000000000085,11.039999999999992
45408,74.35,72.7,75.0,72.7,6010,-0.3500000000000085,11.069999999999993
45411,74.8,74.3,75.0,74.3,4352,1.7000000000000028,11.559999999999995
45412,76.5,75.75,76.5,75.75,5708,4.549999999999997,13.86
