Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,468.5,483.185,484.65,461.86,5049423,,
45294,470.26,467.32,475.05,465.7727,3443694,,
45295,474.67,472.98,480.7393,466.53,3636513,,
45296,474.06,476.5,479.545,471.804,2631250,,
45299,485.03,473.89,485.24,473.65,3675775,,
45300,482.09,475.53,485.085,473.8,3526757,,
45301,478.33,481.6,487.0,472.95,4342448,,
45302,492.23,492.54,503.41,483.82,7993265,,
45303,492.16,500.51,500.79,490.61,5003718,,
45307,481.24,490.0,494.15,478.02,4678974,,
45308,480.33,484.5,486.21,475.2642,4894593,11.829999999999984,
45309,485.31,480.03,485.77,478.02,4054399,15.050000000000011,
45310,482.95,484.98,485.67,476.06,5672351,8.279999999999973,
45313,485.71,487.55,489.8,479.9,5212309,11.649999999999977,
45314,492.19,492.0,498.96,481.4,15506024,7.160000000000025,
45315,544.87,537.75,562.5,537.07,26432797,62.78000000000003,
45316,562.0,551.95,563.46,548.46,9451915,83.67000000000002,
45317,570.42,561.81,579.64,558.4319,12770571,78.18999999999994,
45320,575.79,571.35,578.5499,562.68,6905390,83.62999999999994,
45321,562.85,567.32,570.88,560.82,6181798,81.61000000000001,
45322,564.11,562.85,572.15,562.045,4857599,83.78000000000003,
45323,567.51,567.02,572.66,563.83,3174002,82.19999999999999,
45324,564.64,564.52,567.8,562.37,4032843,81.69,
45327,562.06,562.47,575.75,557.195,4143099,76.34999999999997,
45328,555.88,564.12,566.3399,554.37,2840300,63.69,
45329,559.3,558.16,567.8,554.98,4373591,14.42999999999995,
45330,558.53,560.55,563.7,555.74,3175468,-3.4700000000000273,
45331,561.32,565.0,566.0,558.1,3055698,-9.099999999999909,
45334,557.85,560.36,568.44,557.0,3608487,-17.93999999999994,
45335,554.52,550.8,559.1999,549.0,3511453,-8.330000000000041,
45336,579.33,567.26,581.248,564.34,5634226,15.220000000000027,110.83000000000004
45337,593.46,581.91,593.77,580.32,5220938,25.950000000000045,123.20000000000005
45338,583.95,596.95,597.0,577.46,4325689,19.31000000000006,109.28000000000003
45342,575.13,580.18,586.0,569.66,3124236,13.07000000000005,101.07
45343,573.35,573.51,575.775,567.32,2281143,17.470000000000027,88.32000000000005
45344,588.47,582.75,590.85,578.885,3526597,29.170000000000073,106.38000000000005
45345,583.56,586.4,592.43,579.82,2568852,25.029999999999973,105.22999999999996
45348,587.65,583.56,590.75,583.27,2393712,26.329999999999927,95.41999999999996
45349,601.67,595.0,605.36,592.33,4489355,43.819999999999936,109.50999999999993
45350,596.48,595.79,598.17,590.01,2605242,41.960000000000036,115.24000000000001
45351,602.92,604.25,604.5161,595.16,3572082,23.589999999999918,122.58999999999997
45352,619.34,599.81,620.28,599.5,4270305,25.879999999999995,134.03000000000003
45355,615.83,621.56,624.42,615.08,3020306,31.879999999999995,132.88000000000005
45356,598.5,610.1,610.91,592.0,3849563,23.370000000000005,112.79000000000002
45357,597.69,602.99,607.93,593.5555,2469592,24.340000000000032,105.50000000000006
45358,608.51,599.34,610.53,595.9,2742805,20.039999999999964,63.639999999999986
45359,604.82,608.27,616.09,600.84,2777243,21.260000000000105,42.82000000000005
45362,600.93,608.08,611.0,600.37,2500940,13.279999999999973,30.50999999999999
45363,611.08,600.21,615.3,596.27,2821631,9.410000000000082,35.29000000000008
45364,609.45,613.37,614.8499,607.21,2192094,12.970000000000027,46.60000000000002
45365,613.01,615.0,620.8,607.35,3120452,10.090000000000032,48.89999999999998
45366,605.88,622.92,622.92,603.82,6671629,-13.460000000000036,38.370000000000005
45369,618.39,613.56,627.41,610.4481,3344244,2.5599999999999454,53.75
45370,620.74,615.62,621.28,608.0,2142613,22.24000000000001,58.680000000000064
45371,627.69,619.95,629.505,618.34,2639509,30.0,71.81000000000006
45372,622.71,630.65,634.3617,622.33,2507671,14.200000000000045,63.41000000000008
45373,628.01,624.16,629.05,621.0,2135688,23.18999999999994,69.48000000000002
45376,627.46,627.9,630.46,623.16,1803264,26.530000000000086,66.13999999999999
45377,629.24,625.2,634.3899,619.1836,2804453,18.159999999999968,71.38999999999999
45378,613.53,629.01,631.35,610.73,2628267,4.079999999999927,59.00999999999999
45379,607.33,614.99,615.0,601.59,3708803,-5.67999999999995,28.0
45383,614.31,608.0,615.11,605.571,2115925,8.42999999999995,20.84999999999991
45384,614.21,611.0,615.03,605.5101,2029217,-4.17999999999995,30.25999999999999
45385,630.08,612.745,630.41,611.5,2931231,9.340000000000032,54.950000000000045
45386,617.14,633.21,638.0,616.58,3064349,-10.550000000000068,43.789999999999964
45387,636.18,624.92,637.91,622.71,3378842,13.469999999999914,47.70999999999992
45390,628.41,636.39,639.0,628.11,2145731,0.39999999999997726,44.85000000000002
45391,618.2,631.99,631.99,615.6347,2146635,-9.259999999999991,30.550000000000068
45392,618.58,610.97,620.14,609.34,2806248,-10.659999999999968,16.910000000000082
45393,628.78,624.42,631.66,617.24,2662662,15.25,32.299999999999955
45394,622.83,628.23,633.1199,618.915,2959269,15.5,19.910000000000082
45397,607.15,630.17,630.17,603.871,3085394,-7.159999999999968,-12.190000000000055
45398,617.52,607.5,622.45,607.5,3519122,3.3099999999999454,1.6899999999999409
45399,613.69,620.97,620.97,607.71,3312222,-16.389999999999986,15.190000000000055
45400,610.56,612.1,621.33,605.435,8468407,-6.580000000000041,12.86999999999989
45401,555.04,567.88,579.0,552.16,16449699,-81.13999999999999,-53.47000000000003
45404,554.6,550.66,558.61,542.01,8597651,-73.80999999999995,-50.22000000000003
45405,577.75,556.49,579.21,555.28,4975520,-40.450000000000045,-23.17999999999995
45406,555.12,574.31,576.907,551.3,5355312,-63.460000000000036,-55.960000000000036
45407,564.8,549.46,566.54,545.705,3807101,-63.98000000000002,-44.65000000000009
45408,561.23,558.21,562.92,553.19,4332593,-61.60000000000002,-51.77999999999997
45411,559.49,559.18,559.64,554.24,2508882,-47.65999999999997,-46.389999999999986
45412,550.64,560.0,560.0,549.375,3361492,-66.88,-67.75
45413,551.71,547.84,560.39,544.25,3473233,-61.98000000000002,-69.02999999999997
45414,565.15,556.02,565.46,555.59,3068228,-45.40999999999997,-62.54000000000008
