Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,39.91,39.31,40.11,39.3,187773,,
45294,39.74,39.95,40.4,39.64,200827,,
45295,40.74,39.88,40.79,39.88,224529,,
45296,41.1,40.74,41.1,40.5,199741,,
45299,41.74,41.1,41.75,40.9,219670,,
45300,41.94,41.76,42.21,41.52,230982,,
45301,41.99,41.94,41.99,41.31,161146,,
45302,42.6,42.07,42.67,42.02,335493,,
45303,42.74,42.6,42.99,42.6,162881,,
45306,42.72,42.74,42.82,42.5,88669,,
45307,44.81,42.71,45.29,42.71,497992,4.900000000000006,
45308,44.84,44.47,45.03,44.18,271151,5.100000000000001,
45309,44.03,44.83,45.08,43.98,271082,3.289999999999999,
45310,43.12,44.03,44.27,43.12,270576,2.019999999999996,
45313,43.48,43.14,43.58,42.84,180575,1.7399999999999949,
45314,43.01,43.48,43.75,42.75,211885,1.0700000000000003,
45315,43.6,43.08,43.8,42.9,178823,1.6099999999999994,
45316,43.78,43.28,44.03,43.28,237859,1.1799999999999997,
45317,43.73,43.78,44.48,43.42,279690,0.9899999999999949,
45320,42.96,43.64,43.64,42.77,258900,0.240000000000002,
45321,42.95,43.39,43.81,42.95,305618,-1.8599999999999994,
45322,42.72,42.96,43.06,42.12,302563,-2.1200000000000045,
45323,42.51,42.92,43.05,42.4,149020,-1.5200000000000031,
45324,42.36,42.58,42.83,42.21,145129,-0.759999999999998,
45327,42.37,42.36,42.72,42.25,151581,-1.1099999999999994,
45328,42.65,42.45,42.69,42.26,189856,-0.35999999999999943,
45329,42.93,42.67,43.03,42.37,208490,-0.6700000000000017,
45330,42.74,42.93,43.35,42.74,155255,-1.0399999999999991,
45331,42.7,42.74,43.29,42.58,191904,-1.029999999999994,
45334,42.63,42.98,43.11,42.41,158069,-0.3299999999999983,
45335,40.05,42.63,44.6,38.12,850058,-2.9000000000000057,0.14000000000000057
45336,39.62,39.95,39.95,38.88,380121,-3.1000000000000014,-0.12000000000000455
45337,39.76,39.63,39.95,39.04,228242,-2.75,-0.980000000000004
45338,39.98,39.9,40.29,39.73,224677,-2.3800000000000026,-1.1200000000000045
45341,39.1,40.0,40.26,38.96,221671,-3.269999999999996,-2.6400000000000006
45342,38.94,39.09,39.51,38.71,186660,-3.710000000000001,-3.0
45343,38.64,38.85,39.04,38.48,150313,-4.289999999999999,-3.3500000000000014
45344,38.71,38.63,39.03,38.55,202789,-4.030000000000001,-3.8900000000000006
45345,38.5,38.71,38.88,38.4,121193,-4.200000000000003,-4.240000000000002
45348,37.75,37.42,38.27,37.4,280428,-4.880000000000003,-4.969999999999999
45349,37.02,37.75,37.88,36.4,249837,-3.029999999999994,-7.789999999999999
45350,37.0,37.04,37.15,36.51,300416,-2.6199999999999974,-7.840000000000003
45351,36.4,37.0,37.3,36.38,457321,-3.3599999999999994,-7.630000000000003
45352,36.61,36.4,36.65,36.04,196331,-3.3699999999999974,-6.509999999999998
45355,36.42,36.61,36.81,36.25,167585,-2.6799999999999997,-7.059999999999995
45356,35.8,36.42,36.68,35.79,247779,-3.1400000000000006,-7.210000000000001
45357,35.62,35.8,35.82,35.31,223856,-3.020000000000003,-7.980000000000004
45358,35.78,35.62,35.86,35.32,125595,-2.9299999999999997,-8.0
45359,35.95,35.96,36.18,35.75,157388,-2.549999999999997,-7.779999999999994
45362,35.99,36.05,36.53,35.93,188545,-1.759999999999998,-6.969999999999999
45363,35.76,36.03,36.13,35.72,170065,-1.2600000000000051,-7.190000000000005
45364,35.9,35.7,36.3,35.44,176975,-1.1000000000000014,-6.82
45365,35.78,35.9,36.11,35.55,258577,-0.6199999999999974,-6.729999999999997
45366,35.48,35.78,36.21,35.48,512554,-1.1300000000000026,-6.880000000000003
45369,35.31,35.54,35.65,35.16,173366,-1.1099999999999994,-7.059999999999995
45370,35.47,35.32,35.53,35.08,118398,-0.3299999999999983,-7.18
45371,35.27,35.47,35.57,35.04,250314,-0.3499999999999943,-7.659999999999997
45372,34.47,34.57,34.81,34.32,331504,-1.3100000000000023,-8.270000000000003
45373,34.8,34.56,34.8,34.24,243122,-1.1500000000000057,-7.900000000000006
45376,34.17,34.76,34.76,33.94,174410,-1.8200000000000003,-8.46
45377,34.43,34.17,34.43,33.85,227307,-1.3299999999999983,-5.619999999999997
45378,34.48,34.43,34.54,34.17,187678,-1.4200000000000017,-5.140000000000001
45379,34.57,34.51,34.68,34.16,236376,-1.2100000000000009,-5.189999999999998
45384,33.58,34.67,34.86,33.58,362512,-1.8999999999999986,-6.399999999999999
45385,33.09,33.67,33.89,32.95,402833,-2.219999999999999,-6.009999999999998
45386,32.98,33.21,33.58,32.97,333001,-2.490000000000002,-5.960000000000001
45387,33.07,33.01,33.1,32.67,350134,-2.200000000000003,-5.57
45390,32.7,33.09,33.3,32.7,288596,-1.769999999999996,-6.009999999999998
45391,32.94,32.7,33.02,32.61,320567,-1.8599999999999994,-5.560000000000002
45392,32.69,33.02,33.22,32.63,329252,-1.480000000000004,-5.060000000000002
45393,33.18,32.7,33.57,32.7,380660,-1.25,-3.8400000000000034
45394,33.0,33.3,33.43,32.99,216230,-1.4799999999999969,-4.0
45397,32.88,33.03,33.3,32.78,213753,-1.6899999999999977,-3.519999999999996
45398,32.66,32.88,32.93,32.39,255961,-0.9200000000000017,-3.950000000000003
45399,32.34,32.66,32.66,32.23,197607,-0.75,-4.079999999999998
45400,32.27,32.35,32.37,31.9,278767,-0.7099999999999937,-3.529999999999994
45401,32.4,32.2,32.47,31.86,164600,-0.6700000000000017,-3.219999999999999
45404,33.0,32.5,33.01,32.32,234335,0.29999999999999716,-2.780000000000001
45405,33.12,33.0,33.27,32.77,201846,0.17999999999999972,-2.8300000000000054
45406,33.1,33.12,33.36,33.02,312458,0.4100000000000037,-2.8900000000000006
45407,35.39,32.7,35.74,32.25,804108,2.210000000000001,-0.36999999999999744
45408,35.85,35.57,36.12,34.92,553435,2.8500000000000014,-0.04999999999999716
45411,36.33,36.02,36.69,35.99,332779,3.4499999999999957,0.5499999999999972
45412,35.79,36.3,36.38,35.63,241236,3.1300000000000026,0.3100000000000023
45414,35.68,35.74,36.01,35.54,242095,3.3399999999999963,0.36999999999999744
45415,36.12,35.63,36.17,35.58,204974,3.8499999999999943,0.6499999999999986
45418,35.97,36.13,36.24,35.72,133183,3.5700000000000003,0.6999999999999957
45419,36.11,36.02,36.31,35.71,224888,3.1099999999999994,1.6400000000000006
45420,36.4,36.13,37.1,36.13,291016,3.280000000000001,1.6000000000000014
45422,37.68,36.67,37.77,36.62,273543,4.579999999999998,3.509999999999998
45425,37.09,37.72,37.77,36.73,289573,1.7000000000000028,2.6600000000000037
45426,37.49,37.13,37.63,37.1,230107,1.6400000000000006,3.010000000000005
45427,37.62,37.53,37.97,37.52,140038,1.2899999999999991,3.049999999999997
45428,37.71,37.7,37.9,37.62,124120,1.9200000000000017,4.130000000000003
45429,37.69,37.64,37.95,37.47,193119,2.009999999999998,4.599999999999994
45432,37.75,37.7,38.2,37.58,106087,1.6300000000000026,4.770000000000003
45433,37.3,37.68,37.75,37.17,226804,1.3299999999999983,4.229999999999997
45434,37.55,37.3,37.65,37.12,119070,1.4399999999999977,4.849999999999994
45435,37.6,37.66,37.7,37.28,91357,1.2000000000000028,4.660000000000004
45436,37.34,37.46,37.62,37.1,132385,-0.3399999999999963,4.650000000000006
45439,37.58,37.34,37.72,37.18,115774,0.4899999999999949,4.399999999999999
45440,37.01,37.68,37.8,36.81,206846,-0.480000000000004,4.009999999999998
45441,36.51,37.01,37.01,36.15,177153,-1.1099999999999994,3.6299999999999955
45442,36.97,36.51,37.05,36.47,102477,-0.740000000000002,4.310000000000002
45443,37.48,36.97,37.8,36.9,896225,-0.21000000000000085,5.1399999999999935
45446,38.43,37.56,38.43,37.46,287080,0.6799999999999997,6.159999999999997
45447,38.97,38.43,39.09,38.43,291498,1.6700000000000017,6.57
45448,39.07,38.98,39.17,38.77,156976,1.5200000000000031,6.07
45449,38.84,39.12,39.2,38.45,130586,1.240000000000002,5.720000000000006
45450,38.94,38.83,39.1,38.69,136144,1.5999999999999943,5.839999999999996
45453,38.34,38.73,38.78,37.93,189383,0.7600000000000051,2.950000000000003
45454,37.28,38.34,38.45,37.07,269745,0.2700000000000031,1.4299999999999997
45455,37.43,37.47,37.67,37.11,144459,0.9200000000000017,1.1000000000000014
45456,37.09,37.43,37.45,37.0,149291,0.12000000000000455,1.3000000000000043
45457,37.58,37.1,37.71,37.09,153241,0.10000000000000142,1.8999999999999986
45460,37.86,37.5,38.08,37.19,222003,-0.5700000000000003,1.740000000000002
45461,38.71,37.86,38.71,37.85,342984,-0.259999999999998,2.740000000000002
45462,38.29,38.69,38.81,38.08,175252,-0.7800000000000011,2.1799999999999997
45463,39.61,38.24,39.97,38.1,673154,0.769999999999996,3.210000000000001
45467,40.01,38.5,40.2,38.5,251697,1.0700000000000003,2.3299999999999983
45468,39.87,40.0,40.06,39.48,117815,1.529999999999994,2.779999999999994
45469,39.61,39.9,40.07,39.47,102675,2.3299999999999983,2.1199999999999974
45470,39.54,39.4,39.67,39.07,110476,2.1099999999999994,1.9200000000000017
45471,39.86,39.62,39.91,39.42,164140,2.769999999999996,2.1499999999999986
45474,41.44,40.0,43.22,39.89,967712,3.8599999999999994,3.75
