Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,172.91,169.52,172.99,169.19,5743112,,
45294,172.95,175.0,175.2,172.6966,5588224,,
45295,171.47,171.61,173.53,170.58,6283225,,
45296,168.94,171.57,171.57,167.56,5252478,,
45299,169.11,168.94,169.73,167.79,5735563,,
45300,167.17,167.79,167.89,165.93,6268763,,
45301,166.92,166.59,167.96,166.2,4394876,,
45302,166.13,167.14,167.14,164.82,4800727,,
45303,167.27,166.34,167.38,165.57,3546260,,
45307,166.17,167.27,167.52,165.19,4576842,,
45308,166.44,165.99,166.727,165.435,4392400,-6.469999999999999,
45309,167.17,165.47,167.28,164.99,4709362,-5.780000000000001,
45310,165.78,167.14,167.24,165.57,6528578,-5.689999999999998,
45313,165.11,165.96,166.705,165.02,5697428,-3.829999999999984,
45314,167.64,164.56,167.93,164.36,4932727,-1.4700000000000273,
45315,165.6,167.64,167.74,165.515,4984700,-1.5699999999999932,
45316,166.56,165.81,166.6,164.935,5373787,-0.3599999999999852,
45317,167.86,166.6,168.03,166.6,4848987,1.7300000000000182,
45320,168.15,167.53,168.7,167.3926,5713559,0.8799999999999955,
45321,169.62,167.67,169.7,167.32,4804243,3.450000000000017,
45322,168.53,169.96,170.3838,167.88,5769214,2.0900000000000034,
45323,171.7,168.53,171.8,167.17,4920789,4.530000000000001,
45324,170.97,171.235,171.96,170.1,5307883,5.189999999999998,
45327,170.92,170.55,171.58,169.045,5142706,5.809999999999974,
45328,171.42,171.45,171.8252,169.94,5182879,3.780000000000001,
45329,171.47,172.63,172.9,171.38,5769679,5.8700000000000045,
45330,173.85,171.72,174.1,171.41,9269699,7.289999999999992,
45331,167.67,171.2,171.39,166.97,12731739,-0.19000000000002615,
45334,170.61,167.86,171.0694,167.2,7867544,2.460000000000008,
45335,168.88,171.22,171.45,167.24,7302014,-0.7400000000000091,
45336,167.52,168.34,168.64,166.06,5731904,-1.009999999999991,-5.389999999999986
45337,167.86,167.95,168.365,166.68,4451374,-3.839999999999975,-5.089999999999975
45338,166.32,167.21,167.41,165.68,5245994,-4.650000000000006,-5.150000000000006
45342,168.65,167.74,169.52,167.185,6117866,-2.269999999999982,-0.28999999999999204
45343,168.83,169.95,170.18,167.855,4195366,-2.589999999999975,-0.28000000000000114
45344,168.25,167.64,168.8298,166.1,7539232,-3.219999999999999,1.0800000000000125
45345,169.6,167.94,170.25,167.8,6409765,-4.25,2.680000000000007
45348,168.26,169.42,169.42,167.71,3836980,0.5900000000000034,2.1299999999999955
45349,168.16,167.82,168.22,167.35,3567644,-2.450000000000017,0.8899999999999864
45350,167.03,168.12,168.5,166.45,5275282,-1.8499999999999943,0.8600000000000136
45351,165.34,166.21,166.68,164.91,8489449,-2.180000000000007,-1.0999999999999943
45352,164.59,164.86,165.0,163.25,6109856,-3.2700000000000102,-2.579999999999984
45355,165.37,164.45,165.65,163.6,4303882,-0.9499999999999886,-0.4099999999999966
45356,162.04,165.22,165.5,161.81,6631346,-6.610000000000014,-3.0700000000000216
45357,163.0,162.06,163.99,162.04,5302463,-5.8300000000000125,-4.639999999999986
45358,163.11,163.82,163.9,162.5,5801610,-5.139999999999986,-2.4899999999999807
45359,163.05,162.32,164.2,162.09,6065294,-6.549999999999983,-3.509999999999991
45362,164.73,163.92,165.42,163.31,5404790,-3.530000000000001,-3.130000000000024
45363,164.54,165.14,165.42,163.96,6158507,-3.6200000000000045,-3.6100000000000136
45364,165.3,165.1,166.14,164.74,4585789,-1.7299999999999898,-4.319999999999993
45365,164.78,166.26,166.26,164.2,5155326,-0.5600000000000023,-3.75
45366,164.66,165.06,165.38,163.64,21887267,0.06999999999999318,-7.039999999999992
45369,171.26,167.05,172.18,166.95,10478533,5.889999999999986,0.28999999999999204
45370,171.8,171.1,172.65,171.0,7653926,9.76000000000002,0.8800000000000239
45371,171.86,172.3,173.1,171.12,5046920,8.860000000000014,0.44000000000002615
45372,172.45,171.92,173.42,171.05,4343007,9.339999999999975,0.9799999999999898
45373,172.02,173.02,173.1,171.76,4106531,8.969999999999999,-1.829999999999984
45376,172.6,172.2,173.09,172.108,3941985,7.8700000000000045,4.930000000000007
45377,172.73,172.17,172.97,171.815,4593166,8.189999999999998,2.119999999999976
45378,173.57,173.998,174.69,173.05,4911274,8.269999999999982,4.689999999999998
45379,175.01,174.76,175.81,174.37,5710539,10.22999999999999,7.489999999999981
45383,172.98,175.57,176.23,172.65,4815366,8.319999999999993,5.119999999999976
45384,171.44,172.94,173.87,171.36,5158492,0.18000000000000682,5.1200000000000045
45385,169.68,170.0,170.92,168.7,5828024,-2.1200000000000045,1.0300000000000011
45386,169.65,170.92,171.78,169.33,5422567,-2.210000000000008,0.8199999999999932
45387,169.14,169.4,169.97,168.065,4412390,-3.3100000000000023,0.8899999999999864
45390,169.58,169.15,170.05,168.74,3755725,-2.4399999999999977,-0.01999999999998181
45391,170.61,170.225,170.72,168.73,3774304,-1.9899999999999807,2.3500000000000227
45392,168.95,169.57,169.63,167.77,4581676,-3.780000000000001,0.789999999999992
45393,168.36,169.62,169.87,167.77,4241563,-5.2099999999999795,1.3300000000000125
45394,168.1,167.69,168.51,167.32,5453736,-6.909999999999997,2.759999999999991
45397,166.95,169.21,169.35,166.03,5133181,-6.030000000000001,2.359999999999985
45398,167.5,167.03,168.51,166.89,4569689,-3.9399999999999977,2.1299999999999955
45399,169.48,169.09,169.7,168.21,4069200,-0.20000000000001705,7.439999999999998
45400,172.27,170.1,172.68,170.1,5574662,2.6200000000000045,9.27000000000001
45401,174.13,172.28,174.27,171.8,6636697,4.990000000000009,11.019999999999982
45404,176.46,174.41,177.2,174.03,7288701,6.8799999999999955,13.409999999999997
45405,171.22,174.7,174.88,170.14,9145041,0.6099999999999852,6.490000000000009
45406,177.41,168.5,178.09,167.65,10016685,8.460000000000008,12.870000000000005
45407,176.68,178.28,180.63,175.82,7441497,8.319999999999993,11.379999999999995
45408,175.58,174.44,178.57,174.34,4472102,7.480000000000018,10.800000000000011
