Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,21.44,21.6,21.94,21.44,295109,,
45294,20.96,21.44,21.56,20.9,295965,,
45295,21.36,21.0,21.36,21.0,211682,,
45296,21.38,21.14,21.4,21.08,235768,,
45299,21.5,21.36,21.5,21.04,185300,,
45300,21.24,21.56,21.58,21.16,282963,,
45301,21.26,21.26,21.3,21.16,177053,,
45302,21.14,21.32,21.42,21.14,137296,,
45303,21.56,21.2,21.62,21.2,277247,,
45306,22.04,22.24,22.34,21.94,245783,,
45307,21.86,21.88,22.04,21.78,232113,0.41999999999999815,
45308,21.2,21.18,21.56,21.14,185911,0.23999999999999844,
45309,21.74,21.22,21.78,21.22,179913,0.379999999999999,
45310,21.22,21.66,21.82,21.22,262519,-0.16000000000000014,
45313,20.88,20.56,21.08,20.46,887742,-0.620000000000001,
45314,21.16,20.98,21.24,20.82,294784,-0.0799999999999983,
45315,21.4,21.26,21.46,21.12,216280,0.13999999999999702,
45316,21.38,21.38,21.38,21.16,227342,0.23999999999999844,
45317,21.68,21.34,21.74,21.34,255033,0.120000000000001,
45320,21.94,21.6,21.94,21.48,293595,-0.09999999999999787,
45321,21.66,22.04,22.14,21.66,221944,-0.1999999999999993,
45322,21.54,21.68,21.76,21.42,176966,0.33999999999999986,
45323,21.84,21.9,22.22,21.7,270612,0.10000000000000142,
45324,21.72,22.0,22.32,21.7,167917,0.5,
45327,21.58,21.72,21.78,21.56,234908,0.6999999999999993,
45328,21.86,21.64,21.88,21.54,165569,0.6999999999999993,
45329,21.82,21.82,21.88,21.6,171839,0.4200000000000017,
45330,21.86,21.76,21.92,21.7,132376,0.4800000000000004,
45331,21.54,21.86,21.88,21.48,129050,-0.14000000000000057,
45334,21.64,21.56,21.68,21.48,151154,-0.3000000000000007,
45335,21.22,21.6,21.62,21.18,196985,-0.4400000000000013,-0.22000000000000242
45336,21.16,21.22,21.26,21.02,212326,-0.379999999999999,0.1999999999999993
45337,22.1,21.74,22.26,21.18,543057,0.26000000000000156,0.740000000000002
45338,22.04,22.22,22.3,21.74,385432,0.3200000000000003,0.6600000000000001
45341,22.06,21.96,22.06,21.88,175209,0.4800000000000004,0.5599999999999987
45342,21.9,21.96,22.04,21.68,241506,0.03999999999999915,0.6600000000000001
45343,21.8,21.8,21.92,21.58,243272,-0.019999999999999574,0.5399999999999991
45344,22.12,21.92,22.16,21.92,221161,0.26000000000000156,0.9800000000000004
45345,22.04,22.14,22.24,22.0,196348,0.5,0.4800000000000004
45348,21.54,21.98,22.02,21.5,237183,-0.10000000000000142,-0.5
45349,21.78,21.6,21.78,21.46,220081,0.5600000000000023,-0.0799999999999983
45350,21.54,21.8,21.86,21.44,183359,0.379999999999999,0.33999999999999986
45351,21.56,21.6,21.7,21.5,179240,-0.5400000000000027,-0.17999999999999972
45352,21.78,21.56,21.82,21.52,158257,-0.259999999999998,0.5600000000000023
45355,21.72,21.78,21.8,21.6,125234,-0.33999999999999986,0.8399999999999999
45356,21.08,21.68,21.68,21.08,188502,-0.8200000000000003,-0.08000000000000185
45357,21.34,21.12,21.38,21.08,135244,-0.46000000000000085,-0.05999999999999872
45358,21.38,21.34,21.54,21.1,204209,-0.740000000000002,0.0
45359,21.3,21.4,21.46,21.28,116215,-0.7399999999999984,-0.379999999999999
45362,21.4,21.32,21.44,21.22,180120,-0.14000000000000057,-0.5400000000000027
45363,21.5,21.4,21.56,21.36,140816,-0.28000000000000114,-0.16000000000000014
45364,21.36,21.6,21.68,21.36,233794,-0.17999999999999972,-0.17999999999999972
45365,20.74,20.7,20.9,20.68,291147,-0.8200000000000003,-1.1000000000000014
45366,20.22,20.74,20.82,20.22,541238,-1.5600000000000023,-1.5
45369,19.77,20.22,20.28,19.77,285730,-1.9499999999999993,-1.8099999999999987
