Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,34.34,34.25,34.6,34.2,649289,,
45294,34.07,34.4,34.62,33.89,775021,,
45295,34.47,34.21,34.47,34.18,1174091,,
45296,34.77,34.34,34.9,34.25,572086,,
45299,35.13,34.77,35.22,34.72,473049,,
45300,34.79,35.13,35.28,34.41,667940,,
45301,34.52,34.82,34.83,34.42,796529,,
45302,34.57,34.73,34.9,34.45,777996,,
45303,35.01,34.75,35.01,34.6,749401,,
45306,34.8,35.01,35.36,34.8,539667,,
45307,34.73,34.8,34.8,34.36,553105,0.38999999999999346,
45308,34.2,34.5,34.56,34.01,961620,0.13000000000000256,
45309,34.21,34.24,34.41,34.04,676694,-0.259999999999998,
45310,33.41,34.25,34.55,33.33,815002,-1.3600000000000065,
45313,33.21,33.5,33.55,32.92,921735,-1.9200000000000017,
45314,33.41,33.28,33.59,32.93,1030903,-1.3800000000000026,
45315,33.76,33.63,33.95,33.55,660135,-0.7600000000000051,
45316,33.51,33.72,34.0,33.13,862992,-1.0600000000000023,
45317,33.85,33.47,33.99,33.23,788560,-1.1599999999999966,
45320,34.05,33.8,34.1,33.27,807422,-0.75,
45321,33.44,34.0,34.0,33.33,876910,-1.2899999999999991,
45322,33.67,33.52,33.68,33.12,1642667,-0.5300000000000011,
45323,30.01,30.5,31.94,29.83,5256494,-4.199999999999999,
45324,29.75,30.11,30.45,29.41,2068970,-3.6599999999999966,
45327,29.61,29.75,30.13,29.52,1105672,-3.6000000000000014,
45328,29.55,29.71,29.8,29.28,1020962,-3.859999999999996,
45329,29.45,29.6,29.77,29.31,959808,-4.309999999999999,
45330,28.7,29.28,29.41,28.69,2097360,-4.809999999999999,
45331,29.22,28.62,29.29,28.54,1534413,-4.630000000000003,
45334,29.27,29.25,29.66,29.12,1101560,-4.779999999999998,
45335,28.81,29.28,29.29,28.71,1148690,-4.629999999999999,-5.530000000000005
45336,28.36,28.75,28.79,28.36,1010547,-5.310000000000002,-5.710000000000001
45337,28.64,28.36,28.72,28.33,905776,-1.370000000000001,-5.829999999999998
