Date,Close,Open,High,Low,Volume
45293,38.88,37.73,38.97,37.68,23810940
45294,39.16,39.53,39.72,39.13,26263885
45295,39.37,39.68,39.85,39.36,24214642
45296,40.2,39.47,40.37,39.295,30276670
45299,40.1,40.15,40.26,39.48,28483034
45300,39.04,39.25,39.25,38.77,17880132
45301,39.08,39.08,39.105,38.66,16354675
45302,37.9,39.03,39.035,37.56,31289774
45303,38.56,38.19,38.77,38.17,18774830
45307,39.29,38.58,39.35,38.35,31039445
45308,38.87,38.72,39.43,38.67,21377140
45309,38.94,38.53,39.01,38.455,17112788
45310,39.33,39.07,39.43,38.69,20561724
45313,39.58,39.4,39.72,39.31,26039194
45314,42.23,41.07,42.2459,40.59,49713734
45315,41.28,42.23,42.34,41.19,27910404
45316,42.29,41.45,42.3,41.33,24613156
45317,42.4,42.29,42.49,42.1,20367179
45320,42.05,42.12,42.39,41.66,23905653
45321,42.47,42.0,42.6,41.81,20044557
45322,42.35,42.19,43.21,42.04,23392266
45323,42.49,42.68,42.72,41.97,19586542
45324,42.13,42.2,42.465,41.825,21548643
45327,41.38,42.0,42.18,41.275,20466155
45328,41.1,41.39,41.57,40.95,17524062
45329,40.42,41.1,41.14,40.36,21815622
45330,39.91,40.3,40.37,39.44,19523527
45331,39.72,39.9,40.09,39.262,18479407
45334,40.1,39.73,40.17,39.535,15060525
45335,40.13,40.2,40.455,39.68,14483637
45336,40.15,40.38,40.54,39.97,12443213
45337,40.59,40.21,40.62,40.18,12081362
45338,40.49,40.29,40.67,39.74,12645534
45342,40.5,40.41,40.91,40.27,12069523
45343,41.1,40.49,41.12,40.37,16279653
45344,40.73,40.75,40.93,40.11,22068913
45345,40.66,40.63,41.145,40.455,15228553
45348,39.69,40.6,40.63,39.43,25108422
45349,39.93,39.68,39.98,39.43,17074092
45350,40.1,39.96,40.21,39.86,12436956
45351,40.02,40.1,40.225,39.85,20486465
45352,40.2,39.99,40.29,39.77,12130864
45355,40.31,39.92,40.33,39.51,18753947
45356,40.35,40.35,40.96,39.92,20640051
45357,39.93,40.35,40.365,39.77,16331050
45358,39.53,40.1,40.285,39.38,17100634
45359,39.51,39.61,39.88,39.39,17807879
45362,40.13,39.57,40.23,39.56,12344614
45363,40.13,40.03,40.26,39.9,12452659
45364,40.26,40.29,40.5,40.06,13751846
45365,39.77,40.0,40.06,39.44,17475441
