Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,12.97,13.125,13.265,12.94,1099260,,
45294,12.61,12.885,12.965,12.545,864992,,
45295,12.965,12.595,12.965,12.555,1448499,,
45296,13.03,12.86,13.035,12.805,798562,,
45299,13.205,12.95,13.22,12.87,858881,,
45300,13.26,13.22,13.445,13.215,890220,,
45301,13.53,13.26,13.53,13.255,1103569,,
45302,13.41,13.64,13.72,13.385,733320,,
45303,13.6,13.45,13.61,13.405,776174,,
45306,13.55,13.585,13.585,13.43,436115,,
45307,13.345,13.2,13.37,13.115,783526,0.375,
45308,13.205,13.225,13.235,13.0,807459,0.5950000000000006,
45309,13.27,13.225,13.285,13.045,688595,0.3049999999999997,
45310,12.95,13.27,13.31,12.95,1137397,-0.08000000000000007,
45313,13.265,13.05,13.315,13.04,514541,0.0600000000000005,
45314,13.22,13.34,13.355,13.22,534382,-0.03999999999999915,
45315,13.38,13.35,13.455,13.335,775806,-0.14999999999999858,
45316,13.355,13.385,13.48,13.24,769010,-0.054999999999999716,
45317,13.17,13.355,13.355,13.155,1077412,-0.4299999999999997,
45320,13.14,13.15,13.205,12.995,998490,-0.41000000000000014,
45321,13.12,13.15,13.28,13.065,1867078,-0.22500000000000142,
45322,13.7,13.645,14.065,13.395,3339021,0.4949999999999992,
45323,13.7,13.535,13.845,13.4,1287294,0.4299999999999997,
45324,13.76,13.825,13.965,13.68,812878,0.8100000000000005,
45327,13.725,13.83,13.905,13.675,894517,0.4599999999999991,
45328,13.89,13.875,13.955,13.71,874580,0.6699999999999999,
45329,14.03,13.89,14.08,13.79,931656,0.6499999999999986,
45330,14.01,14.04,14.16,13.9,925758,0.6549999999999994,
45331,13.915,13.99,14.025,13.89,823156,0.7449999999999992,
45334,13.735,13.92,13.945,13.715,449820,0.5949999999999989,
45335,13.585,13.73,13.73,13.325,994215,0.46500000000000163,0.6150000000000002
45336,13.95,13.785,14.03,13.695,901147,0.25,1.3399999999999999
45337,14.145,14.035,14.28,14.025,679633,0.4450000000000003,1.1799999999999997
45338,14.645,14.25,14.645,14.16,1323441,0.8849999999999998,1.6150000000000002
45341,14.56,14.555,14.645,14.505,415050,0.8350000000000009,1.3550000000000004
45342,14.595,14.53,14.61,14.44,534989,0.7050000000000001,1.3350000000000009
45343,14.72,14.59,14.72,14.51,658369,0.6900000000000013,1.1900000000000013
45344,14.665,14.895,15.04,14.635,818048,0.6549999999999994,1.254999999999999
45345,14.5,14.695,14.755,14.335,635629,0.5850000000000009,0.9000000000000004
45348,14.4,14.49,14.54,14.3,547943,0.6650000000000009,0.8499999999999996
45349,14.245,14.43,14.45,14.08,632599,0.6599999999999984,0.8999999999999986
45350,14.205,14.205,14.245,14.08,502500,0.2550000000000008,1.0
45351,14.295,14.23,14.34,14.13,1745561,0.15000000000000036,1.0250000000000004
45352,14.48,14.295,14.555,14.225,638444,-0.16499999999999915,1.5300000000000011
45355,14.315,14.48,14.52,14.12,968897,-0.245000000000001,1.049999999999999
45356,14.075,14.205,14.205,13.93,931778,-0.5200000000000014,0.8549999999999986
45357,14.08,14.055,14.205,14.015,542709,-0.6400000000000006,0.6999999999999993
45358,14.24,14.04,14.3,13.915,607499,-0.42499999999999893,0.8849999999999998
45359,14.255,14.1,14.31,14.08,381511,-0.24499999999999922,1.0850000000000009
45362,14.305,14.175,14.33,14.06,508197,-0.09500000000000064,1.1649999999999991
45363,14.48,14.35,14.48,13.84,1378509,0.2350000000000012,1.3600000000000012
45364,14.32,14.48,14.635,14.3,643594,0.11500000000000021,0.620000000000001
45365,14.01,14.34,14.42,14.0,937393,-0.28500000000000014,0.3100000000000005
45366,14.07,14.01,14.085,13.97,2021222,-0.41000000000000014,0.3100000000000005
45369,14.165,14.1,14.445,14.075,743033,-0.15000000000000036,0.4399999999999995
