Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,172.08,169.09,172.17,168.91,9977424,,
45294,171.33,171.86,172.04,170.37,9852335,,
45295,171.41,170.64,173.35,170.54,11972545,,
45296,172.27,171.47,173.38,171.47,10066029,,
45299,172.02,172.02,172.36,169.485,11229916,,
45300,170.66,171.62,171.79,170.095,9923630,,
45301,171.02,170.0,171.08,168.95,9670218,,
45302,170.3,170.33,170.36,168.6401,11919498,,
45303,169.05,173.8,176.31,168.9,19436504,,
45307,167.99,164.87,168.09,164.3,17206420,,
45308,167.09,167.34,169.07,166.49,11107466,-4.990000000000009,
45309,167.42,167.12,167.53,165.24,9382255,-3.910000000000025,
45310,170.31,167.55,170.57,167.08,13115664,-1.0999999999999943,
45313,170.11,170.46,171.9803,169.71,12837505,-2.1599999999999966,
45314,168.99,169.67,169.75,168.44,8360829,-3.030000000000001,
45315,170.5,169.36,171.01,168.8627,9967060,-0.1599999999999966,
45316,172.94,172.31,172.99,170.905,8873481,1.9199999999999875,
45317,172.28,172.61,173.06,171.78,7442955,1.9799999999999898,
45320,172.73,172.24,172.84,171.3,6971192,3.6799999999999784,
45321,176.27,172.83,176.7603,172.83,10822075,8.280000000000001,
45322,174.36,176.2,178.3,174.34,11521820,7.27000000000001,
45323,173.73,173.64,174.84,171.43,9354798,6.310000000000002,
45324,174.73,173.3,175.8162,173.26,8607839,4.4199999999999875,
45327,174.5,173.86,175.09,172.92,7820160,4.389999999999986,
45328,175.1,174.61,175.87,173.76,6765684,6.109999999999985,
45329,175.43,175.69,175.87,173.96,7225478,4.930000000000007,
45330,174.8,175.0,175.3058,173.57,6060285,1.8600000000000136,
45331,175.01,175.0,175.1,173.6731,6296729,2.7299999999999898,
45334,175.79,174.78,176.808,173.7,8539316,3.0600000000000023,
45335,174.26,175.32,176.2299,172.615,8397631,-2.0100000000000193,
45336,176.03,175.07,176.1,174.42,7056664,1.6699999999999875,3.9499999999999886
45337,179.87,176.15,180.21,176.15,8723390,6.140000000000015,8.539999999999992
45338,179.03,179.61,179.98,178.16,8152647,4.300000000000011,7.6200000000000045
45342,179.73,179.19,180.46,178.405,9667959,5.22999999999999,7.4599999999999795
45343,180.9,179.95,180.99,178.52,7027857,5.800000000000011,8.879999999999995
45344,183.07,181.82,183.42,181.24,9296459,7.639999999999986,12.409999999999997
45345,183.99,183.81,185.2,183.19,7105833,9.189999999999998,12.969999999999999
45348,183.36,183.75,184.46,182.48,7145391,8.350000000000023,13.060000000000002
45349,183.45,183.31,183.54,182.24,5717065,7.659999999999997,14.399999999999977
45350,184.38,183.43,185.2,182.96,6131608,10.120000000000005,16.389999999999986
45351,186.06,185.66,186.43,183.85,9643012,10.030000000000001,18.97
45352,185.29,185.7,186.44,185.1,6311996,5.4199999999999875,17.870000000000005
45355,186.68,184.71,187.59,184.27,7063605,7.650000000000006,16.370000000000005
45356,188.55,186.36,189.3,186.36,6617832,8.820000000000022,18.439999999999998
45357,189.53,189.25,190.07,187.63,7572891,8.629999999999995,20.539999999999992
45358,187.87,189.91,190.5,186.63,7618277,4.800000000000011,17.370000000000005
45359,188.22,188.44,190.455,187.92,6172199,4.22999999999999,15.280000000000001
45362,188.29,187.28,188.44,186.22,5762569,4.929999999999978,16.00999999999999
45363,189.84,188.95,190.16,187.91,5708384,6.390000000000015,17.110000000000014
45364,191.38,190.36,191.73,189.84,7795535,7.0,15.109999999999985
45365,187.97,191.03,191.63,187.103,10310948,1.9099999999999966,13.609999999999985
45366,190.3,186.48,190.94,186.48,17214229,5.010000000000019,16.57000000000002
45369,192.66,190.63,192.7,189.89,9013843,5.97999999999999,17.930000000000007
45370,193.79,192.71,193.93,192.38,8478717,5.239999999999981,19.289999999999992
45371,196.33,194.19,196.56,193.61,9367043,6.800000000000011,21.230000000000018
45372,199.06,196.52,199.43,196.33,11203796,11.189999999999998,23.629999999999995
45373,196.62,199.01,200.48,196.54,8108840,8.400000000000006,21.819999999999993
45376,194.82,196.6,196.94,194.36,8620015,6.530000000000001,19.810000000000002
45377,195.73,194.59,196.66,194.0554,5961484,5.889999999999986,19.939999999999998
45378,199.52,196.5,199.6,196.38,8725757,8.140000000000015,25.26000000000002
45379,200.3,199.49,200.72,198.54,8628313,12.330000000000013,24.27000000000001
45383,198.94,199.99,200.94,198.565,7309009,8.639999999999986,19.069999999999993
45384,198.86,198.39,199.78,198.08,7014683,6.200000000000017,19.830000000000013
45385,198.3,199.04,199.56,197.7,9353426,4.510000000000019,18.57000000000002
45386,195.65,199.15,199.68,195.55,9243793,-0.6800000000000068,14.75
45387,197.45,196.16,198.1224,195.11,6532278,-1.6100000000000136,14.379999999999995
45390,198.48,197.62,198.98,197.62,8000963,1.8599999999999852,14.48999999999998
45391,197.15,198.07,198.88,194.91,7358631,2.3300000000000125,13.789999999999992
45392,195.47,195.55,197.07,194.18,7681377,-0.2599999999999909,12.02000000000001
45393,195.43,196.0,196.57,193.24,10137699,-4.090000000000003,11.050000000000011
45394,182.79,188.32,188.93,182.54,31532308,-17.51000000000002,-3.2700000000000102
45397,182.89,184.5,187.46,182.195,14766592,-16.05000000000001,-2.4000000000000057
45398,180.8,182.9,183.16,179.65,16451801,-18.060000000000002,-5.8799999999999955
45399,180.08,181.37,182.4199,179.2,9017093,-18.22,-8.469999999999999
45400,181.25,181.1,183.36,179.97,9557720,-14.400000000000006,-8.280000000000001
45401,185.8,182.4,185.88,181.41,13402313,-11.649999999999977,-2.069999999999993
45404,189.41,185.99,190.125,185.98,11529668,-9.069999999999993,1.1899999999999977
