Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,18.34,18.02,18.36,18.02,28696,,
45294,18.18,18.38,18.38,18.06,20765,,
45295,18.42,18.18,18.46,18.18,17796,,
45296,18.44,18.5,18.5,18.12,14776,,
45299,18.56,18.44,18.58,18.28,14242,,
45300,18.7,18.56,18.8,18.56,9306,,
45301,18.66,18.74,18.74,18.42,24361,,
45302,18.64,18.66,18.74,18.56,9924,,
45303,18.7,18.64,18.88,18.56,12177,,
45306,18.3,18.64,18.64,18.26,18108,,
45307,17.72,18.3,18.3,17.68,35657,-0.620000000000001,
45308,17.34,17.72,17.74,17.28,18370,-0.8399999999999999,
45309,17.3,17.44,17.46,17.24,10604,-1.120000000000001,
45310,17.22,17.3,17.4,17.22,7953,-1.2200000000000024,
45313,17.32,17.26,17.4,17.18,21113,-1.2399999999999984,
45314,17.54,17.42,17.56,17.38,20412,-1.1600000000000001,
45315,17.54,17.58,17.66,17.46,11501,-1.120000000000001,
45316,17.56,17.58,17.64,17.5,13159,-1.0800000000000018,
45317,17.64,17.56,17.82,17.56,16287,-1.0599999999999987,
45320,17.86,17.64,17.86,17.58,19313,-0.4400000000000013,
45321,18.84,18.0,19.26,18.0,92957,1.120000000000001,
45322,18.14,18.7,18.7,18.04,35766,0.8000000000000007,
45323,18.08,18.3,18.44,18.08,10059,0.7799999999999976,
45324,17.94,18.28,18.28,17.94,20361,0.7200000000000024,
45327,17.82,17.98,18.14,17.8,8346,0.5,
45328,17.8,17.88,18.04,17.8,260772,0.26000000000000156,
45329,18.02,18.2,18.2,17.84,33123,0.4800000000000004,
45330,18.08,18.1,18.2,17.96,27187,0.5199999999999996,
45331,17.68,18.08,18.1,17.68,34237,0.03999999999999915,
45334,17.72,17.7,17.9,17.68,13390,-0.14000000000000057,
45335,17.36,17.74,17.76,17.32,25431,-1.4800000000000004,-0.9800000000000004
45336,17.4,17.36,17.6,17.36,14395,-0.740000000000002,-0.7800000000000011
45337,17.9,17.46,17.9,17.46,15517,-0.17999999999999972,-0.5200000000000031
45338,18.22,17.94,18.26,17.94,47642,0.2799999999999976,-0.22000000000000242
45341,18.12,18.22,18.26,18.12,8652,0.3000000000000007,-0.4399999999999977
45342,18.24,18.12,18.24,18.02,13329,0.4399999999999977,-0.46000000000000085
45343,18.02,18.2,18.24,17.96,13516,0.0,-0.6400000000000006
45344,18.0,18.1,18.18,17.84,22994,-0.0799999999999983,-0.6400000000000006
45345,17.98,18.0,18.06,17.84,12609,0.3000000000000007,-0.7199999999999989
