Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,39.92,40.78,41.07,39.65,145663,,
45294,39.23,39.89,39.89,38.99,169528,,
45295,39.6,39.22,39.77,39.21,110918,,
45296,38.74,39.2,39.28,38.09,147082,,
45299,38.77,38.45,39.05,38.28,98749,,
45300,39.08,38.77,39.27,38.62,128079,,
45301,39.41,38.55,39.41,38.24,255369,,
45302,38.41,39.46,39.79,38.3,146746,,
45303,39.23,38.75,39.36,38.75,112722,,
45306,39.17,39.23,39.55,39.0,79339,,
45307,38.85,39.0,39.03,38.56,56208,-1.0700000000000003,
45308,38.57,38.66,38.66,38.24,82750,-0.6599999999999966,
45309,38.9,38.58,38.96,38.41,108279,-0.7000000000000028,
45310,38.86,39.0,39.48,38.81,80587,0.11999999999999744,
45313,39.51,39.2,39.65,39.2,101844,0.7399999999999949,
45314,39.21,39.55,39.94,38.83,182129,0.13000000000000256,
45315,39.51,39.6,39.69,39.02,132049,0.10000000000000142,
45316,40.07,39.39,40.09,39.23,123722,1.6600000000000037,
45317,40.15,40.1,40.33,39.78,112065,0.9200000000000017,
45320,40.02,40.0,40.21,39.74,69658,0.8500000000000014,
45321,40.13,40.12,40.27,39.82,152312,1.2800000000000011,
45322,39.84,40.13,40.51,39.84,227786,1.2700000000000031,
45323,40.75,39.13,41.11,39.13,257074,1.8500000000000014,
45324,43.66,42.0,43.92,41.84,556739,4.799999999999997,
45327,44.13,43.5,44.25,42.83,475988,4.6200000000000045,
45328,45.22,44.49,45.24,43.96,289072,6.009999999999998,
45329,45.46,45.2,45.61,44.92,252935,5.950000000000003,
45330,45.97,45.5,46.36,45.46,239647,5.899999999999999,
45331,45.8,46.07,46.63,45.73,252789,5.649999999999999,
45334,45.1,45.8,46.25,45.1,231119,5.079999999999998,
45335,45.38,45.0,45.7,44.6,159106,5.25,5.460000000000001
45336,46.6,45.43,46.61,45.32,188965,6.759999999999998,7.3700000000000045
45337,47.22,46.96,47.4,46.78,237167,6.469999999999999,7.619999999999997
45338,48.07,47.45,48.54,47.45,230595,4.410000000000004,9.329999999999998
45341,48.01,47.82,48.15,47.29,106457,3.8799999999999955,9.239999999999995
45342,47.49,47.76,48.05,47.46,119403,2.270000000000003,8.410000000000004
45343,48.3,47.61,48.3,47.61,214764,2.8399999999999963,8.89
45344,48.45,48.5,48.67,47.92,130141,2.480000000000004,10.040000000000006
45345,48.45,48.46,48.71,48.16,97911,2.6500000000000057,9.220000000000006
45348,48.54,48.3,48.55,47.99,138007,3.4399999999999977,9.369999999999997
45349,47.66,48.5,48.6,47.29,134259,2.279999999999994,8.809999999999995
45350,47.84,47.7,48.1,47.5,151452,1.240000000000002,9.270000000000003
45351,47.6,47.84,47.93,47.03,222964,0.38000000000000256,8.700000000000003
45352,48.25,47.6,48.36,47.36,101649,0.17999999999999972,9.39
45355,47.8,48.09,48.32,47.41,222724,-0.21000000000000085,8.29
45356,47.9,47.65,48.26,47.41,116585,0.4099999999999966,8.689999999999998
45357,47.99,47.9,48.13,47.52,186000,-0.30999999999999517,8.480000000000004
45358,49.53,47.9,49.55,47.59,261921,1.0799999999999983,9.46
45359,49.69,49.5,49.74,49.16,90202,1.2399999999999949,9.54
45362,49.21,49.45,49.5,49.0,129420,0.6700000000000017,9.189999999999998
45363,49.79,49.21,49.79,48.38,129677,2.1300000000000026,9.659999999999997
45364,49.2,49.79,49.9,48.91,138870,1.3599999999999994,9.36
45365,49.41,49.0,49.81,48.92,231351,1.8099999999999952,8.659999999999997
45366,49.71,49.3,49.9,49.15,196838,1.4600000000000009,6.050000000000004
45369,49.55,49.7,49.86,49.3,62645,1.75,5.419999999999995
