Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,4.214,4.0985,4.2425,4.0985,3447452,,
45294,4.119,4.22,4.231,4.095,2602948,,
45295,4.102,4.124,4.16,4.0865,2252500,,
45296,4.0945,4.11,4.1115,4.067,2284581,,
45299,4.122,4.1,4.138,4.07,1483028,,
45300,4.1575,4.1415,4.1745,4.1395,1484912,,
45301,4.2,4.1575,4.25,4.1355,1378278,,
45302,4.1165,4.228,4.243,4.115,1867229,,
45303,4.15,4.13,4.1625,4.1275,861960,,
45306,4.153,4.1545,4.173,4.1355,743339,,
45307,4.1285,4.155,4.161,4.1145,1122389,-0.08550000000000058,
45308,4.1185,4.1285,4.132,4.062,1437863,-0.0004999999999997229,
45309,4.107,4.123,4.1245,4.075,926858,0.004999999999999893,
45310,4.09,4.1115,4.15,4.084,759626,-0.0045000000000001705,
45313,4.1995,4.1,4.238,4.1,1592069,0.07749999999999968,
45314,4.119,4.2005,4.2385,4.1115,1318248,-0.03849999999999998,
45315,4.2165,4.1425,4.2235,4.1285,1345189,0.016499999999999737,
45316,4.2645,4.265,4.3445,4.26,1524805,0.1479999999999997,
45317,4.249,4.2645,4.286,4.234,868701,0.09899999999999931,
45320,4.24,4.251,4.268,4.208,1011364,0.08700000000000063,
45321,4.209,4.24,4.287,4.2005,1293493,0.0804999999999998,
45322,4.204,4.209,4.27,4.204,2796824,0.08549999999999969,
45323,4.119,4.177,4.181,4.0235,3308227,0.011999999999999567,
45324,4.1205,4.137,4.1555,4.093,1290426,0.03049999999999997,
45327,4.04,4.1205,4.13,4.036,2010137,-0.15949999999999953,
45328,4.087,4.04,4.0935,3.9915,1546751,-0.03200000000000003,
45329,4.055,4.092,4.1065,4.0435,1421656,-0.1615000000000002,
45330,4.085,4.055,4.0965,4.051,925959,-0.1795,
45331,4.1255,4.09,4.143,4.09,1597038,-0.12349999999999994,
45334,4.1245,4.1305,4.15,4.103,1485671,-0.11549999999999994,
45335,3.8415,4.1305,4.146,3.8285,8307961,-0.3674999999999997,-0.3725000000000005
45336,4.002,3.928,4.0185,3.92,3951361,-0.20199999999999996,-0.11699999999999999
45337,4.024,4.0045,4.0485,3.9585,35138363,-0.09499999999999975,-0.07800000000000029
45338,4.107,4.04,4.1265,4.04,1668495,-0.013499999999999623,0.012500000000000178
45341,4.009,4.0185,4.079,4.009,2430248,-0.030999999999999694,-0.11299999999999955
