Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,346.29,351.32,353.16,340.01,19042152,,
45294,344.47,344.98,347.95,343.175,15451133,,
45295,347.12,344.5,348.1499,343.3987,12099895,,
45296,351.95,346.99,353.5,346.2601,13750912,,
45299,358.66,354.7,358.98,352.05,13890222,,
45300,357.43,356.4,360.64,355.36,13463871,,
45301,370.47,360.17,372.94,359.08,22117206,,
45302,369.67,372.13,372.78,362.93,17205385,,
45303,374.49,370.155,377.06,369.54,19310046,,
45307,367.46,373.65,375.61,367.23,15306885,,
45308,368.37,366.3,368.54,358.61,12724779,22.079999999999984,
45309,376.13,371.49,376.85,370.95,16354332,31.659999999999968,
45310,383.45,379.0,384.36,377.97,21670806,36.329999999999984,
45313,381.78,387.95,390.3525,381.1601,17680454,29.829999999999984,
45314,385.2,384.615,388.38,382.075,15506096,26.539999999999964,
45315,390.7,390.0,396.15,387.81,15604285,33.26999999999998,
45316,393.18,390.17,395.49,385.66,15091080,22.70999999999998,
45317,394.14,394.35,396.79,391.5908,13159290,24.46999999999997,
45320,401.02,394.985,402.93,393.1,18742433,26.529999999999973,
45321,400.06,403.59,406.36,399.57,18614727,32.60000000000002,
45322,390.14,389.0,398.0,387.1,20180817,21.769999999999982,
45323,394.78,393.94,400.5,393.05,29727051,18.649999999999977,
45324,474.99,459.6,485.96,453.01,84707646,91.54000000000002,
45327,459.41,469.88,471.9,459.22,40832376,77.63000000000005,
45328,454.72,464.0,467.12,453.0,21655214,69.52000000000004,
45329,469.59,458.0,471.52,456.1773,23065994,78.88999999999999,
45330,470.0,468.32,470.59,465.03,18815097,76.82,
45331,468.11,472.95,473.59,467.465,18413137,73.97000000000003,
45334,468.9,468.19,479.145,466.58,19381963,67.88,
45335,460.12,456.87,467.89,455.09,20916602,60.06,
45336,473.28,467.93,474.11,466.0901,16858401,83.13999999999999,126.98999999999995
45337,484.03,475.28,488.62,472.22,24212326,89.25,139.55999999999995
45338,473.32,478.11,478.96,469.21,23324620,-1.670000000000016,126.19999999999999
45342,471.75,469.715,476.18,466.56,18015523,12.339999999999975,119.80000000000001
45343,468.03,466.5,469.0,461.79,12977050,13.309999999999945,109.36999999999995
45344,486.13,480.24,489.99,476.0618,21625805,16.54000000000002,128.7
45345,484.03,488.05,494.3599,482.3482,18374286,14.029999999999973,113.55999999999995
45348,481.74,483.47,486.14,480.6,12101415,13.629999999999995,112.07
45349,487.05,479.975,487.27,479.92,10809595,18.150000000000034,112.56
45350,484.02,485.0,491.05,482.75,12715486,23.899999999999977,116.56
45351,490.13,488.44,491.7,482.61,17732045,16.850000000000023,121.75999999999999
45352,502.3,492.11,504.25,491.85,15884882,18.27000000000004,126.17000000000002
45355,498.19,503.0,504.42,496.42,12324141,24.870000000000005,114.74000000000001
45356,490.22,495.0,495.58,487.89,15325299,18.470000000000027,108.44000000000005
45357,496.09,497.63,502.97,494.292,11757925,28.060000000000002,110.88999999999999
45358,512.19,503.28,519.85,501.38,18586437,26.06000000000006,121.49000000000007
45359,505.95,514.19,523.57,499.35,18597059,21.920000000000016,112.76999999999998
45362,483.59,497.01,497.318,476.0,20428274,1.849999999999966,89.44999999999999
45363,499.75,493.26,502.31,484.73,15448232,12.699999999999989,98.73000000000002
45364,495.57,495.39,500.98,491.0318,12090656,11.550000000000011,95.50999999999999
45365,491.83,500.255,501.35,488.16,12620014,1.6999999999999886,101.69
45366,484.1,489.01,491.83,481.3001,29153576,-18.19999999999999,89.32000000000005
45369,496.98,491.91,497.42,486.81,11755251,-1.2099999999999795,21.99000000000001
45370,496.24,488.17,496.6296,481.28,10903092,6.019999999999982,36.829999999999984
45371,505.52,499.5,508.1999,495.17,11711100,9.430000000000007,50.799999999999955
45372,507.76,514.71,515.04,506.01,9712549,-4.430000000000064,38.170000000000016
45373,509.58,507.0,509.97,504.34,8120593,3.6299999999999955,39.579999999999984
45376,503.02,505.79,507.22,500.2411,8380617,19.430000000000007,34.90999999999997
45377,495.89,505.13,510.0,495.2137,11205382,-3.8600000000000136,26.99000000000001
45378,493.86,499.3,499.89,488.07,9989676,-1.7099999999999795,33.74000000000001
45379,485.58,492.84,492.89,485.15,15212764,-6.25,12.300000000000011
45383,491.35,487.2,497.43,481.78,9247007,7.25,7.32000000000005
45384,497.37,485.1,497.53,484.65,11081026,0.38999999999998636,24.05000000000001
45385,506.74,498.93,507.24,498.75,12099171,10.5,34.99000000000001
45386,510.92,516.42,530.0,510.58,26476253,5.400000000000034,42.89000000000004
45387,527.34,516.855,530.7,514.4099,19263265,19.58000000000004,41.210000000000036
45390,519.25,529.28,531.4899,518.89,13260579,9.670000000000016,35.22000000000003
45391,516.9,522.23,525.87,506.74,10881445,13.879999999999995,35.15999999999997
45392,519.83,509.29,522.5599,505.8,11418491,23.940000000000055,32.78000000000003
45393,523.16,521.11,523.86,517.29,10369469,29.299999999999955,39.139999999999986
45394,511.9,517.75,520.1899,509.33,11984535,26.319999999999993,21.769999999999982
45397,500.23,516.72,518.53,497.28,13512893,8.879999999999995,-2.069999999999993
