Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,370.87,373.86,375.9,366.771,25258633,,
45294,370.6,369.01,373.2562,368.51,23083465,,
45295,367.94,370.665,373.1,367.17,20901502,,
45296,367.75,368.97,372.06,366.5,21004575,,
45299,374.69,369.3,375.2,369.01,23133967,,
45300,375.79,372.01,375.99,371.19,20829953,,
45301,382.77,376.37,384.17,376.32,25514245,,
45302,384.63,386.0,390.68,380.38,27850846,,
45303,388.47,385.49,388.68,384.65,21661153,,
45307,390.27,393.66,394.03,387.6229,27202268,,
45308,389.47,387.98,390.11,384.81,22234108,18.600000000000023,
45309,393.87,391.72,393.99,390.12,23392068,23.269999999999982,
45310,398.67,395.76,398.67,393.5,29331136,30.730000000000018,
45313,396.51,400.02,400.62,393.59,27016902,28.75999999999999,
45314,398.9,395.75,399.38,393.93,20525882,24.20999999999998,
45315,402.56,401.54,405.63,400.45,24866953,26.769999999999982,
45316,404.87,404.32,407.01,402.5294,21021155,22.100000000000023,
45317,403.93,404.37,406.17,402.43,17803271,19.30000000000001,
45320,409.72,406.06,409.98,404.33,24510236,21.25,
45321,408.59,412.26,413.05,406.4501,33477610,18.319999999999993,
45322,397.58,406.96,415.32,397.21,47871097,8.109999999999957,
45323,403.78,401.83,408.0,401.8,30657726,9.909999999999968,
45324,411.22,403.81,412.65,403.56,28256670,12.550000000000011,
45327,405.65,409.9,411.16,403.99,25352286,9.139999999999986,
45328,405.49,405.88,407.97,402.91,18382624,6.590000000000032,
45329,414.05,407.44,414.3,407.4,22340526,11.490000000000009,
45330,414.11,414.05,415.56,412.53,21225257,9.240000000000009,
45331,420.55,415.25,420.82,415.09,22032844,16.620000000000005,
45334,415.26,420.555,420.74,414.75,21202921,5.539999999999964,
45335,406.32,404.94,410.071,403.39,27824936,-2.269999999999982,
45336,409.49,408.07,409.84,404.57,20401190,11.910000000000025,38.620000000000005
45337,406.56,408.14,409.13,404.29,21825525,2.7800000000000296,35.95999999999998
45338,404.06,407.96,408.29,403.44,22296495,-7.160000000000025,36.120000000000005
45342,402.79,403.24,404.49,398.01,24307915,-2.859999999999957,35.04000000000002
45343,402.18,400.17,402.29,397.22,18631072,-3.3100000000000023,27.49000000000001
45344,411.65,410.19,412.83,408.57,27009869,-2.400000000000034,35.85999999999996
45345,410.34,415.67,415.86,408.97,16295879,-3.7700000000000387,27.569999999999993
45348,407.54,411.455,412.16,407.36,16193505,-13.009999999999991,22.910000000000025
45349,407.48,407.99,408.32,403.85,14835827,-7.779999999999973,19.00999999999999
