Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,8.382,8.374,8.61,8.36,727584,,
45294,8.228,8.39,8.404,8.158,569546,,
45295,8.264,8.228,8.284,8.13,412541,,
45296,8.464,8.264,8.466,8.226,473943,,
45299,8.566,8.464,8.57,8.304,434670,,
45300,8.466,8.596,8.63,8.334,560366,,
45301,8.404,8.44,8.446,8.312,360154,,
45302,8.404,8.478,8.608,8.404,491374,,
45303,8.436,8.43,8.576,8.43,370194,,
45306,8.418,8.438,8.45,8.306,333108,,
45307,8.352,8.38,8.38,8.24,616539,-0.02999999999999936,
45308,8.232,8.288,8.288,8.16,389307,0.0039999999999995595,
45309,8.258,8.232,8.342,8.144,352955,-0.006000000000000227,
45310,8.136,8.29,8.398,8.1,842671,-0.3280000000000012,
45313,8.154,8.156,8.244,8.104,770719,-0.4120000000000008,
45314,8.364,8.26,8.63,8.188,1141958,-0.10199999999999854,
45315,8.436,8.404,8.536,8.35,913131,0.03200000000000003,
45316,8.5,8.436,8.544,8.394,479605,0.09600000000000009,
45317,8.612,8.52,8.716,8.47,1049009,0.17600000000000016,
45320,8.668,8.61,8.668,8.406,766782,0.25,
45321,8.282,8.69,8.844,8.222,2586458,-0.07000000000000028,
45322,8.358,8.31,8.376,8.156,1126249,0.12600000000000122,
45323,8.312,8.338,8.49,8.24,563589,0.05400000000000027,
45324,8.36,8.358,8.538,8.356,607611,0.2240000000000002,
45327,8.254,8.36,8.414,8.172,674554,0.09999999999999964,
45328,8.73,8.28,8.744,8.04,3020839,0.36599999999999966,
45329,8.898,8.74,9.03,8.6,1563449,0.46199999999999974,
45330,8.978,8.93,9.048,8.802,731128,0.47799999999999976,
45331,8.424,8.98,8.986,8.28,1550860,-0.1880000000000006,
45334,8.378,8.478,8.632,8.31,678277,-0.28999999999999915,
45335,8.44,8.38,8.44,8.208,675859,0.15799999999999947,0.05799999999999983
45336,8.464,8.44,8.48,8.34,361748,0.10599999999999987,0.23600000000000065
45337,8.496,8.474,8.552,8.41,371190,0.18400000000000105,0.2320000000000011
45338,8.508,8.508,8.55,8.392,507637,0.1479999999999997,0.04399999999999871
45341,8.446,8.51,8.612,8.424,566351,0.19200000000000017,-0.120000000000001
45342,8.312,8.424,8.424,8.226,632631,-0.41800000000000104,-0.15399999999999991
45343,8.556,8.342,8.584,8.33,633226,-0.3420000000000005,0.15199999999999925
45344,8.594,8.576,8.678,8.576,506283,-0.38400000000000034,0.1899999999999995
45345,8.442,8.6,8.61,8.38,643128,0.018000000000000682,0.006000000000000227
45348,8.386,8.44,8.44,8.302,413244,0.007999999999999119,-0.03200000000000003
45349,8.552,8.384,8.552,8.356,467535,0.1120000000000001,0.1999999999999993
45350,8.518,8.55,8.606,8.418,466757,0.05400000000000027,0.28600000000000136
45351,8.436,8.518,8.55,8.384,524613,-0.0600000000000005,0.17800000000000082
45352,8.472,8.45,8.538,8.396,327486,-0.03599999999999959,0.3360000000000003
45355,8.3,8.472,8.522,8.246,584621,-0.14599999999999902,0.1460000000000008
45356,8.274,8.264,8.29,8.196,508617,-0.038000000000000256,-0.09000000000000163
45357,8.342,8.26,8.414,8.25,324593,-0.21399999999999864,-0.09399999999999942
45358,8.398,8.3,8.432,8.172,452036,-0.19599999999999973,-0.10200000000000031
45359,8.41,8.42,8.42,8.308,391091,-0.03200000000000003,-0.20199999999999996
45362,8.404,8.36,8.45,8.31,512408,0.018000000000000682,-0.26399999999999935
45363,8.376,8.44,8.45,8.234,524064,-0.17600000000000016,0.09399999999999942
45364,8.372,8.38,8.42,8.3,349313,-0.1460000000000008,0.013999999999999346
45365,8.112,8.364,8.378,8.09,987259,-0.32399999999999984,-0.1999999999999993
45366,8.122,8.112,8.184,8.108,1145118,-0.34999999999999964,-0.23799999999999955
45369,8.164,8.14,8.23,8.124,327182,-0.136000000000001,-0.08999999999999986
45370,8.27,8.162,8.27,8.134,405024,-0.0039999999999995595,-0.46000000000000085
45371,8.648,8.27,8.67,8.238,1120994,0.30599999999999916,-0.25
45372,8.71,8.69,8.766,8.6,673975,0.31200000000000117,-0.2679999999999989
45373,8.748,8.71,8.8,8.57,641106,0.3379999999999992,0.32399999999999984
45376,8.774,8.748,8.794,8.652,500658,0.3699999999999992,0.395999999999999
45377,8.786,8.776,8.834,8.656,510587,0.41000000000000014,0.3460000000000001
45378,8.808,8.678,8.84,8.678,404358,0.43599999999999994,0.3439999999999994
45379,8.732,8.846,8.918,8.708,491962,0.6199999999999992,0.23599999999999888
45384,8.608,8.73,8.744,8.566,519387,0.48600000000000065,0.10000000000000142
45385,8.9,8.612,8.96,8.612,998827,0.7360000000000007,0.4540000000000006
45386,9.11,8.97,9.218,8.97,775115,0.8399999999999999,0.798
45387,9.162,9.02,9.28,9.012,604216,0.5140000000000011,0.6060000000000016
45390,9.326,9.164,9.374,9.13,538472,0.6159999999999997,0.7320000000000011
45391,9.382,9.326,9.468,9.31,485455,0.6340000000000003,0.9399999999999995
45392,9.368,9.48,9.63,9.358,512503,0.5940000000000012,0.9820000000000011
45393,9.404,9.376,9.48,9.254,657927,0.6180000000000003,0.8520000000000003
45394,9.272,9.374,9.442,9.208,837132,0.4640000000000004,0.7539999999999996
45397,9.25,9.3,9.472,9.24,566094,0.5180000000000007,0.8140000000000001
45398,9.052,9.2,9.2,8.984,688627,0.44399999999999906,0.5800000000000001
45399,8.97,9.008,9.116,8.942,400263,0.07000000000000028,0.6699999999999999
45400,9.044,8.986,9.046,8.944,331794,-0.06599999999999895,0.7700000000000014
45401,9.078,9.0,9.1,8.932,451671,-0.0840000000000014,0.7359999999999989
45404,9.068,9.122,9.166,9.03,423589,-0.2580000000000009,0.6699999999999999
45405,9.056,9.142,9.142,9.002,439011,-0.3260000000000005,0.645999999999999
45406,9.042,9.1,9.124,9.008,410301,-0.3260000000000005,0.6379999999999999
45407,8.926,9.05,9.092,8.914,631740,-0.47799999999999976,0.5500000000000007
