Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,4.293,4.47,4.481,4.285,3466394,,
45294,4.195,4.294,4.333,4.163,1772800,,
45295,4.16,4.223,4.267,4.156,1826016,,
45296,4.128,4.159,4.168,4.062,2216892,,
45299,4.125,4.128,4.139,4.053,1308270,,
45300,4.119,4.126,4.162,4.095,1151179,,
45301,4.032,4.119,4.122,4.026,1699412,,
45302,4.022,4.061,4.074,4.019,1574161,,
45303,4.099,4.058,4.131,4.037,2971386,,
45306,4.154,4.11,4.169,4.096,831953,,
45307,4.068,4.141,4.145,4.052,1716907,-0.22500000000000053,
45308,4.022,4.055,4.065,4.001,1359593,-0.17300000000000004,
45309,4.027,4.021,4.063,4.001,1457988,-0.133,
45310,3.957,4.03,4.06,3.957,1272447,-0.17100000000000026,
45313,3.953,3.99,4.01,3.914,1796115,-0.17200000000000015,
45314,3.95,3.984,4.0,3.928,1357932,-0.1689999999999996,
45315,4.018,3.98,4.031,3.942,2667581,-0.014000000000000234,
45316,4.018,4.005,4.141,4.0,2469007,-0.004000000000000448,
45317,4.032,4.02,4.049,4.005,1195712,-0.06700000000000017,
45320,4.036,4.032,4.036,3.936,1720981,-0.11800000000000033,
45321,3.971,4.028,4.054,3.956,1258151,-0.09699999999999953,
45322,3.958,3.974,4.021,3.958,1834369,-0.06400000000000006,
45323,4.009,3.957,4.032,3.92,1419940,-0.017999999999999794,
45324,4.002,4.04,4.092,4.002,1362648,0.04499999999999993,
45327,3.951,4.0,4.034,3.944,1430852,-0.0019999999999997797,
45328,4.031,3.97,4.051,3.97,1262999,0.08099999999999952,
45329,3.914,4.031,4.048,3.885,2656498,-0.10399999999999965,
45330,4.157,3.976,4.221,3.97,4554546,0.13900000000000023,
45331,4.142,4.15,4.198,4.091,1642966,0.11000000000000032,
45334,4.178,4.13,4.247,4.112,1392881,0.14200000000000035,
45335,4.114,4.17,4.175,4.074,1391361,0.1429999999999998,-0.17900000000000027
45336,4.074,4.08,4.129,4.056,1067369,0.11599999999999966,-0.12100000000000044
45337,4.107,4.088,4.157,4.084,1023805,0.09799999999999986,-0.052999999999999936
45338,4.201,4.148,4.254,4.137,1557350,0.19899999999999984,0.07299999999999951
45341,4.131,4.19,4.19,4.107,1193157,0.18000000000000016,0.006000000000000227
45342,4.102,4.131,4.131,4.063,863854,0.07100000000000062,-0.01699999999999946
45343,4.09,4.1,4.13,4.076,783660,0.1759999999999997,0.05799999999999983
45344,4.108,4.093,4.147,4.087,1100898,-0.04900000000000038,0.08599999999999941
45345,4.063,4.108,4.13,4.059,1042196,-0.07900000000000063,-0.036000000000000476
45348,4.099,4.06,4.113,3.987,1814678,-0.07899999999999974,-0.054999999999999716
45349,4.164,4.079,4.176,4.079,1042580,0.04999999999999982,0.09600000000000009
45350,4.091,4.164,4.172,4.068,797116,0.017000000000000348,0.06899999999999995
45351,4.093,4.092,4.128,4.055,1562593,-0.014000000000000234,0.06599999999999984
45352,4.093,4.09,4.109,4.038,1145876,-0.10799999999999965,0.13600000000000012
45355,3.989,4.076,4.101,3.988,1369781,-0.14200000000000035,0.03600000000000003
45356,3.888,3.965,3.979,3.888,1151674,-0.2140000000000004,-0.06200000000000028
45357,3.828,3.9,3.958,3.8,2085200,-0.262,-0.18999999999999995
45358,3.933,3.809,3.954,3.771,1501335,-0.17499999999999982,-0.08499999999999996
45359,3.927,3.933,3.958,3.899,1160960,-0.13599999999999968,-0.10499999999999998
45362,3.829,3.912,3.916,3.722,3238883,-0.27,-0.2069999999999994
45363,3.945,3.823,3.977,3.748,2094145,-0.21899999999999986,-0.026000000000000245
45364,3.955,3.974,3.974,3.895,988467,-0.13600000000000012,-0.0030000000000001137
45365,3.899,3.95,3.957,3.899,911057,-0.19399999999999995,-0.11000000000000032
45366,3.9,3.899,3.931,3.86,1415613,-0.19300000000000006,-0.10199999999999987
45369,3.87,3.925,3.95,3.854,923505,-0.11899999999999977,-0.08099999999999996
45370,3.904,3.876,3.904,3.835,1230201,0.016000000000000014,-0.12699999999999978
45371,3.9,3.9,3.939,3.855,1621926,0.07200000000000006,-0.014000000000000234
45372,3.913,3.979,4.004,3.85,3299703,-0.020000000000000018,-0.24400000000000022
45373,4.004,3.9,4.018,3.84,1720660,0.07699999999999951,-0.1380000000000008
45376,4.047,3.984,4.05,3.979,1026230,0.21799999999999953,-0.13100000000000023
45377,4.043,4.036,4.06,3.995,1240430,0.09800000000000031,-0.07099999999999973
45378,4.042,4.043,4.06,3.996,1310455,0.08699999999999974,-0.03200000000000003
45379,4.03,4.051,4.061,3.995,1319038,0.13100000000000023,-0.07699999999999996
45384,4.02,4.017,4.061,3.99,1878709,0.11999999999999966,-0.18100000000000005
45385,4.12,4.028,4.16,4.0,1748396,0.25,-0.01100000000000012
45386,4.255,4.13,4.276,4.1,3285277,0.351,0.15299999999999958
45387,3.927,3.995,4.035,3.927,2920218,0.027000000000000135,-0.1629999999999998
45390,3.935,3.902,3.944,3.881,1915220,0.02200000000000024,-0.1729999999999996
45391,3.96,3.936,4.04,3.92,2080687,-0.043999999999999595,-0.10299999999999976
45392,3.965,3.999,4.075,3.937,2165937,-0.08199999999999985,-0.13400000000000034
45393,3.924,3.97,3.979,3.91,1665145,-0.11900000000000022,-0.23999999999999977
45394,3.92,3.924,3.975,3.911,1522087,-0.12199999999999989,-0.17100000000000026
45397,3.881,3.922,3.949,3.873,1609109,-0.14900000000000047,-0.2120000000000002
45398,3.712,3.844,3.846,3.707,2631048,-0.3079999999999994,-0.3809999999999998
45399,3.787,3.72,3.815,3.701,1388514,-0.3330000000000002,-0.20199999999999996
45400,3.822,3.8,3.84,3.781,1144714,-0.43299999999999983,-0.06599999999999984
45401,3.817,3.8,3.821,3.757,1152200,-0.10999999999999988,-0.010999999999999677
45404,3.798,3.822,3.848,3.785,1237943,-0.137,-0.1349999999999998
45405,3.747,3.809,3.809,3.729,1709838,-0.21300000000000008,-0.18000000000000016
45406,3.747,3.769,3.79,3.747,935845,-0.21799999999999997,-0.0820000000000003
45407,3.738,3.737,3.773,3.715,972005,-0.18599999999999994,-0.20699999999999985
45408,3.781,3.785,3.79,3.77,1274562,-0.1389999999999998,-0.17399999999999993
45411,3.836,3.789,3.836,3.753,1299294,-0.04499999999999993,-0.06300000000000017
45412,3.805,3.836,3.85,3.798,1103112,0.09299999999999997,-0.09499999999999975
45414,3.726,3.805,3.815,3.705,1878046,-0.06099999999999994,-0.14400000000000013
45415,3.687,3.736,3.742,3.665,2908427,-0.13500000000000023,-0.21700000000000008
45418,3.777,3.7,3.813,3.696,1768491,-0.040000000000000036,-0.12299999999999978
