Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,64.4,64.5,65.2,63.5,88642,,
45294,62.7,64.66,64.86,61.62,75803,,
45295,63.66,62.7,64.06,62.68,63930,,
45296,67.7,58.0,68.8,58.0,318418,,
45299,65.06,65.98,66.8,63.82,173661,,
45300,66.14,65.06,66.22,64.68,71916,,
45301,66.78,66.08,67.0,65.66,41032,,
45302,65.94,66.6,67.8,65.9,80236,,
45303,65.82,66.06,67.46,65.68,33366,,
45306,65.88,65.72,66.06,64.46,61766,,
45307,65.76,65.48,67.72,64.5,79793,1.3599999999999994,
45308,64.7,64.62,65.22,63.9,54747,2.0,
45309,66.52,64.7,66.6,64.44,38631,2.8599999999999994,
45310,65.24,66.5,66.96,64.88,55022,-2.460000000000008,
45313,65.88,65.5,66.68,65.36,58809,0.8199999999999932,
45314,66.66,65.62,67.24,65.3,50014,0.519999999999996,
45315,67.28,67.48,67.98,66.9,50375,0.5,
45316,67.76,67.24,67.76,66.7,40563,1.8200000000000074,
45317,67.72,66.66,67.76,66.02,69893,1.9000000000000057,
45320,67.26,67.44,67.88,65.32,71107,1.3800000000000097,
45321,66.54,67.26,67.8,66.54,42149,0.7800000000000011,
45322,65.72,66.46,66.54,65.3,54052,1.019999999999996,
45323,68.1,65.46,68.38,65.02,60012,1.5799999999999983,
45324,67.6,68.46,69.08,67.5,51621,2.3599999999999994,
45327,65.6,67.4,68.2,65.6,38770,-0.28000000000000114,
45328,64.1,65.44,66.12,64.1,48074,-2.5600000000000023,
45329,63.44,64.0,65.08,62.92,91536,-3.8400000000000034,
45330,65.34,63.1,65.5,63.1,38067,-2.4200000000000017,
45331,67.98,65.34,68.0,65.32,71351,0.2600000000000051,
45334,68.62,67.8,68.62,66.38,57569,1.3599999999999994,
45335,67.72,67.7,68.4,66.28,71979,1.1799999999999926,3.319999999999993
45336,66.96,67.72,68.44,64.84,53610,1.2399999999999949,4.259999999999991
45337,66.18,66.6,67.48,65.44,67896,-1.9199999999999875,2.5200000000000102
45338,76.4,71.54,78.4,71.18,423978,8.800000000000011,8.700000000000003
45341,77.88,79.4,80.56,76.7,139606,12.280000000000001,12.819999999999993
45342,77.98,77.84,78.9,76.36,84731,13.88000000000001,11.840000000000003
45343,79.3,77.98,79.56,77.9,75429,15.86,12.519999999999996
45344,77.94,80.18,81.1,77.68,53959,12.599999999999994,12.0
45345,77.4,77.58,78.46,76.62,53192,9.420000000000002,11.580000000000013
45348,77.94,77.3,78.5,76.64,26821,9.319999999999993,12.060000000000002
45349,78.6,77.9,78.88,77.36,21562,10.879999999999995,12.83999999999999
45350,78.82,78.74,79.4,77.5,42610,11.86,14.11999999999999
45351,77.98,78.76,79.56,77.98,43094,11.799999999999997,11.460000000000008
45352,80.26,77.98,80.64,77.5,49389,3.8599999999999994,15.02000000000001
45355,79.34,80.0,81.12,79.1,52364,1.460000000000008,13.460000000000008
45356,76.54,78.86,80.0,76.54,68348,-1.4399999999999977,9.88000000000001
45357,77.18,76.3,77.52,75.08,31993,-2.1199999999999903,9.900000000000006
45358,78.18,77.0,78.34,76.04,22664,0.2400000000000091,10.420000000000002
45359,79.2,78.0,80.16,77.54,54034,1.7999999999999972,11.480000000000004
45362,81.04,78.92,81.56,77.8,80189,3.1000000000000085,13.780000000000001
45363,79.4,81.04,81.04,78.16,42662,0.8000000000000114,12.86
45364,80.5,79.4,81.24,79.38,37764,1.6800000000000068,14.780000000000001
45365,79.24,80.26,80.68,78.8,31712,1.259999999999991,11.14
45366,78.64,79.24,79.68,78.36,52831,-1.6200000000000045,11.040000000000006
45369,77.18,78.28,79.18,77.06,41595,-2.1599999999999966,11.580000000000013
45370,72.98,76.78,76.92,71.16,193511,-3.5600000000000023,8.88000000000001
45371,72.94,73.0,73.96,71.44,51729,-4.240000000000009,9.5
45372,74.52,74.0,74.96,72.38,88959,-3.660000000000011,9.179999999999993
45373,74.66,74.1,74.74,73.04,39664,-4.540000000000006,6.679999999999993
45376,74.64,74.66,75.6,74.14,38479,-6.400000000000006,6.019999999999996
45377,75.44,74.64,75.5,73.68,59772,-3.960000000000008,7.719999999999999
45378,75.96,74.4,76.64,74.4,46064,-4.540000000000006,9.0
45379,76.5,75.96,76.74,75.54,45966,-2.739999999999995,10.319999999999993
45384,73.55,76.5,76.85,72.95,54932,-5.090000000000003,-2.8500000000000085
45385,73.1,73.4,73.9,72.5,43028,-4.0800000000000125,-4.780000000000001
45386,73.0,73.8,73.95,72.05,44878,0.01999999999999602,-4.980000000000004
45387,72.15,72.95,73.0,71.7,47108,-0.789999999999992,-7.1499999999999915
45390,75.15,72.1,75.45,71.2,58366,0.6300000000000097,-2.789999999999992
45391,74.85,75.15,77.65,74.1,90581,0.18999999999999773,-2.5500000000000114
45392,75.4,74.85,76.85,74.4,62678,0.7600000000000051,-2.539999999999992
45393,78.4,75.4,78.4,75.4,52615,2.960000000000008,-0.19999999999998863
45394,73.2,78.4,78.95,73.2,102397,-2.759999999999991,-5.61999999999999
45397,71.7,73.35,74.6,71.35,48196,-4.799999999999997,-6.280000000000001
45398,71.15,71.45,72.0,70.35,31690,-2.3999999999999915,-9.11
45399,70.65,71.15,71.7,70.1,38249,-2.4499999999999886,-8.689999999999998
45400,69.35,70.45,70.9,68.55,46311,-3.6500000000000057,-7.190000000000012
45401,68.1,69.0,69.15,68.0,29308,-4.050000000000011,-9.080000000000013
45404,68.4,68.05,68.95,68.0,27080,-6.75,-9.780000000000001
45405,69.75,68.9,70.15,68.45,28251,-5.099999999999994,-9.450000000000003
45406,71.15,69.8,71.3,69.75,57332,-4.25,-9.89
45407,67.65,71.1,73.0,65.2,173121,-10.75,-11.75
45408,73.3,69.3,74.4,69.3,121951,0.09999999999999432,-7.200000000000003
45411,74.95,73.3,74.95,72.8,55148,3.25,-4.289999999999992
45412,72.65,74.4,74.75,72.65,40189,1.5,-5.989999999999995
45414,73.75,72.6,74.45,71.85,28286,3.0999999999999943,-3.430000000000007
45415,74.3,73.75,75.45,73.3,30271,4.950000000000003,1.3199999999999932
45418,74.2,74.3,74.35,72.65,40042,6.1000000000000085,1.2600000000000051
45419,75.9,74.2,76.2,73.8,33641,7.5,1.3800000000000097
45420,76.9,74.4,77.0,74.4,43698,7.150000000000006,2.240000000000009
45422,76.2,76.05,77.95,76.0,29819,5.049999999999997,1.5600000000000023
45425,77.3,76.2,77.3,76.1,15501,9.649999999999991,1.8599999999999994
45426,80.0,76.85,80.35,76.85,57791,6.700000000000003,4.040000000000006
45427,84.0,80.0,84.5,79.8,97326,9.049999999999997,7.5
45428,84.7,84.1,85.9,83.65,48562,12.049999999999997,11.150000000000006
45429,84.5,84.4,84.65,82.75,20877,10.75,11.400000000000006
45432,85.0,84.2,85.3,84.1,22449,10.700000000000003,12.0
45433,83.45,84.95,85.05,82.15,41518,9.25,11.299999999999997
45434,85.05,83.0,85.45,82.8,54194,9.149999999999991,9.899999999999991
45435,85.65,85.05,86.5,84.7,25870,8.75,10.800000000000011
45436,84.9,85.5,85.5,83.95,18204,8.700000000000003,9.5
45439,82.85,84.4,84.7,82.75,16483,5.549999999999997,4.449999999999989
45440,82.7,82.85,84.0,82.3,48578,2.700000000000003,9.5
45441,82.2,82.5,83.0,81.85,29294,-1.7999999999999972,10.5
45442,80.35,81.95,82.55,80.15,22740,-4.3500000000000085,9.199999999999989
45443,80.95,80.0,81.65,79.45,45780,-3.549999999999997,10.299999999999997
45446,83.0,81.5,83.65,80.7,36759,-2.0,13.650000000000006
45447,82.35,83.0,83.85,81.0,25264,-1.1000000000000085,14.25
45448,84.55,81.85,84.55,81.85,36212,-0.5,16.14999999999999
45449,84.9,84.55,85.8,84.2,23322,-0.75,15.150000000000006
45450,84.25,84.9,85.2,82.75,30321,-0.6500000000000057,13.099999999999994
45453,84.15,84.1,84.9,82.55,27661,1.3000000000000114,16.5
45454,84.5,83.6,84.6,82.8,39883,1.7999999999999972,11.200000000000003
45455,88.8,84.35,88.8,84.35,59425,6.599999999999994,13.849999999999994
45456,88.2,88.4,89.4,87.5,23620,7.8500000000000085,15.549999999999997
45457,84.75,88.2,88.25,83.75,61973,3.799999999999997,11.0
45460,84.6,84.75,86.4,84.4,22423,1.5999999999999943,10.299999999999997
45461,81.8,84.6,85.05,80.5,44426,-0.5499999999999972,7.599999999999994
45462,81.4,81.8,82.3,81.15,29257,-3.1499999999999915,5.5
45463,80.95,81.05,82.4,80.25,45551,-3.950000000000003,4.049999999999997
45467,83.5,80.95,83.75,80.65,31457,-0.75,7.299999999999997
45468,84.9,83.5,84.9,82.8,27165,0.75,7.6000000000000085
45469,82.5,84.6,86.65,81.65,34435,-2.0,2.5
45470,83.2,82.4,83.7,82.0,27434,-5.599999999999994,-0.7999999999999972
45471,77.55,80.15,82.2,77.4,77371,-10.650000000000006,-7.150000000000006
45474,79.9,77.55,80.3,77.15,39550,-4.849999999999994,-4.599999999999994
45475,80.8,79.6,81.3,77.6,26249,-3.799999999999997,-4.200000000000003
