Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,40.14,39.61,40.145,39.61,521623,,
45294,39.7,40.0,40.27,39.615,495030,,
45295,39.885,39.7,40.135,39.7,590775,,
45296,39.695,39.7,39.89,39.505,364986,,
45299,39.695,39.695,39.85,39.42,534329,,
45300,39.49,39.695,39.76,39.13,572457,,
45301,39.27,39.4,39.405,39.075,500946,,
45302,38.635,39.345,39.36,38.575,762414,,
45303,38.775,38.695,38.945,38.665,462803,,
45306,38.97,38.82,39.085,38.75,350264,,
45307,38.72,38.67,38.845,38.445,531061,-1.4200000000000017,
45308,38.565,38.595,38.62,38.035,692084,-1.1350000000000051,
45309,38.475,38.535,38.575,38.155,551326,-1.4099999999999966,
45310,38.235,38.56,38.69,38.13,474636,-1.4600000000000009,
45313,38.74,38.26,38.745,38.24,449941,-0.9549999999999983,
45314,38.37,38.715,38.72,38.205,623298,-1.1200000000000045,
45315,38.315,38.16,38.47,38.06,736999,-0.9550000000000054,
45316,38.355,38.35,38.485,38.175,638639,-0.28000000000000114,
45317,38.425,38.355,38.835,38.28,661554,-0.3500000000000014,
45320,38.59,38.425,38.635,38.215,498948,-0.37999999999999545,
45321,38.54,38.32,38.81,38.27,631128,-0.17999999999999972,
45322,38.785,38.655,38.945,38.655,810108,0.21999999999999886,
45323,38.63,38.49,38.975,38.49,602719,0.15500000000000114,
45324,38.82,38.74,38.955,38.54,546682,0.5850000000000009,
45327,38.945,38.83,38.98,38.565,567178,0.2049999999999983,
45328,38.895,38.945,39.12,38.69,531486,0.5250000000000057,
45329,38.785,38.895,39.135,38.76,558906,0.46999999999999886,
45330,39.745,38.97,39.815,38.9,1125537,1.3900000000000006,
45331,39.9,39.615,40.01,39.49,693455,1.4750000000000014,
45334,40.115,39.94,40.145,39.615,344072,1.5249999999999986,
45335,40.58,40.005,40.71,40.005,755473,2.039999999999999,0.4399999999999977
45336,40.555,40.6,40.62,40.05,537291,1.7700000000000031,0.8549999999999969
45337,40.84,40.595,40.94,40.32,496125,2.210000000000001,0.9550000000000054
45338,41.53,40.875,41.53,40.875,598413,2.710000000000001,1.8350000000000009
45341,41.285,41.46,41.54,41.065,346605,2.3399999999999963,1.5899999999999963
45342,41.475,41.26,41.52,41.15,617765,2.5799999999999983,1.9849999999999994
45343,41.535,41.42,41.645,41.38,399681,2.75,2.2649999999999935
45344,41.345,41.64,41.8,41.33,504627,1.6000000000000014,2.710000000000001
45345,41.185,41.425,41.44,40.74,717179,1.2850000000000037,2.4100000000000037
45348,41.28,41.185,41.575,40.97,634619,1.1649999999999991,2.3100000000000023
45349,41.15,41.28,41.38,40.985,362424,0.5700000000000003,2.4299999999999997
45350,40.885,41.135,41.39,40.885,699872,0.3299999999999983,2.3200000000000003
45351,41.37,40.94,41.385,40.85,2104767,0.529999999999994,2.894999999999996
45352,41.33,41.37,41.525,41.28,381537,-0.20000000000000284,3.094999999999999
45355,40.965,41.29,41.345,40.965,450823,-0.3199999999999932,2.2250000000000014
45356,41.475,40.95,41.58,40.93,500262,0.0,3.105000000000004
45357,40.545,41.33,41.42,39.725,1109908,-0.9899999999999949,2.230000000000004
45358,39.57,40.61,40.675,39.57,926386,-1.7749999999999986,1.2150000000000034
45359,39.85,39.57,39.97,39.445,640229,-1.3350000000000009,1.4250000000000043
45362,40.035,39.9,40.245,39.79,501200,-1.2450000000000045,1.4449999999999932
45363,40.25,40.11,40.36,39.77,872277,-0.8999999999999986,1.7100000000000009
45364,40.46,40.25,40.675,40.195,679201,-0.42499999999999716,1.6750000000000043
45365,40.665,40.46,40.735,40.315,615906,-0.7049999999999983,2.0349999999999966
45366,41.0,40.665,41.055,40.62,1369841,-0.3299999999999983,2.1799999999999997
45369,40.62,41.0,41.0,40.3,346821,-0.34500000000000597,1.6749999999999972
45370,40.48,40.62,40.675,40.19,607821,-0.9950000000000045,1.5849999999999937
45371,40.42,40.39,40.565,40.23,388568,-0.125,1.6350000000000051
45372,40.44,40.42,40.5,40.0,545194,0.8699999999999974,0.6950000000000003
45373,40.36,40.4,40.63,40.13,460651,0.509999999999998,0.46000000000000085
45376,40.505,40.15,40.555,39.8,458048,0.47000000000000597,0.39000000000000057
45377,40.625,40.505,40.625,40.17,433870,0.375,0.045000000000001705
45378,40.285,40.365,40.645,40.215,804030,-0.17500000000000426,-0.2700000000000031
45379,39.515,40.015,40.245,39.39,1081097,-1.1499999999999986,-1.3250000000000028
45384,39.42,39.48,39.78,39.39,851399,-1.5799999999999983,-2.1099999999999994
45385,39.46,39.45,39.71,39.34,646074,-1.1599999999999966,-1.8249999999999957
45386,39.2,39.46,39.66,39.12,848154,-1.279999999999994,-2.2749999999999986
45387,39.85,39.08,39.94,39.02,748563,-0.5700000000000003,-1.6849999999999952
45390,39.65,39.85,39.96,39.57,555010,-0.7899999999999991,-1.6950000000000003
45391,39.63,39.65,40.0,39.51,547008,-0.7299999999999969,-1.5549999999999997
45392,39.27,39.57,39.71,39.16,518435,-1.2349999999999994,-2.009999999999998
