Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,12.705,12.53,12.8,12.525,1208087,,
45294,12.515,12.715,12.775,12.41,1234286,,
45295,12.705,12.56,12.8,12.545,1992166,,
45296,12.675,12.635,12.695,12.39,1220523,,
45299,12.73,12.535,12.805,12.535,1536426,,
45300,12.555,12.745,12.745,12.535,1554445,,
45301,12.205,12.535,12.535,12.15,1991704,,
45302,12.21,12.355,12.415,12.195,1941483,,
45303,12.515,12.305,12.515,12.305,1670855,,
45306,12.38,12.5,12.62,12.365,1159733,,
45307,12.195,12.26,12.285,12.06,1195174,-0.5099999999999998,
45308,12.045,11.98,12.105,11.915,1322025,-0.47000000000000064,
45309,11.975,12.045,12.165,11.97,1453833,-0.7300000000000004,
45310,11.555,11.965,12.015,11.545,2522066,-1.120000000000001,
45313,11.55,11.59,11.635,11.4,1600626,-1.1799999999999997,
45314,11.75,11.58,11.76,11.58,1650058,-0.8049999999999997,
45315,11.71,11.89,11.96,11.685,1174612,-0.4949999999999992,
45316,11.84,11.625,11.96,11.575,3730283,-0.370000000000001,
45317,12.06,11.83,12.105,11.71,1481333,-0.45500000000000007,
45320,11.885,11.96,11.99,11.685,2272531,-0.495000000000001,
45321,11.705,11.88,11.89,11.65,2003078,-0.4900000000000002,
45322,11.815,11.74,11.85,11.66,2574124,-0.23000000000000043,
45323,11.245,11.17,11.585,11.02,5972504,-0.7300000000000004,
45324,11.39,11.2,11.5,11.19,2323667,-0.16499999999999915,
45327,11.165,11.32,11.42,11.155,1497267,-0.38500000000000156,
45328,11.255,11.215,11.315,11.125,1797624,-0.4949999999999992,
45329,11.27,11.22,11.31,11.175,1451697,-0.4400000000000013,
45330,11.29,11.295,11.41,11.245,1573265,-0.5500000000000007,
45331,11.215,11.275,11.29,11.15,1441650,-0.8450000000000006,
45334,11.315,11.255,11.33,11.2,788999,-0.5700000000000003,
45335,10.905,11.305,11.305,10.905,1596879,-0.8000000000000007,-1.8000000000000007
45336,10.775,10.9,10.94,10.775,2225280,-1.0399999999999991,-1.7400000000000002
