Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,256.13,260.54,260.56,253.77,4741418,,
45294,251.84,253.5,254.16,251.77,5097120,,
45295,251.24,251.83,252.64,249.84,4489773,,
45296,251.12,251.21,253.91,250.17,3675979,,
45299,260.87,252.21,261.56,251.39,6626012,,
45300,261.34,259.5,263.93,258.78,4571839,,
45301,264.13,263.27,266.46,262.75,5128300,,
45302,271.38,268.0,272.96,265.1,9012600,,
45303,271.93,271.23,275.24,271.06,4847604,,
45307,269.19,269.7,271.565,267.72,5858670,,
45308,271.44,268.29,271.9,264.13,4706498,15.310000000000002,
45309,274.46,273.0,275.69,272.14,4752437,22.619999999999976,
45310,280.88,276.51,282.0,275.5279,7413577,29.639999999999986,
45313,280.3,283.79,285.72,280.17,6735912,29.180000000000007,
45314,276.77,280.83,281.71,275.71,6573810,15.899999999999977,
45315,276.88,279.98,280.96,276.69,7037765,15.54000000000002,
45316,279.03,278.61,279.8528,276.86,4178020,14.899999999999977,
45317,279.94,279.28,283.34,278.685,4877365,8.560000000000002,
45320,287.86,281.4,288.15,281.0,5762263,15.930000000000007,
45321,287.73,287.63,289.29,286.5157,4810928,18.54000000000002,
45322,281.09,284.05,285.63,280.82,4557283,9.649999999999977,
45323,283.8,282.01,285.05,281.36,3218346,9.340000000000032,
45324,285.66,285.2,288.16,283.16,3629843,4.78000000000003,
45327,288.11,286.25,289.05,281.36,5274790,7.810000000000002,
45328,285.83,287.94,288.64,281.91,4207846,9.060000000000002,
45329,288.84,287.35,289.8,285.2,3621376,11.95999999999998,
45330,291.95,289.3,293.11,288.98,4488432,12.920000000000016,
45331,291.3,293.25,295.24,291.05,4376347,11.360000000000014,
45334,287.32,290.82,291.0,287.0,3750035,-0.5400000000000205,
45335,281.15,280.41,283.4299,276.4223,4956553,-6.580000000000041,
45336,289.15,285.0,289.46,284.64,3850721,8.060000000000002,33.01999999999998
45337,291.94,291.34,292.0,288.01,3986522,8.139999999999986,40.099999999999994
45338,289.72,292.0,292.07,287.88,4159391,4.060000000000002,38.48000000000002
45342,286.39,289.5,290.85,284.155,4285328,-1.7200000000000273,35.26999999999998
45343,283.55,280.07,283.57,278.355,3799041,-2.2799999999999727,22.680000000000007
45344,293.65,292.0,294.63,291.4,5264297,4.810000000000002,32.31
45345,292.8,298.0,298.0,291.08,4416764,0.8500000000000227,28.670000000000016
45348,300.39,295.59,303.8299,295.0,8719272,9.089999999999975,29.00999999999999
45349,299.5,301.58,301.75,296.6,6178811,12.180000000000007,27.569999999999993
45350,299.77,299.58,300.875,296.61,12490784,18.620000000000005,30.579999999999984
45351,308.82,300.0,310.54,294.79,21737805,19.670000000000016,37.379999999999995
45352,316.88,307.0,318.715,306.6151,9366647,24.939999999999998,42.420000000000016
45355,314.64,314.57,317.655,313.54,9349980,24.91999999999996,33.75999999999999
45356,298.75,311.31,312.55,296.14,9015308,12.360000000000014,18.44999999999999
45357,303.77,304.645,305.89,302.735,8270036,20.21999999999997,27.0
45358,302.42,306.0,306.77,301.75,6788862,8.770000000000039,25.54000000000002
45359,305.28,302.2,308.87,302.2,4851635,12.479999999999961,26.25
45362,306.0,302.64,307.605,300.25,4895493,5.610000000000014,26.060000000000002
45363,306.62,306.71,309.04,303.87,4831976,7.1200000000000045,18.75999999999999
45364,304.68,305.0,307.73,303.11,5548843,4.910000000000025,16.94999999999999
45365,303.32,305.0,309.49,301.995,4828755,-5.5,22.230000000000018
45366,294.33,298.96,300.05,293.77,11885105,-22.55000000000001,10.529999999999973
45369,300.51,299.62,300.97,296.02,5240467,-14.129999999999995,14.849999999999966
45370,301.45,298.18,301.77,296.62,3329873,2.6999999999999886,13.339999999999975
45371,306.08,301.97,307.02,300.685,4946571,2.3100000000000023,20.25
45372,308.39,307.94,311.8,306.35,6083853,5.96999999999997,19.55000000000001
45373,307.77,309.32,310.23,306.65,3779208,2.490000000000009,15.819999999999993
45376,306.06,303.7,307.71,302.54,4141223,0.060000000000002274,14.759999999999991
45377,305.83,307.48,307.98,304.89,3893853,-0.7900000000000205,18.50999999999999
45378,301.38,307.44,309.3,298.63,3859858,-3.3000000000000114,20.230000000000018
45379,301.18,300.0,302.8,299.6348,4892275,-2.1399999999999864,12.03000000000003
45383,302.26,301.69,303.51,299.99,2918140,7.930000000000007,10.319999999999993
45384,304.0,297.5,304.457,294.8895,4746113,3.490000000000009,14.279999999999973
45385,304.74,303.99,307.16,303.1,3047382,3.2900000000000205,18.350000000000023
45386,294.14,308.26,311.3,292.1,8351020,-11.939999999999998,10.589999999999975
45387,301.91,293.54,303.415,293.295,4918179,-6.479999999999961,8.260000000000048
45390,301.73,301.1,303.5,299.52,3142901,-6.039999999999964,8.930000000000007
45391,302.37,303.32,305.6,299.2501,2998100,-3.6899999999999977,1.9800000000000182
45392,299.62,298.45,300.92,298.15,3036384,-6.2099999999999795,0.12000000000000455
45393,299.15,299.47,301.09,296.4077,3468596,-2.230000000000018,-0.6200000000000045
45394,294.32,296.87,297.85,293.5,3819966,-6.860000000000014,-14.5
45397,272.9,282.94,286.4766,271.66,18365087,-29.360000000000014,-43.98000000000002
45398,277.41,274.78,280.56,272.4401,7624347,-26.589999999999975,-37.22999999999996
45399,276.32,277.74,278.9678,274.84,4199384,-28.420000000000016,-22.430000000000007
45400,271.92,276.32,276.33,269.75,5918155,-22.21999999999997,-31.849999999999966
45401,270.37,272.49,273.15,268.73,4913553,-31.54000000000002,-32.05000000000001
45404,273.81,279.39,279.7,269.56,6747204,-27.920000000000016,-31.46999999999997
45405,276.68,274.95,276.7,270.41,6285237,-25.689999999999998,-29.319999999999993
45406,276.19,278.0,278.9393,274.11,3938845,-23.430000000000007,-30.430000000000007
45407,273.14,271.6,273.58,269.28,4811919,-26.00999999999999,-31.54000000000002
45408,274.29,275.0,276.9,273.4625,3754585,-20.029999999999973,-29.029999999999973
45411,275.74,274.89,277.29,273.2201,3608840,2.840000000000032,-18.589999999999975
45412,268.94,274.51,274.61,268.355,5217985,-8.470000000000027,-31.569999999999993
45413,268.69,269.02,274.0,266.55,3761619,-7.6299999999999955,-32.75999999999999
45414,272.13,270.43,273.08,267.94,3859883,0.20999999999997954,-33.94999999999999
45415,273.66,276.82,277.67,273.35,4041636,3.2900000000000205,-34.72999999999996
45418,275.63,276.17,277.13,274.06,3744763,1.8199999999999932,-32.139999999999986
45419,277.18,275.59,278.882,274.07,3507733,0.5,-28.879999999999995
45420,278.97,275.73,279.94,275.73,3283270,2.7800000000000296,-26.859999999999957
45421,275.17,272.17,275.35,271.0708,4709740,2.0300000000000296,-26.20999999999998
45422,276.67,276.1,279.64,274.97,2912308,2.3799999999999955,-24.50999999999999
45425,277.52,277.14,277.8,275.185,2998662,1.7799999999999727,-24.74000000000001
45426,276.8,276.96,278.86,275.04,3056843,7.860000000000014,-27.19999999999999
45427,287.54,279.74,287.8,279.73,5828547,18.850000000000023,-17.19999999999999
45428,284.68,289.42,290.02,284.58,3559188,12.550000000000011,-9.45999999999998
45429,285.61,287.04,287.34,284.26,3478869,11.949999999999989,-16.30000000000001
45432,287.07,286.0,287.7206,285.11,2799272,11.439999999999998,-14.660000000000025
45433,283.76,286.79,287.22,283.29,3492113,6.579999999999984,-18.610000000000014
45434,283.82,283.41,287.09,282.835,3309164,4.849999999999966,-15.800000000000011
45435,278.57,286.68,287.0,277.46,5456632,3.3999999999999773,-20.579999999999984
45436,272.29,270.93,274.96,268.53,8325132,-4.3799999999999955,-22.029999999999973
45440,269.83,273.1,273.225,267.16,9294119,-7.689999999999998,-3.069999999999993
45441,271.62,268.0,272.865,267.77,13397852,-5.180000000000007,-5.7900000000000205
45442,218.01,223.4,225.09,212.0,66860913,-69.53000000000003,-58.31
45443,234.44,219.11,234.62,216.06,36807425,-50.24000000000001,-37.48000000000002
45446,236.62,234.62,240.99,230.2101,19962737,-48.99000000000001,-33.75
45447,234.86,235.72,240.5899,232.2,11197479,-52.20999999999998,-38.94999999999999
45448,236.53,235.64,236.92,231.55,10772093,-47.22999999999999,-40.150000000000006
45449,242.76,239.88,246.75,239.45,11693763,-41.06,-33.43000000000001
45450,241.85,242.33,243.9299,240.2884,6883831,-36.72,-31.289999999999992
45453,241.84,241.79,243.64,240.43,7660118,-30.450000000000017,-32.45000000000002
45454,240.99,241.16,243.75,236.26,7264354,-28.839999999999975,-34.75
45455,235.8,240.56,242.2,234.89,10260116,-35.81999999999999,-33.139999999999986
45456,229.03,235.52,235.65,228.66,13566707,11.02000000000001,-39.66
45457,231.94,229.35,235.2499,229.2,8833734,-2.5,-40.19
45460,230.48,230.28,231.84,227.77,10563678,-6.140000000000015,-43.180000000000035
45461,231.81,230.48,232.29,229.23,7119770,-3.0500000000000114,-43.81999999999999
45463,241.8,232.85,243.77,232.85,14809627,5.27000000000001,-35.379999999999995
45464,245.06,240.57,245.374,240.19,15928785,2.3000000000000114,-33.910000000000025
45467,239.94,243.19,244.41,239.81,7545685,-1.9099999999999966,-35.23000000000002
45468,241.76,241.78,243.1,239.87,6216627,-0.0800000000000125,-34.910000000000025
45469,243.15,241.47,243.61,239.901,4524735,2.1599999999999966,-34.369999999999976
45470,252.85,245.0,258.6,244.45,12869018,17.049999999999983,-23.950000000000017
45471,257.1,253.5,260.18,253.18,12619303,28.07000000000002,-30.439999999999998
45474,256.21,258.15,259.4799,254.53,5871685,24.269999999999982,-28.470000000000027
45475,256.19,255.05,257.73,254.06,5130593,25.710000000000008,-29.420000000000016
45476,260.95,256.98,261.22,256.935,4755729,29.139999999999986,-26.120000000000005
45478,263.19,262.72,265.8059,261.315,6562111,21.389999999999986,-20.569999999999993
45481,257.37,261.38,262.84,257.19,6539287,12.310000000000002,-26.44999999999999
45482,252.43,256.09,257.0,251.09,7017109,12.490000000000009,-26.139999999999986
45483,252.59,251.2,254.8,246.11,8947679,10.830000000000013,-19.700000000000017
45484,251.12,252.6,255.42,250.92,5343727,7.969999999999999,-18.70999999999998
45485,253.97,251.62,255.29,249.69,4705492,1.1200000000000045,-17.650000000000006
45488,252.86,256.02,256.39,252.12,4404270,-4.240000000000009,34.85000000000002
45489,256.03,253.78,256.78,252.67,4780386,-0.18000000000000682,21.589999999999975
45490,251.22,254.0,255.57,249.61,5625254,-4.969999999999999,14.599999999999994
45491,247.35,252.14,252.45,245.72,6351643,-13.599999999999994,12.48999999999998
45492,247.63,248.65,248.99,245.17,4468875,-15.560000000000002,11.099999999999994
45495,254.08,248.75,255.58,248.0,5647588,-3.289999999999992,11.320000000000022
45496,256.06,256.59,257.33,253.7513,3905543,3.6299999999999955,14.210000000000008
45497,249.78,253.63,255.91,248.9,5204088,-2.8100000000000023,7.939999999999998
45498,256.52,254.74,264.08,251.7245,7155846,5.399999999999977,15.529999999999973
45499,262.71,258.17,264.49,257.07,6127323,8.73999999999998,26.909999999999968
45502,258.59,262.71,266.075,258.52,5101425,5.729999999999961,29.559999999999974
45503,257.93,259.62,260.75,255.12,3944295,1.900000000000034,25.99000000000001
45504,258.8,256.21,261.83,255.35,4647690,7.5800000000000125,28.32000000000002
45505,253.06,259.9,263.36,249.74,5527395,5.710000000000008,21.25
45506,243.97,247.79,248.0,241.1165,6504544,-3.6599999999999966,2.1699999999999875
45509,239.01,232.32,241.82,232.21,6899342,-15.070000000000022,-6.050000000000011
45510,238.42,241.09,243.85,238.03,5673889,-17.640000000000015,-1.5200000000000102
45511,240.04,242.61,246.53,239.66,4035549,-9.740000000000009,-1.7199999999999989
45512,249.12,243.24,249.43,243.08,4474252,-7.399999999999977,5.969999999999999
45513,252.53,248.7,252.95,248.45,2975285,-10.179999999999978,-0.3199999999999932
45516,251.31,252.6,254.09,249.02,3679904,-7.279999999999973,-5.7900000000000205
45517,254.6,253.0,255.78,253.0,4031818,-3.3300000000000125,-1.6099999999999852
45518,255.32,255.39,257.71,253.86,4145248,-3.480000000000018,-0.8700000000000045
45519,262.79,257.9,262.89,256.24,5167930,9.730000000000018,1.8400000000000318
45520,262.91,261.75,263.6,259.68,3494863,18.940000000000026,-0.2799999999999727
45523,265.38,263.1,265.39,261.63,4501262,26.370000000000005,8.009999999999991
45524,261.84,264.95,265.5,261.03,5731309,23.419999999999987,9.409999999999968
45525,261.09,261.1,262.14,259.18,4648204,21.049999999999983,8.499999999999972
45526,258.59,261.5,263.26,257.27,5111442,9.46999999999997,7.46999999999997
45527,264.0,261.99,265.6,260.7,4711326,11.469999999999999,10.030000000000001
45530,265.28,263.94,267.3,263.24,3818271,13.96999999999997,12.419999999999959
45531,264.2,259.65,264.46,259.4,5276384,9.599999999999994,8.170000000000016
45532,258.9,261.83,265.18,257.36,10981901,3.579999999999984,7.679999999999978
45533,257.01,271.01,271.95,256.28,14301691,-5.78000000000003,9.659999999999997
45534,252.9,257.44,259.13,251.0,10507704,-10.01000000000002,5.27000000000001
45538,248.06,252.62,253.69,246.64,6190352,-17.319999999999993,-6.02000000000001
45539,247.68,246.47,249.48,245.16,4706546,-14.159999999999968,-8.379999999999995
45540,246.12,245.98,248.4999,245.0,4083624,-14.96999999999997,-3.6599999999999966
45541,243.97,247.74,250.0,241.4401,6259431,-14.619999999999976,-12.549999999999983
45544,245.76,246.5,249.36,244.77,4588809,-18.24000000000001,-16.94999999999999
45545,246.16,247.13,247.34,243.311,3544808,-19.119999999999976,-12.429999999999978
45546,249.57,244.81,250.02,242.0141,4822215,-14.629999999999995,-8.360000000000014
