Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,248.42,250.08,251.25,244.41,104654163,,
45294,238.45,244.98,245.68,236.32,121082599,,
45295,237.93,239.25,242.7,237.73,102629283,,
45296,237.49,236.86,240.1196,234.9001,92488939,,
45299,240.45,236.14,241.25,235.3,85166580,,
45300,234.96,238.11,238.9646,232.04,96705664,,
45301,233.94,235.1,235.5,231.29,91628502,,
45302,227.22,230.57,230.93,225.37,105873612,,
45303,218.89,220.08,225.34,217.1501,123043812,,
45307,219.91,215.1,223.49,212.18,115355046,,
45308,215.55,214.86,215.67,212.01,103164400,-32.869999999999976,
45309,211.88,216.88,217.45,208.74,108595431,-26.569999999999993,
45310,212.19,209.99,213.19,207.56,102260343,-25.74000000000001,
45313,208.8,212.26,217.8,206.27,117952527,-28.689999999999998,
45314,209.14,211.3,215.65,207.7516,106605946,-31.310000000000002,
45315,207.83,211.88,212.73,206.77,123369932,-27.129999999999995,
45316,182.63,189.7,193.0,180.06,198076787,-51.31,
45317,183.25,185.5,186.78,182.1,107343231,-43.97,
45320,190.93,185.63,191.48,183.67,125013148,-27.95999999999998,
45321,191.59,195.33,196.3593,190.61,109982327,-28.319999999999993,
45322,187.29,186.995,193.97,185.8459,103221430,-28.26000000000002,
45323,188.86,188.5,189.88,184.28,91843275,-23.019999999999982,
45324,187.91,185.04,188.69,182.0,110612672,-24.28,
45327,181.06,184.26,184.68,175.01,134294447,-27.74000000000001,
45328,185.1,177.21,186.49,177.11,122675954,-24.039999999999992,
45329,187.58,188.18,189.79,182.68,111535217,-20.25,
45330,189.56,189.0,191.6171,185.58,83034043,6.930000000000007,
45331,193.57,190.18,194.12,189.48,84476347,10.319999999999993,
45334,188.13,192.11,194.73,187.28,95498597,-2.8000000000000114,
45335,184.02,183.99,187.26,182.1087,86759478,-7.569999999999993,
45336,188.71,185.3,188.89,183.35,81202987,1.420000000000016,-59.70999999999998
45337,200.45,189.16,200.88,188.8595,120831762,11.589999999999975,-38.0
45338,199.95,202.06,203.17,197.4,111346705,12.039999999999992,-37.98000000000002
45342,193.76,196.13,198.6,189.13,104545762,12.699999999999989,-43.73000000000002
45343,194.77,193.36,199.44,191.95,103844008,9.670000000000016,-45.67999999999998
45344,197.41,194.0,198.32,191.36,92739461,9.829999999999984,-37.55000000000001
45345,191.97,195.31,197.57,191.5,78841917,2.4099999999999966,-41.97
45348,199.4,192.29,201.78,192.0,111747116,5.8300000000000125,-27.819999999999993
45349,199.73,204.04,205.6,198.26,108645412,11.599999999999994,-19.159999999999997
45350,202.04,200.42,205.3,198.44,99806173,18.019999999999982,-17.870000000000005
45351,201.88,204.18,205.28,198.4463,85906974,13.169999999999987,-13.670000000000016
45352,202.64,200.52,204.52,198.5,82243119,2.1899999999999977,-9.240000000000009
45355,188.14,198.73,199.75,186.72,134334869,-11.810000000000002,-24.05000000000001
45356,180.74,183.05,184.59,177.57,119660758,-13.019999999999982,-28.060000000000002
45357,176.54,179.99,181.576,173.7,107920944,-18.230000000000018,-32.599999999999994
45358,178.65,174.35,180.04,173.7,102129004,-18.75999999999999,-29.180000000000007
45359,175.34,181.5,182.73,174.7,85544644,-16.629999999999995,-7.289999999999992
45362,177.77,175.445,182.87,174.8,85391528,-21.629999999999995,-5.47999999999999
45363,177.54,177.77,179.43,172.4101,87391684,-22.189999999999998,-13.390000000000015
45364,169.48,173.05,176.05,169.15,106524518,-32.56,-22.110000000000014
45365,162.5,167.77,171.17,160.51,126325696,-39.379999999999995,-24.789999999999992
45366,163.57,163.16,165.1845,160.76,97146832,-39.06999999999999,-25.29000000000002
45369,173.8,170.02,174.72,165.9,108214358,-14.339999999999975,-14.109999999999985
45370,171.32,172.36,172.82,167.42,77271428,-9.420000000000016,-9.740000000000009
45371,175.66,173.0,176.25,170.82,83846726,-0.8799999999999955,-9.439999999999998
45372,172.82,176.39,178.18,171.8,73178014,-5.8300000000000125,-14.76000000000002
45373,170.83,166.69,171.2,166.3,75580637,-4.509999999999991,-18.72999999999999
45376,172.63,168.76,175.24,168.73,74228615,-5.140000000000015,-20.939999999999998
45377,177.67,178.58,184.25,177.38,113186227,0.12999999999999545,-10.460000000000008
45378,179.83,181.41,181.91,176.0,81804043,10.350000000000023,-4.189999999999998
45379,175.79,177.45,179.57,175.3,77654838,13.289999999999992,-12.920000000000016
45383,175.22,176.17,176.75,170.21,81562127,11.650000000000006,-25.22999999999999
45384,166.63,164.75,167.69,163.43,116650594,-7.170000000000016,-33.31999999999999
45385,168.38,164.02,168.82,163.28,82950141,-2.9399999999999977,-25.379999999999995
45386,171.11,170.07,177.19,168.01,123161960,-4.549999999999983,-23.659999999999997
45387,164.9,169.08,170.86,160.51,143157603,-7.9199999999999875,-32.50999999999999
45390,172.98,169.34,174.5,167.79,104423320,2.1499999999999773,-18.99000000000001
45391,176.88,172.91,179.22,171.92,103232675,4.25,-22.52000000000001
45392,171.76,173.04,174.93,170.01,84532407,-5.909999999999997,-27.97
45393,174.6,172.55,175.88,168.51,94515987,-5.230000000000018,-27.439999999999998
45394,171.05,172.34,173.8099,170.3644,64722669,-4.739999999999981,-30.829999999999984
45397,161.48,170.24,170.69,161.38,100245310,-13.740000000000009,-41.16
45398,157.11,156.742,158.19,153.75,96999956,-9.519999999999982,-31.029999999999973
45399,155.45,157.64,158.33,153.78,82439718,-12.930000000000007,-25.29000000000002
45400,149.93,151.25,152.2,148.7,96098830,-21.180000000000007,-26.609999999999985
45401,147.05,148.97,150.94,146.22,87074500,-17.849999999999994,-31.599999999999994
45404,142.05,140.56,144.44,138.8025,107097564,-30.92999999999998,-33.28999999999999
45405,144.68,143.33,147.26,141.11,124545104,-32.19999999999999,-33.09
45406,162.13,162.84,167.97,157.51,181178020,-9.629999999999995,-15.409999999999997
45407,170.18,158.96,170.88,158.36,126427521,-4.4199999999999875,0.700000000000017
45408,168.29,168.85,172.12,166.37,109815725,-2.7600000000000193,5.789999999999992
45411,194.05,188.42,198.87,184.54,243869678,32.57000000000002,30.480000000000018
45412,183.28,186.98,190.95,182.8401,127031787,26.169999999999987,9.47999999999999
45413,179.99,182.0,185.86,179.01,92829719,24.54000000000002,8.670000000000016
45414,180.01,182.86,184.6,176.02,89148041,30.079999999999984,4.349999999999994
45415,181.19,182.1,184.78,178.42,75491539,34.139999999999986,8.370000000000005
45418,184.76,183.8,187.56,182.2,84390253,42.70999999999998,13.929999999999978
45419,177.81,182.4,183.26,177.4,75045854,33.129999999999995,5.180000000000007
45420,174.72,171.59,176.06,170.15,79969488,12.590000000000003,-2.9499999999999886
45421,171.97,175.01,175.62,171.37,65950292,1.789999999999992,-7.860000000000014
45422,168.47,173.05,173.0599,167.75,72627178,0.18000000000000682,-7.319999999999993
45425,171.89,170.0,175.4,169.0,67018903,-22.160000000000025,-3.3300000000000125
45426,177.55,174.4959,179.49,174.07,86407422,-5.72999999999999,10.920000000000016
45427,173.99,179.9,180.0,173.11,79662993,-6.0,5.610000000000014
45428,174.84,174.1,175.79,171.43,59812220,-5.1699999999999875,3.7299999999999898
45429,177.46,173.55,179.63,172.75,77445845,-3.7299999999999898,12.560000000000002
45432,174.95,177.56,177.754,173.52,61727425,-9.810000000000002,1.9699999999999989
45433,186.6,175.51,186.875,174.71,115266512,8.789999999999992,9.719999999999999
45434,180.11,182.85,183.8,178.12,88313477,5.390000000000015,8.350000000000023
45435,173.74,181.8,181.9,173.26,71975496,1.7700000000000102,-0.8599999999999852
45436,179.24,174.835,180.08,173.73,65584478,10.77000000000001,8.189999999999998
45440,176.75,176.4,178.25,173.16,59736620,4.860000000000014,15.27000000000001
45441,176.19,174.19,178.15,173.93,54782649,-1.3600000000000136,19.079999999999984
45442,178.79,178.575,182.67,175.38,77784755,4.799999999999983,23.340000000000003
45443,178.08,178.5,180.32,173.82,67314602,3.240000000000009,28.150000000000006
45446,176.29,178.13,182.6389,174.49,68568920,-1.170000000000016,29.23999999999998
45447,174.77,174.775,177.755,174.0,60056340,-0.1799999999999784,32.72
45448,175.0,175.35,176.15,172.13,57953756,-11.599999999999994,30.319999999999993
45449,177.94,174.6,179.73,172.73,69887024,-2.170000000000016,15.810000000000002
45450,177.48,176.13,179.35,175.58,56244932,3.7399999999999807,7.299999999999983
45453,173.79,176.06,178.57,173.17,50869682,-5.450000000000017,5.5
45454,170.66,173.92,174.75,167.41,64761928,-6.090000000000003,-23.390000000000015
45455,177.29,171.12,180.55,169.8,90389446,1.0999999999999943,-5.990000000000009
45456,182.47,188.39,191.08,181.23,118984122,3.680000000000007,2.4799999999999898
45457,178.01,185.8,186.0,176.92,82038194,-0.0700000000000216,-2.0
45460,187.44,177.92,188.81,177.0,109786083,11.150000000000006,6.25
45461,184.86,186.56,187.2,182.37,68982265,10.090000000000003,0.10000000000002274
45463,181.57,184.68,185.21,179.66,55893139,6.569999999999993,3.759999999999991
45464,183.01,182.3,183.95,180.69,63029482,5.069999999999993,8.289999999999992
45467,182.58,184.97,188.8,182.55,61992070,5.100000000000023,10.610000000000014
45468,187.35,184.4,187.97,182.01,63678265,13.560000000000002,18.879999999999995
45469,196.37,186.54,197.755,186.36,95737066,25.710000000000008,24.480000000000018
45470,197.42,195.17,198.72,194.05,72746521,20.129999999999995,19.869999999999976
45471,197.88,199.55,203.2,195.26,95438068,15.409999999999997,23.889999999999986
45474,209.86,201.02,213.23,200.85,135691395,31.850000000000023,35.02000000000001
45475,231.26,218.89,231.3,218.06,205047920,43.81999999999999,53.79999999999998
45476,246.39,234.56,248.35,234.25,166561471,61.52999999999997,71.44
45478,251.52,249.81,252.37,242.4601,154501152,69.95000000000002,64.92000000000002
45481,252.94,247.71,259.439,244.57,157219580,69.93,72.82999999999998
45482,262.33,251.0,265.61,250.3,160742516,79.74999999999997,88.58999999999997
45483,263.26,262.8,267.59,257.86,128519430,75.91,84.01999999999998
45484,241.03,263.3,271.0,239.65,221707273,44.66,64.28
45485,248.23,235.8,251.84,233.0912,155955773,50.81,72.03999999999999
45488,252.64,255.97,265.6,251.73,146912920,54.75999999999999,73.85
45489,256.56,255.31,258.62,245.8001,126332470,46.69999999999999,78.47999999999999
45490,248.5,252.73,258.47,246.182,115584810,17.24000000000001,72.21000000000001
45491,249.23,251.09,257.14,247.2,110869037,2.8400000000000034,74.45999999999998
45492,239.2,247.79,249.44,236.83,87403903,-12.320000000000022,64.19999999999999
45495,251.51,244.21,253.21,243.75,101225430,-1.4300000000000068,73.57
45496,246.38,253.6,255.7594,245.63,111928192,-15.949999999999989,68.9
45497,215.99,225.42,225.99,214.71,167942939,-47.26999999999998,42.20000000000002
45498,220.25,216.8,226.0,216.231,100636466,-20.78,49.59
45499,219.8,221.19,222.2799,215.33,94604145,-28.42999999999998,42.51000000000002
45502,232.1,224.9,234.27,224.7,129201789,-20.539999999999992,49.629999999999995
45503,222.62,232.25,232.41,220.0,100560334,-33.94,44.610000000000014
45504,232.07,227.9,234.68,226.7875,67497011,-16.430000000000007,44.629999999999995
45505,216.86,227.69,231.867,214.3328,83861898,-32.369999999999976,32.0
45506,207.67,214.88,216.13,205.78,82880120,-31.53,26.099999999999994
45509,198.88,185.22,203.8799,182.0,100308836,-52.629999999999995,15.870000000000005
45510,200.64,200.75,202.9,192.67,73783942,-45.74000000000001,18.059999999999974
45511,191.76,200.77,203.49,191.48,71159778,-24.230000000000018,4.409999999999997
45512,198.84,195.7,200.7,192.04,65033874,-21.409999999999997,2.469999999999999
45513,200.0,197.05,200.88,195.11,58648274,-19.80000000000001,2.5800000000000125
45516,197.49,199.02,199.26,194.67,64044903,-34.609999999999985,-0.38999999999998636
45517,207.83,198.47,208.49,197.06,76247387,-14.789999999999992,-2.030000000000001
45518,201.38,207.39,208.44,198.75,70250014,-30.689999999999998,-29.879999999999995
45519,214.14,205.02,215.88,204.82,89848530,-2.7200000000000273,-32.25
45520,216.12,211.15,219.8,210.8,88765122,8.450000000000017,-35.400000000000006
45523,222.72,217.07,222.98,214.09,76435222,23.840000000000003,-30.22
45524,221.1,224.88,228.22,219.56,74001182,20.460000000000008,-41.22999999999999
