Date,Close,Open,High,Low,Volume
45293,539.34,526.84,539.66,526.67,3415659
45294,542.03,543.04,546.79,539.48,2891500
45295,545.42,545.0,549.0,543.0,2994377
45296,537.38,547.0,547.0,533.725,2815541
45299,536.52,539.4,540.25,528.0,2648939
45300,538.37,538.0,539.61,532.33,2677038
45301,537.64,538.1,541.2,536.15,2179994
45302,539.68,536.13,540.16,534.5301,2814058
45303,521.51,518.86,528.4799,513.13,6327267
45307,519.15,523.71,524.5,516.55,3736718
45308,524.94,521.28,530.655,520.0,3791496
45309,516.34,505.23,516.84,497.46,7367041
45310,503.56,515.0,517.55,501.82,6143395
45313,512.99,503.94,513.57,496.5,5922855
45314,515.52,512.5,518.08,512.08,2673106
45315,513.23,517.9,521.73,512.95,2918924
45316,493.4,487.59,495.51,479.0,14671004
45317,503.2,493.28,503.69,489.9,6212173
45320,504.54,503.11,506.51,501.15,4554106
45321,503.61,504.54,506.05,499.22,4931215
45322,511.74,504.51,515.0,504.51,5358104
45323,507.14,508.83,510.2225,503.0,4242580
45324,510.23,508.25,512.91,505.39,3804521
45327,502.96,509.96,514.195,500.05,3646516
45328,510.67,503.94,510.94,502.45,2745515
45329,519.39,514.01,521.0,512.69,4109062
45330,520.09,520.63,522.16,517.2834,3342976
45331,518.22,518.99,520.39,516.29,2715493
45334,517.64,518.22,518.99,512.81,3194016
45335,516.85,522.0,526.93,514.21,3436087
45336,516.94,515.26,518.53,514.29,1918535
45337,520.88,517.34,521.7531,515.8,2292306
45338,521.55,522.3,523.79,518.89,2135586
45342,521.06,524.21,525.37,519.41,2600288
45343,521.97,523.67,523.69,517.535,2096023
45344,526.5,524.2,526.74,518.59,3186819
45345,527.24,526.75,530.495,524.16,2502146
45348,525.32,528.32,532.81,524.31,2308927
45349,513.42,524.76,525.59,512.05,3780619
45350,498.28,495.44,498.5501,484.39,9558553
45351,493.6,498.5,501.75,491.6,6833167
45352,489.53,489.42,490.02,477.25,7315039
45355,481.87,483.24,487.04,480.1,5239810
45356,473.15,482.39,482.9,470.615,5296200
45357,472.6,474.44,479.8,468.19,5577493
45358,478.78,474.0,481.19,473.6,5102043
45359,476.57,478.33,484.25,474.77,4673567
45362,489.15,477.0,490.31,476.0,4410088
45363,489.35,488.13,492.28,487.345,4153799
45364,488.0,493.52,496.0,485.33,3669036
45365,489.0,488.72,489.68,485.19,3378538
45366,490.82,487.45,491.22,487.45,5713536
45369,487.05,492.1,492.1,486.375,2970640
45370,493.32,489.67,493.44,487.79,2511743
45371,494.23,492.47,494.6,489.44,3548160
45372,491.69,492.28,496.2,491.28,3693408
45373,490.07,495.2,495.83,489.77,2847269
45376,485.88,490.6,491.48,484.07,2786141
45377,492.31,488.13,493.34,485.23,3113314
