Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,25.95,26.2,26.77,25.95,584212,,
45294,25.2,25.95,26.06,25.06,647290,,
45295,25.44,25.2,25.54,25.13,402950,,
45296,24.8,25.35,25.47,24.62,675703,,
45299,25.21,24.83,25.24,24.5,390698,,
45300,25.39,25.25,25.56,25.16,716372,,
45301,25.15,25.39,25.4,24.97,610975,,
45302,25.2,25.37,25.66,25.2,564761,,
45303,25.47,25.33,25.61,25.28,398542,,
45306,25.33,25.47,25.66,25.31,295022,,
45307,25.12,25.2,25.32,24.97,257642,-0.8299999999999983,
45308,24.94,24.89,24.96,24.62,409247,-0.259999999999998,
45309,25.19,24.97,25.27,24.86,271511,-0.25,
45310,25.21,25.24,25.51,25.1,228686,0.41000000000000014,
45313,25.48,25.35,25.6,25.14,624842,0.2699999999999996,
45314,26.03,25.54,26.06,25.52,418953,0.6400000000000006,
45315,26.0,26.2,26.46,26.0,380715,0.8500000000000014,
45316,25.58,25.88,26.05,25.52,454313,0.379999999999999,
45317,25.71,25.62,25.83,25.37,340594,0.240000000000002,
45320,25.78,25.71,25.82,25.28,862273,0.45000000000000284,
45321,26.21,25.9,26.54,25.9,783677,1.0899999999999999,
45322,26.25,26.29,26.53,26.17,360361,1.3099999999999987,
45323,26.26,26.26,26.62,26.18,344106,1.0700000000000003,
45324,26.26,26.38,26.53,26.2,274151,1.0500000000000007,
45327,25.62,26.3,26.38,25.62,424863,0.14000000000000057,
45328,25.96,25.77,25.96,25.55,438593,-0.07000000000000028,
45329,26.13,25.99,27.82,25.11,1439226,0.129999999999999,
45330,25.65,26.2,26.42,25.02,848893,0.07000000000000028,
45331,25.74,25.68,25.84,25.53,354659,0.029999999999997584,
45334,25.81,25.8,26.39,25.77,355051,0.029999999999997584,
45335,24.79,25.75,25.8,24.69,526632,-1.4200000000000017,-1.1600000000000001
45336,25.38,25.16,25.51,24.84,476775,-0.870000000000001,0.17999999999999972
45337,25.32,25.59,25.73,25.32,384775,-0.9400000000000013,-0.120000000000001
45338,25.89,25.42,26.17,25.26,480780,-0.370000000000001,1.0899999999999999
45341,25.15,25.82,25.82,25.15,405395,-0.4700000000000024,-0.060000000000002274
45342,24.71,25.1,25.15,24.14,498973,-1.25,-0.6799999999999997
45343,24.89,24.75,25.11,24.61,211726,-1.2399999999999984,-0.259999999999998
45344,24.61,25.12,25.27,24.54,275817,-1.0399999999999991,-0.5899999999999999
45345,24.39,24.61,24.68,24.32,306290,-1.3499999999999979,-1.0799999999999983
45348,24.16,24.39,24.4,24.13,283131,-1.6499999999999986,-1.1699999999999982
45349,24.44,24.2,24.55,24.2,279786,-0.34999999999999787,-0.6799999999999997
45350,24.49,24.46,24.68,24.24,359265,-0.8900000000000006,-0.45000000000000284
45351,24.21,24.59,24.7,23.56,807536,-1.1099999999999994,-0.9800000000000004
45352,24.44,24.21,24.44,23.96,346732,-1.4499999999999993,-0.7699999999999996
45355,24.03,24.44,24.44,23.88,323344,-1.1199999999999974,-1.4499999999999993
45356,24.07,23.86,24.3,23.85,350699,-0.6400000000000006,-1.9600000000000009
45357,24.15,24.07,24.23,23.97,460231,-0.740000000000002,-1.8500000000000014
45358,24.5,24.07,24.68,23.75,659625,-0.10999999999999943,-1.0799999999999983
45359,24.71,24.51,24.97,24.25,822848,0.3200000000000003,-1.0
45362,24.55,24.64,24.7,24.39,293931,0.39000000000000057,-1.2300000000000004
45363,24.71,24.55,24.86,24.4,348422,0.2699999999999996,-1.5
45364,24.8,24.74,24.9,24.69,234421,0.3100000000000023,-1.4499999999999993
45365,24.78,24.9,25.31,24.78,429845,0.5700000000000003,-1.4800000000000004
45366,25.04,24.78,25.29,24.78,636264,0.5999999999999979,-1.2200000000000024
45369,25.07,25.13,25.5,24.94,327859,1.0399999999999991,-0.5500000000000007
45370,25.22,25.1,25.45,25.04,270446,1.1499999999999986,-0.740000000000002
45371,25.02,25.15,25.18,24.74,376760,0.870000000000001,-1.1099999999999994
45372,25.37,25.34,25.73,25.06,399593,0.870000000000001,-0.2799999999999976
45373,24.81,25.32,25.4,24.34,1083746,0.09999999999999787,-0.9299999999999997
45376,24.18,24.16,24.46,23.93,595703,-0.370000000000001,-1.629999999999999
45377,23.73,24.18,24.25,23.48,566772,-0.9800000000000004,-1.0599999999999987
45378,24.82,23.89,25.18,23.88,727529,0.019999999999999574,-0.5599999999999987
45379,24.39,24.87,25.09,24.29,537103,-0.39000000000000057,-0.9299999999999997
45384,24.39,24.41,24.94,24.23,410188,-0.6499999999999986,-1.5
45385,24.16,24.39,24.57,23.94,405946,-0.9100000000000001,-0.9899999999999984
45386,25.51,24.16,25.51,24.1,632037,0.2900000000000027,0.8000000000000007
45387,25.86,25.22,25.87,25.19,565485,0.8399999999999999,0.9699999999999989
45390,26.38,25.86,26.65,25.72,393508,1.009999999999998,1.7699999999999996
45391,26.12,26.33,26.47,26.05,291918,1.3100000000000023,1.7300000000000004
45392,25.92,26.26,26.83,25.81,485107,1.740000000000002,1.7600000000000016
45393,25.23,25.75,25.75,25.03,647857,1.5,0.7899999999999991
45394,25.5,25.5,26.06,25.4,419877,0.6799999999999997,1.0100000000000016
45397,25.52,25.55,25.9,25.52,248622,1.129999999999999,1.3099999999999987
45398,24.79,25.25,25.33,24.53,565976,0.3999999999999986,0.34999999999999787
45399,24.98,24.79,25.19,24.7,340083,0.8200000000000003,0.9499999999999993
45400,25.06,25.06,25.13,24.87,551893,-0.45000000000000284,0.9899999999999984
45401,25.09,24.85,25.21,24.62,443747,-0.7699999999999996,0.9400000000000013
45404,24.6,25.25,25.38,24.33,541911,-1.7799999999999976,0.10000000000000142
45405,24.91,24.71,24.91,24.34,479520,-1.2100000000000009,0.1999999999999993
45406,24.34,25.0,25.25,23.35,1666027,-1.5800000000000018,-0.21000000000000085
45407,22.92,23.8,23.98,22.82,1117700,-2.3099999999999987,-1.7899999999999991
45408,22.98,23.11,23.51,22.98,576278,-2.5199999999999996,-1.8200000000000003
45411,23.74,23.11,23.81,23.11,729739,-1.7800000000000011,-1.0400000000000027
45412,23.46,23.6,23.83,23.44,320107,-1.3299999999999983,-1.5799999999999983
