Date,Close,Open,High,Low,Volume,SMI 10,SMI 30
45293,258.87,259.61,260.09,257.67,5470986,,
45294,257.98,258.55,258.86,256.86,4148294,,
45295,259.61,258.07,261.04,258.0,3842976,,
45296,259.69,260.78,261.4599,258.75,3748636,,
45299,262.54,260.94,262.62,259.95,4659030,,
45300,263.33,262.0,263.62,261.1435,7055782,,
45301,264.56,264.97,265.37,262.86,4355784,,
45302,264.03,265.46,266.19,262.4,5598998,,
45303,264.17,265.13,265.55,263.71,4656238,,
45307,265.24,263.52,265.66,262.35,6196414,,
45308,266.63,264.42,267.1,264.39,5118722,7.759999999999991,
45309,268.14,267.88,268.78,266.415,6694264,10.159999999999968,
45310,270.9,268.18,271.15,267.05,7226520,11.289999999999964,
45313,271.2,272.24,272.35,270.36,5984272,11.509999999999991,
45314,271.26,271.55,271.87,269.91,5882995,8.71999999999997,
45315,271.65,272.57,272.86,271.075,5021703,8.319999999999993,
45316,272.61,271.95,272.78,270.8,6894942,8.050000000000011,
45317,267.94,265.94,270.8704,265.6,8586548,3.910000000000025,
45320,273.66,266.97,275.07,266.71,6574480,9.490000000000009,
45321,277.15,274.59,278.64,274.19,6548999,11.909999999999968,
45322,273.26,277.12,279.99,273.18,6139312,6.6299999999999955,
45323,277.05,273.39,277.19,273.36,7064976,8.910000000000025,
45324,277.18,277.61,278.5,275.68,4848891,6.28000000000003,
45327,275.58,277.4,278.0,275.125,4899140,4.3799999999999955,
45328,276.76,274.8,276.88,274.03,4400250,5.5,
45329,279.39,279.38,279.54,277.06,4785902,7.740000000000009,
45330,275.78,279.54,279.66,275.28,5833409,3.169999999999959,
45331,276.43,275.0,277.18,274.09,4618283,8.490000000000009,
45334,275.07,276.43,276.67,274.24,3676232,1.4099999999999682,
45335,275.81,273.75,278.0,272.763,5493833,-1.339999999999975,
45336,277.56,276.47,277.64,274.71,4218350,4.300000000000011,18.689999999999998
45337,280.98,277.655,281.12,277.56,4834758,3.930000000000007,23.0
45338,278.56,280.96,281.12,277.87,6630744,1.3799999999999955,18.94999999999999
45342,275.15,274.57,276.84,273.34,6157178,-0.4300000000000068,15.45999999999998
45343,276.76,274.63,276.97,273.53,4771105,0.0,14.21999999999997
45344,283.75,279.18,284.06,278.98,5100191,4.360000000000014,20.420000000000016
45345,283.6,284.72,285.95,283.5,5107693,7.82000000000005,19.04000000000002
45348,284.15,283.04,285.35,282.66,3856911,7.71999999999997,20.120000000000005
45349,283.17,284.17,284.17,281.54,4145383,8.100000000000023,19.0
45350,285.63,282.1,286.13,282.085,4358820,9.819999999999993,20.389999999999986
45351,282.64,285.5,285.66,282.18,6633684,5.079999999999984,16.00999999999999
45352,283.16,283.2,284.91,282.11,3955728,2.180000000000007,15.020000000000039
45355,280.53,282.81,283.0,278.13,5920308,1.9699999999999704,9.629999999999995
45356,279.38,280.27,280.99,277.68,6228066,4.230000000000018,8.180000000000007
45357,280.43,280.0,282.0,279.31,4535185,3.670000000000016,9.170000000000016
45358,278.26,280.88,281.17,276.16,5668483,-5.490000000000009,6.610000000000014
45359,280.04,279.0,281.665,278.83,3929002,-3.5600000000000023,7.430000000000007
45362,280.56,279.45,280.77,277.99,4614232,-3.589999999999975,12.620000000000005
45363,283.92,281.31,284.475,280.29,7988665,0.75,10.259999999999991
45364,285.14,284.66,286.1,283.82,5783867,-0.4900000000000091,7.990000000000009
45365,286.41,288.96,289.0405,284.55,5484511,3.7700000000000387,13.150000000000034
45366,283.04,283.55,285.63,282.64,9845181,-0.12000000000000455,5.990000000000009
45369,285.05,283.87,286.23,283.25,4095632,4.520000000000039,7.8700000000000045
45370,287.35,286.66,288.06,285.25,6595183,7.970000000000027,11.770000000000039
45371,289.28,287.64,289.87,286.72,6104955,8.849999999999966,12.519999999999982
45372,290.37,289.97,290.96,287.9,5057559,12.110000000000014,10.980000000000018
45373,283.26,290.0,290.49,282.89,8744121,3.2199999999999704,7.480000000000018
45376,281.21,283.01,283.5,280.04,8519433,0.6499999999999773,4.779999999999973
45377,280.6,284.13,284.13,278.41,8752364,-3.319999999999993,5.53000000000003
45378,279.02,280.25,281.25,276.98,5190674,-6.1200000000000045,3.2099999999999795
45379,279.08,278.49,279.8,277.12,5844358,-7.330000000000041,1.5199999999999818
45383,278.28,280.36,280.89,276.79,5083986,-4.760000000000048,-2.7000000000000455
45384,278.44,278.0,279.33,276.98,6912306,-6.610000000000014,-0.12000000000000455
45385,276.96,280.48,280.48,276.56,4536847,-10.390000000000043,1.8100000000000023
45386,274.0,278.36,279.085,273.56,4018551,-15.279999999999973,-2.759999999999991
45387,277.14,276.1,277.957,275.03,4392050,-13.230000000000018,-6.610000000000014
45390,277.76,276.25,277.98,275.15,5542428,-5.5,-5.840000000000032
45391,276.72,277.63,278.0,273.32,7314306,-4.489999999999952,-7.42999999999995
45392,274.48,275.42,276.82,274.12,5276012,-6.1200000000000045,-8.689999999999998
45393,275.68,274.0,276.48,272.18,8102293,-3.339999999999975,-9.949999999999989
45394,275.96,275.55,277.0,274.055,9038411,-3.1200000000000045,-6.680000000000007
45397,271.28,277.89,277.91,270.34,10267489,-7.0,-11.880000000000052
45398,271.35,270.54,274.13,270.17,8237131,-7.089999999999975,-9.17999999999995
45399,272.69,273.3,274.0,271.5,5940897,-4.269999999999982,-6.689999999999998
45400,271.37,272.57,273.15,269.86,8231849,-2.6299999999999955,-9.060000000000002
45401,269.78,271.47,272.0,268.29,7905368,-7.360000000000014,-8.480000000000018
45404,272.33,270.95,273.76,269.36,6463742,-5.430000000000007,-7.710000000000036
45405,274.11,274.01,274.89,272.71,6438002,-2.6100000000000136,-6.449999999999989
45406,275.02,282.57,283.0,274.49,8807157,0.5399999999999636,-8.900000000000034
45407,275.16,272.97,276.22,270.49,8064621,-0.5199999999999818,-9.979999999999961
45408,274.52,275.01,276.77,273.83,6840615,-1.4399999999999977,-11.890000000000043
45411,271.84,272.32,274.47,271.09,4192247,0.5600000000000023,-11.200000000000045
45412,268.61,270.53,272.08,268.585,6376353,-2.740000000000009,-16.439999999999998
45413,267.32,268.15,270.91,266.71,6125360,-5.3700000000000045,-20.03000000000003
45414,267.61,269.35,269.47,266.65,5061698,-3.759999999999991,-21.66999999999996
45415,268.49,269.0,269.45,266.5,3862018,-1.2899999999999636,-21.879999999999995
45418,272.67,269.65,272.78,269.57,3958721,0.34000000000003183,-10.589999999999975
45419,276.46,273.72,277.88,272.835,6377080,2.349999999999966,-4.75
45420,277.19,277.8,278.545,274.915,9029699,2.170000000000016,-3.410000000000025
45421,278.54,276.8,278.79,276.395,8948813,3.3799999999999955,-0.47999999999996135
45422,280.74,279.55,281.03,279.24,8986581,6.220000000000027,1.660000000000025
45425,279.39,281.46,282.15,279.1,10528397,7.550000000000011,1.1100000000000136
45426,277.74,279.44,279.99,274.265,18526094,9.129999999999995,-0.6999999999999886
45427,281.5,277.15,281.73,277.07,21288365,14.180000000000007,4.5400000000000205
45428,279.84,281.74,282.38,279.26,10341718,12.229999999999961,5.839999999999975
45429,280.1,280.05,280.91,278.1,6177831,11.610000000000014,2.9600000000000364
45432,278.54,279.22,280.27,278.18,5460901,5.8700000000000045,0.7800000000000296
45433,275.95,278.0,278.425,274.88,6578156,-0.5099999999999909,-0.7700000000000387
45434,275.58,275.53,278.08,275.12,4202492,-1.6100000000000136,1.099999999999966
45435,274.23,275.24,277.44,273.0343,6115917,-4.310000000000002,-1.4499999999999886
45436,274.49,275.01,275.24,273.35,4339967,-6.25,-1.4699999999999704
45440,270.98,274.23,274.462,270.23,6212455,-8.409999999999968,-0.2999999999999545
